,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,456715,5,4,1,1,0,0,0,1,1,1,0
1,592885,5,3,1,0,1,0,0,0,0,2,1
2,460075,5,5,2,2,0,0,0,1,0,0,1
3,519058,5,4,2,1,0,0,1,1,1,1,0
4,518735,5,2,0,0,0,0,0,0,0,3,0
5,623352,0,0,0,0,0,0,0,0,0,0,0
6,519346,5,4,2,1,1,0,0,0,0,1,2
7,543768,3,2,0,0,0,0,0,0,1,1,1
8,541650,1,1,0,0,0,0,0,0,0,0,0
9,606115,4,4,1,0,1,0,0,1,1,0,2
10,605200,2,2,0,0,0,0,0,0,0,0,2
11,592222,0,0,0,0,0,0,0,0,0,0,0
12,542583,1,1,0,0,0,0,0,0,0,0,0
13,448855,0,0,0,0,0,0,0,0,0,0,0
14,502026,0,0,0,0,0,0,0,0,0,0,0
15,444489,1,1,1,0,0,0,1,1,1,0,0
