,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,643565,4,4,0,0,0,0,0,0,0,0,2
1,457763,3,3,2,2,0,0,0,0,0,0,1
2,641793,0,0,0,0,0,0,0,0,0,0,0
3,543105,1,1,0,0,0,0,0,0,0,0,0
4,670056,0,0,0,0,0,0,0,0,0,0,0
5,474832,4,3,0,0,0,0,0,0,0,1,1
6,446334,4,4,1,1,0,0,0,0,1,0,2
7,543063,4,2,1,0,0,0,1,2,2,2,0
8,527038,4,3,0,0,0,0,0,0,0,1,1
9,643289,0,0,0,0,0,0,0,0,0,0,0
10,613564,2,2,0,0,0,0,0,0,0,0,1
11,605538,0,0,0,0,0,0,0,0,0,0,0
12,572125,0,0,0,0,0,0,0,0,0,0,0
13,592200,2,2,0,0,0,0,0,0,0,0,1
14,621453,4,4,1,0,0,1,0,0,1,0,2
15,657277,1,1,0,0,0,0,0,0,0,0,0
16,573131,3,3,1,0,0,0,1,2,1,0,1
