,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,434158,5,4,0,0,0,0,0,0,0,1,0
1,431151,5,4,2,1,1,0,0,0,1,1,1
2,493316,4,4,2,2,0,0,0,1,1,0,0
3,446263,3,3,1,1,0,0,0,0,1,0,1
4,592665,0,0,0,0,0,0,0,0,0,0,0
5,457477,1,1,0,0,0,0,0,0,0,0,1
6,544727,0,0,0,0,0,0,0,0,0,0,0
7,460283,0,0,0,0,0,0,0,0,0,0,0
8,435522,4,4,1,1,0,0,0,0,0,0,2
9,624424,3,2,1,1,0,0,0,0,0,1,0
10,501571,1,1,0,0,0,0,0,0,0,0,1
11,452678,2,2,0,0,0,0,0,1,0,0,1
12,455374,0,0,0,0,0,0,0,0,0,0,0
13,493472,2,2,0,0,0,0,0,0,0,0,1
14,518595,4,3,0,0,0,0,0,0,0,1,0
15,571927,0,0,0,0,0,0,0,0,0,0,0
16,570663,1,1,0,0,0,0,0,0,0,0,0
17,527038,3,3,0,0,0,0,0,0,0,0,0
