,batter_id,PA,AB,H,Singles,Doubles,Triples,HR,RBI,R,BB,K
0,643446,4,4,1,0,0,0,1,2,1,0,0
1,624424,5,5,1,1,0,0,0,1,0,0,1
2,624413,3,3,0,0,0,0,0,1,0,0,2
3,607229,0,0,0,0,0,0,0,0,0,0,0
4,642086,5,5,0,0,0,0,0,0,0,0,0
5,429664,5,5,4,2,1,0,1,1,2,0,0
6,467092,5,4,1,1,0,0,0,0,0,1,1
7,453943,5,5,1,1,0,0,0,0,1,0,1
8,588751,4,4,2,2,0,0,0,1,1,0,1
9,607625,0,0,0,0,0,0,0,0,0,0,0
10,501571,0,0,0,0,0,0,0,0,0,0,0
11,594798,2,1,0,0,0,0,0,0,0,1,1
12,641645,1,1,1,1,0,0,0,0,0,0,0
13,458677,0,0,0,0,0,0,0,0,0,0,0
14,544727,0,0,0,0,0,0,0,0,0,0,0
15,642708,1,1,1,0,1,0,0,0,1,0,0
