,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP
0,TEX-2018-06-15,2018-06-15,TEX,H,COL,PH C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
1,TEX-2018-06-16,2018-06-16,TEX,H,COL,C,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1
2,TEX-2018-06-17,2018-06-17,TEX,H,COL,C,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0
0,TEX-2019-08-03,2019-08-03,TEX,H,DET,C,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0
1,TEX-2019-08-07,2019-08-07,TEX,A,CLE,C,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0
2,TEX-2019-08-09,2019-08-09,TEX,A,MIL,C,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
3,TEX-2019-08-10,2019-08-10,TEX,A,MIL,C,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
4,TEX-2019-08-12,2019-08-12,TEX,A,TOR,C,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0
5,TEX-2019-08-14,2019-08-14,TEX,A,TOR,C,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0
6,TEX-2019-08-15,2019-08-15,TEX,H,MIN,C,4,4,1,1,0,0,0,0,0,0,1,0,0,0,1
7,TEX-2019-08-16,2019-08-16,TEX,H,MIN,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,TEX-2019-08-17,2019-08-17,TEX,H,MIN,C,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0
9,TEX-2019-08-18,2019-08-18,TEX,H,MIN,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,TEX-2019-08-19,2019-08-19,TEX,H,LAA,C,6,4,2,1,0,0,1,1,1,0,1,0,1,0,1
11,TEX-2019-08-20,2019-08-20,TEX,H,LAA,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,TEX-2019-08-20,2019-08-20,TEX,H,LAA,C,3,3,1,1,1,0,0,0,0,0,0,0,0,0,1
13,TEX-2019-08-21,2019-08-21,TEX,H,LAA,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,TEX-2019-08-22,2019-08-22,TEX,A,CHW,C,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0
15,TEX-2019-08-25,2019-08-25,TEX,A,CHW,C,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,TEX-2019-08-28,2019-08-28,TEX,A,LAA,C,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0
17,TEX-2019-08-30,2019-08-30,TEX,H,SEA,C,3,3,1,3,2,0,0,2,0,0,0,0,0,0,0
18,TEX-2019-08-31,2019-08-31,TEX,H,SEA,C,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0
19,TEX-2019-09-01,2019-09-01,TEX,H,SEA,C,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20,TEX-2019-09-02,2019-09-02,TEX,A,NYY,C,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0
21,TEX-2019-09-03,2019-09-03,TEX,A,NYY,C,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
22,TEX-2019-09-04,2019-09-04,TEX,A,NYY,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
