,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_SH_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_SH_PA,h_avg_pf
0,TEX-2017-04-03,2017-04-03,CLE,A,TEX,3B,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,436,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TEX-2017-04-04,2017-04-04,CLE,A,TEX,3B,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,436,0.308,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,87.2,0.31,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,87.2
2,TEX-2017-04-05,2017-04-05,CLE,A,TEX,3B,4,4,2,2,0,0,0,0,0,0,1,0,0,0,0,436,0.154,9,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,96.889,0.155,9,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,96.889
3,ARI-2017-04-07,2017-04-07,CLE,A,ARI,3B,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,420,0.249,13,0.154,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,100.615,0.25,13,0.154,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,100.615
4,ARI-2017-04-08,2017-04-08,CLE,A,ARI,3B,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,420,0.23,17,0.118,0.059,0.0,0.0,0.059,0.0,0.0,0.0,0.294,0.0,0.0,101.647,0.231,17,0.118,0.059,0.0,0.0,0.059,0.0,0.0,0.0,0.294,0.0,0.0,101.647
5,ARI-2017-04-09,2017-04-09,CLE,A,ARI,3B,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,420,0.228,21,0.143,0.048,0.0,0.0,0.048,0.0,0.0,0.048,0.238,0.0,0.0,102.286,0.228,21,0.143,0.048,0.0,0.0,0.048,0.0,0.0,0.048,0.238,0.0,0.0,102.286
6,CLE-2017-04-11,2017-04-11,CLE,H,CHW,3B,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,416,0.226,25,0.16,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.2,0.0,0.0,102.72,0.227,25,0.16,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.2,0.0,0.0,102.72
7,CLE-2017-04-12,2017-04-12,CLE,H,CHW,3B,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,416,0.225,29,0.172,0.034,0.0,0.0,0.034,0.0,0.0,0.034,0.207,0.0,0.0,102.897,0.226,29,0.172,0.034,0.0,0.0,0.034,0.0,0.0,0.034,0.207,0.0,0.0,102.897
8,CLE-2017-04-13,2017-04-13,CLE,H,CHW,3B,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,416,0.219,33,0.152,0.03,0.0,0.0,0.061,0.0,0.0,0.03,0.273,0.0,0.0,103.03,0.219,33,0.152,0.03,0.0,0.0,0.061,0.0,0.0,0.03,0.273,0.0,0.0,103.03
9,CLE-2017-04-14,2017-04-14,CLE,H,DET,3B,5,4,1,1,0,0,0,1,1,0,2,0,0,0,0,520,0.262,37,0.189,0.027,0.0,0.0,0.081,0.0,0.0,0.027,0.243,0.0,0.0,103.135,0.263,37,0.189,0.027,0.0,0.0,0.081,0.0,0.0,0.027,0.243,0.0,0.0,103.135
