,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_SH_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_SH_PA,h_avg_pf,imputed
0,LAA-2021-04-02,2021-04-02,CHW,A,LAA,LF,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,408,0.317,75,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
1,LAA-2021-04-03,2021-04-03,CHW,A,LAA,LF,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,306,0.317,75,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
2,SEA-2021-04-05,2021-04-05,CHW,A,SEA,LF,4,3,0,0,0,0,0,1,0,0,2,1,0,0,0,380,0.317,75,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
3,SEA-2021-04-06,2021-04-06,CHW,A,SEA,LF,4,2,1,1,1,0,0,0,2,0,0,0,0,0,0,380,0.317,75,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
4,SEA-2021-04-07,2021-04-07,CHW,A,SEA,LF,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,190,0.317,75,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
5,CHW-2021-04-11,2021-04-11,CHW,H,KCR,LF,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,303,0.317,75,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
6,CHW-2021-04-14,2021-04-14,CHW,H,CLE,LF,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,404,0.315,21,0.048,0.048,0.0,0.0,0.238,0.0,0.048,0.0,0.286,0.0,0.0,93.667,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
7,CHW-2021-04-15,2021-04-15,CHW,H,CLE,LF,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,404,0.314,25,0.04,0.08,0.0,0.0,0.2,0.0,0.04,0.0,0.28,0.0,0.0,94.84,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
8,BOS-2021-04-17,2021-04-17,CHW,A,BOS,LF,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,420,0.269,29,0.034,0.069,0.0,0.0,0.172,0.0,0.034,0.0,0.31,0.0,0.0,95.69,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
9,BOS-2021-04-18,2021-04-18,CHW,A,BOS,LF,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,315,0.285,33,0.061,0.061,0.0,0.0,0.182,0.0,0.03,0.0,0.303,0.0,0.0,96.818,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
10,CLE-2021-04-20,2021-04-20,CHW,A,CLE,LF 1B,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,400,0.296,36,0.056,0.083,0.0,0.0,0.167,0.0,0.028,0.0,0.306,0.0,0.0,97.5,0.317,674,0.138,0.043,0.004,0.033,0.087,0.004,0.011,0.018,0.232,0.006,0.004,100.0,1
11,CHW-2021-04-23,2021-04-23,CHW,H,TEX,LF,4,4,0,2,0,0,0,0,0,0,0,0,0,0,1,404,0.301,36,0.083,0.083,0.0,0.0,0.139,0.0,0.028,0.0,0.306,0.0,0.0,97.278,0.289,40,0.075,0.075,0.0,0.0,0.15,0.0,0.025,0.0,0.3,0.0,0.0,97.75,0
12,CHW-2021-04-24,2021-04-24,CHW,H,TEX,LF,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,202,0.342,37,0.135,0.081,0.0,0.0,0.135,0.0,0.027,0.027,0.243,0.0,0.0,97.297,0.304,44,0.114,0.068,0.0,0.0,0.136,0.0,0.023,0.023,0.273,0.0,0.0,98.045,0
13,CHW-2021-04-29,2021-04-29,CHW,H,DET,LF,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,303,0.32,29,0.172,0.069,0.0,0.0,0.103,0.0,0.0,0.034,0.241,0.0,0.0,98.345,0.31,46,0.13,0.065,0.0,0.0,0.13,0.0,0.022,0.022,0.283,0.0,0.0,98.174,0
14,CHW-2021-04-29,2021-04-29,CHW,H,DET,LF,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,303,0.32,29,0.172,0.069,0.0,0.0,0.103,0.0,0.0,0.034,0.241,0.0,0.0,98.345,0.31,46,0.13,0.065,0.0,0.0,0.13,0.0,0.022,0.022,0.283,0.0,0.0,98.174,0
15,CHW-2021-04-29,2021-04-29,CHW,H,DET,LF,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,303,0.32,29,0.172,0.069,0.0,0.0,0.103,0.0,0.0,0.034,0.241,0.0,0.0,98.345,0.31,46,0.13,0.065,0.0,0.0,0.13,0.0,0.022,0.022,0.283,0.0,0.0,98.174,0
16,CHW-2021-04-29,2021-04-29,CHW,H,DET,LF,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,303,0.32,29,0.172,0.069,0.0,0.0,0.103,0.0,0.0,0.034,0.241,0.0,0.0,98.345,0.31,46,0.13,0.065,0.0,0.0,0.13,0.0,0.022,0.022,0.283,0.0,0.0,98.174,0
17,CHW-2021-04-29,2021-04-29,CHW,H,DET,LF,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,303,0.32,29,0.172,0.069,0.0,0.0,0.103,0.0,0.0,0.034,0.241,0.0,0.0,98.345,0.31,46,0.13,0.065,0.0,0.0,0.13,0.0,0.022,0.022,0.283,0.0,0.0,98.174,0
18,CHW-2021-04-29,2021-04-29,CHW,H,DET,LF,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,303,0.32,29,0.172,0.069,0.0,0.0,0.103,0.0,0.0,0.034,0.241,0.0,0.0,98.345,0.31,46,0.13,0.065,0.0,0.0,0.13,0.0,0.022,0.022,0.283,0.0,0.0,98.174,0
