,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,OAK-2014-03-31,2014-03-31,CLE,A,OAK,4,0.2,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,99
1,OAK-2014-04-02,2014-04-02,CLE,A,OAK,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
2,CLE-2014-04-04,2014-04-04,CLE,H,MIN,5,1.0,0,2,1,0,0,0,0,2,0,0,0,1,2,1,0,1
3,CLE-2014-04-08,2014-04-08,CLE,H,SDP,2,0.2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
4,CLE-2014-04-09,2014-04-09,CLE,H,SDP,1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,CHW-2014-04-12,2014-04-12,CLE,A,CHW,4,1.0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2
6,CHW-2014-04-13,2014-04-13,CLE,A,CHW,2,0.1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7,DET-2014-04-16,2014-04-16,CLE,A,DET,6,1.0,0,3,0,0,0,0,0,1,0,0,1,4,1,0,1,2
8,CLE-2014-04-18,2014-04-18,CLE,H,TOR,3,0.2,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1
9,CLE-2014-04-20,2014-04-20,CLE,H,TOR,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,1
10,CLE-2014-04-21,2014-04-21,CLE,H,KCR,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
11,CLE-2014-04-23,2014-04-23,CLE,H,KCR,2,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
12,SFG-2014-04-27,2014-04-27,CLE,A,SFG,7,1.1,3,2,0,0,1,1,1,2,0,0,0,2,2,0,0,3
13,CLE-2014-05-02,2014-05-02,CLE,H,CHW,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4
14,CLE-2014-05-03,2014-05-03,CLE,H,CHW,3,0.2,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0
15,CLE-2014-05-05,2014-05-05,CLE,H,MIN,4,1.0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,1
16,CLE-2014-05-07,2014-05-07,CLE,H,MIN,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1
17,TBR-2014-05-09,2014-05-09,CLE,A,TBR,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
18,TBR-2014-05-11,2014-05-11,CLE,A,TBR,4,0.2,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1
19,TOR-2014-05-15,2014-05-15,CLE,A,TOR,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
20,CLE-2014-05-18,2014-05-18,CLE,H,OAK,4,0.0,3,2,1,0,0,2,0,0,0,0,0,0,2,1,0,2
21,CLE-2014-05-19,2014-05-19,CLE,H,DET,5,1.0,1,2,1,0,1,0,0,1,0,0,0,2,2,1,0,0
22,CLE-2014-05-20,2014-05-20,CLE,H,DET,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
23,BAL-2014-05-22,2014-05-22,CLE,A,BAL,7,1.2,0,1,0,0,0,1,1,2,0,0,0,2,2,0,1,1
24,CHW-2014-05-27,2014-05-27,CLE,A,CHW,5,1.0,0,2,1,0,0,0,0,0,0,0,0,2,3,1,1,4
25,CHW-2014-05-28,2014-05-28,CLE,A,CHW,5,0.2,1,1,0,0,0,2,0,0,0,1,0,0,3,1,0,0
26,CLE-2014-05-30,2014-05-30,CLE,H,COL,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1
27,CLE-2014-05-31,2014-05-31,CLE,H,COL,3,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
28,CLE-2014-06-02,2014-06-02,CLE,H,BOS,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
29,CLE-2014-06-03,2014-06-03,CLE,H,BOS,4,1.1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
30,TEX-2014-06-08,2014-06-08,CLE,A,TEX,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4
31,BOS-2014-06-13,2014-06-13,CLE,A,BOS,3,0.1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,4
32,BOS-2014-06-14,2014-06-14,CLE,A,BOS,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
33,BOS-2014-06-15,2014-06-15,CLE,A,BOS,6,2.0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0
34,CLE-2014-06-19,2014-06-19,CLE,H,LAA,4,1.1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3
35,CLE-2014-06-21,2014-06-21,CLE,H,DET,5,1.0,1,2,1,0,0,1,1,0,0,0,1,3,1,0,0,1
