,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf,imputed
0,TEX-2019-08-20,2019-08-20,LAA,A,TEX,2,2,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,99,218,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
1,TEX-2019-08-21,2019-08-21,LAA,A,TEX,2,2,0.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,218,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
2,HOU-2019-08-23,2019-08-23,LAA,A,HOU,3,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,294,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
3,HOU-2019-08-25,2019-08-25,LAA,A,HOU,4,2,1.0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,392,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
4,LAA-2019-08-27,2019-08-27,LAA,H,TEX,1,1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,101,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
5,LAA-2019-08-28,2019-08-28,LAA,H,TEX,3,2,0.1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,303,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
6,LAA-2019-08-30,2019-08-30,LAA,H,BOS,4,3,1.2,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,404,0.323,77,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
7,LAA-2019-09-01,2019-09-01,LAA,H,BOS,4,3,1.0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,404,0.125,20,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.35,0.05,96.5,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
8,OAK-2019-09-05,2019-09-05,LAA,A,OAK,1,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,96,0.134,24,0.042,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.375,0.042,97.25,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
9,CHW-2019-09-08,2019-09-08,LAA,A,CHW,5,4,0.2,1,2,0,0,0,1,0,1,0,0,0,1,2,2,0,2,495,0.158,25,0.04,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.36,0.04,97.2,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
10,LAA-2019-09-11,2019-09-11,LAA,H,CLE,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,101,0.252,26,0.115,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.308,0.038,95.731,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
11,LAA-2019-09-14,2019-09-14,LAA,H,TBR,1,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,101,0.275,24,0.125,0.0,0.0,0.0,0.208,0.0,0.0,0.0,0.25,0.042,95.667,0.323,691,0.139,0.046,0.004,0.036,0.085,0.004,0.011,0.018,0.229,0.006,100.0,1
