,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf
0,NYY-2018-09-02,2018-09-02,NYY,H,DET,8,6,1.0,3,3,1,0,0,2,0,1,0,0,0,3,2,2,0,99,800,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,OAK-2018-09-05,2018-09-05,NYY,A,OAK,3,3,0.2,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,2,288,0.548,9,0.222,0.111,0.0,0.0,0.222,0.0,0.0,0.0,0.111,0.0,88.889,0.546,9,0.222,0.111,0.0,0.0,0.222,0.0,0.0,0.0,0.111,0.0,88.889
2,MIN-2018-09-11,2018-09-11,NYY,A,MIN,8,7,2.0,0,1,0,0,0,1,0,0,0,0,0,3,4,3,0,5,808,0.479,12,0.25,0.083,0.0,0.0,0.167,0.0,0.0,0.0,0.25,0.0,90.667,0.477,12,0.25,0.083,0.0,0.0,0.167,0.0,0.0,0.0,0.25,0.0,90.667
3,NYY-2018-09-15,2018-09-15,NYY,H,TOR,2,2,0.1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,200,0.36,20,0.2,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,94.8,0.359,20,0.2,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,94.8
4,NYY-2018-09-20,2018-09-20,NYY,H,BOS,3,2,0.2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,300,0.367,22,0.227,0.045,0.0,0.0,0.136,0.0,0.0,0.0,0.136,0.0,95.273,0.366,22,0.227,0.045,0.0,0.0,0.136,0.0,0.0,0.0,0.136,0.0,95.273
5,NYY-2018-09-21,2018-09-21,NYY,H,BAL,1,1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0.35,25,0.2,0.04,0.0,0.0,0.16,0.0,0.0,0.0,0.2,0.0,95.84,0.35,25,0.2,0.04,0.0,0.0,0.16,0.0,0.0,0.0,0.2,0.0,95.84
6,TBR-2018-09-24,2018-09-24,NYY,A,TBR,3,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,288,0.236,18,0.167,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.278,0.0,94.222,0.336,26,0.192,0.038,0.0,0.0,0.154,0.0,0.0,0.0,0.231,0.0,96.0
7,TBR-2018-09-25,2018-09-25,NYY,A,TBR,2,2,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,192,0.201,21,0.143,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.286,0.0,94.476,0.3,29,0.172,0.034,0.0,0.0,0.138,0.0,0.0,0.0,0.241,0.0,96.0
8,BOS-2018-09-29,2018-09-29,NYY,A,BOS,2,2,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,208,0.165,20,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,94.4,0.28,31,0.161,0.032,0.0,0.0,0.129,0.0,0.0,0.0,0.258,0.0,96.0
9,BOS-2018-09-30,2018-09-30,NYY,A,BOS,8,6,1.2,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,832,0.15,22,0.091,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.273,0.0,95.273,0.262,33,0.152,0.03,0.0,0.0,0.121,0.0,0.0,0.0,0.273,0.0,96.485
10,NYY-2019-03-31,2019-03-31,NYY,H,BAL,4,3,0.2,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,99,396,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,41,0.122,0.024,0.0,0.0,0.146,0.0,0.0,0.0,0.317,0.0,97.951
11,BAL-2019-04-07,2019-04-07,NYY,A,BAL,6,5,1.0,1,2,0,0,0,1,0,2,0,0,0,2,1,1,0,6,612,0.658,5,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,79.2,0.284,45,0.111,0.022,0.0,0.022,0.156,0.0,0.0,0.0,0.311,0.0,98.044
12,HOU-2019-04-09,2019-04-09,NYY,A,HOU,3,3,1.0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,1,294,0.506,11,0.182,0.0,0.0,0.091,0.182,0.0,0.0,0.0,0.273,0.0,91.636,0.299,51,0.137,0.02,0.0,0.02,0.157,0.0,0.0,0.0,0.314,0.0,98.51
13,HOU-2019-04-10,2019-04-10,NYY,A,HOU,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,98,0.456,14,0.214,0.0,0.0,0.071,0.143,0.0,0.0,0.071,0.214,0.0,93.0,0.299,54,0.148,0.019,0.0,0.019,0.148,0.0,0.0,0.019,0.296,0.0,98.481
14,LAA-2019-04-25,2019-04-25,NYY,A,LAA,3,1,0.1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,14,303,0.33,11,0.273,0.0,0.0,0.0,0.091,0.0,0.0,0.091,0.182,0.0,91.273,0.293,55,0.145,0.018,0.0,0.018,0.145,0.0,0.0,0.018,0.291,0.0,98.473
15,NYY-2019-05-04,2019-05-04,NYY,H,MIN,6,5,1.0,1,2,0,0,0,1,0,1,0,0,0,2,2,1,0,8,594,0.46,4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,75.75,0.302,58,0.138,0.017,0.0,0.017,0.172,0.0,0.0,0.017,0.293,0.0,98.603
16,CLE-2019-06-09,2019-06-09,NYY,A,CLE,3,3,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,35,300,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312,64,0.156,0.016,0.0,0.016,0.172,0.0,0.0,0.016,0.281,0.0,98.641
17,NYY-2019-06-11,2019-06-11,NYY,H,NYM,5,4,1.0,1,1,1,0,0,0,0,2,1,0,0,1,1,1,0,1,495,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,75.0,0.298,67,0.149,0.015,0.0,0.015,0.164,0.0,0.0,0.015,0.313,0.0,98.701
18,NYY-2019-06-25,2019-06-25,NYY,H,TOR,3,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,13,297,0.242,9,0.0,0.111,0.0,0.0,0.0,0.0,0.111,0.0,0.556,0.0,88.333,0.305,72,0.139,0.028,0.0,0.014,0.153,0.0,0.014,0.014,0.319,0.0,98.722
19,NYY-2019-06-26,2019-06-26,NYY,H,TOR,3,3,1.0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,297,0.176,12,0.0,0.083,0.0,0.0,0.0,0.0,0.083,0.0,0.5,0.0,91.0,0.292,75,0.133,0.027,0.0,0.013,0.147,0.0,0.013,0.013,0.32,0.0,98.733
20,BOS-2019-06-30,2019-06-30,NYY,A,BOS,7,7,1.0,4,4,0,0,3,0,0,0,0,0,0,2,5,0,0,3,735,0.255,12,0.083,0.083,0.0,0.0,0.0,0.0,0.083,0.0,0.333,0.0,90.75,0.292,78,0.141,0.026,0.0,0.013,0.141,0.0,0.013,0.013,0.321,0.0,98.744
21,NYY-2019-07-19,2019-07-19,NYY,H,COL,10,10,3.0,0,1,0,0,0,0,0,6,0,0,0,1,3,2,1,18,990,0.956,8,0.125,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,91.875,0.351,85,0.141,0.024,0.0,0.047,0.129,0.0,0.012,0.012,0.294,0.0,99.259
22,NYY-2019-07-21,2019-07-21,NYY,H,COL,8,6,1.1,0,2,1,0,0,2,1,1,0,0,0,2,3,1,2,1,792,0.087,11,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.0,90.0,0.323,95,0.137,0.021,0.0,0.042,0.116,0.0,0.011,0.011,0.326,0.0,99.232
23,BOS-2019-07-25,2019-07-25,NYY,A,BOS,12,10,1.2,4,5,3,0,0,2,0,1,0,0,0,3,6,4,0,3,1260,0.255,19,0.105,0.053,0.0,0.0,0.105,0.053,0.0,0.0,0.368,0.0,93.789,0.335,103,0.136,0.029,0.0,0.039,0.126,0.01,0.01,0.01,0.311,0.0,99.214
24,BAL-2019-08-06,2019-08-06,NYY,A,BAL,12,11,2.0,2,6,1,0,1,1,0,0,0,0,0,2,9,5,1,11,1224,0.383,31,0.129,0.129,0.0,0.0,0.129,0.032,0.0,0.0,0.258,0.0,98.129,0.361,115,0.139,0.052,0.0,0.035,0.13,0.009,0.009,0.009,0.287,0.0,99.817
25,TOR-2019-08-10,2019-08-10,NYY,A,TOR,12,8,2.1,2,1,0,0,0,4,0,4,0,0,0,1,3,1,1,3,1188,0.567,33,0.212,0.152,0.0,0.03,0.152,0.03,0.0,0.0,0.061,0.0,99.273,0.386,127,0.157,0.055,0.0,0.039,0.126,0.008,0.008,0.008,0.26,0.0,100.024
26,NYY-2019-09-17,2019-09-17,NYY,H,LAA,8,7,1.1,0,3,0,0,0,0,0,4,1,0,0,1,2,2,0,37,792,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381,118,0.136,0.051,0.0,0.042,0.144,0.008,0.008,0.008,0.288,0.0,99.958
27,NYY-2019-09-22,2019-09-22,NYY,H,TOR,6,5,1.0,0,2,0,0,0,1,0,3,0,0,0,0,2,1,0,4,594,0.416,9,0.333,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.444,0.0,88.0,0.39,122,0.156,0.049,0.0,0.041,0.131,0.008,0.016,0.008,0.287,0.0,99.893
28,TBR-2019-09-24,2019-09-24,NYY,A,TBR,4,4,1.0,1,2,0,0,1,0,0,1,0,0,0,2,1,0,0,1,380,0.411,15,0.333,0.0,0.0,0.0,0.067,0.0,0.067,0.0,0.467,0.0,92.4,0.401,125,0.168,0.048,0.0,0.04,0.136,0.008,0.016,0.008,0.296,0.0,99.944
29,TBR-2019-09-25,2019-09-25,NYY,A,TBR,1,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,95,0.476,19,0.316,0.0,0.0,0.053,0.053,0.0,0.053,0.0,0.421,0.0,92.947,0.418,127,0.173,0.047,0.0,0.047,0.134,0.008,0.016,0.008,0.291,0.0,99.85
30,TEX-2019-09-27,2019-09-27,NYY,A,TEX,3,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,327,0.451,20,0.3,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.4,0.0,93.05,0.414,128,0.172,0.047,0.0,0.047,0.133,0.008,0.016,0.008,0.289,0.0,99.812
31,PHI-2020-07-25,2020-07-25,MIA,A,PHI,4,4,1.0,1,1,0,0,1,0,0,0,0,0,0,1,3,0,1,99,404,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411,117,0.188,0.051,0.0,0.043,0.12,0.009,0.017,0.009,0.282,0.0,99.718
32,PHI-2020-07-26,2020-07-26,MIA,A,PHI,2,2,0.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,202,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411,117,0.188,0.051,0.0,0.043,0.12,0.009,0.017,0.009,0.282,0.0,99.718
33,BAL-2020-08-05,2020-08-05,MIA,A,BAL,5,4,1.1,0,1,0,0,0,1,0,0,0,0,1,2,2,0,0,9,510,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,107,0.178,0.056,0.0,0.047,0.121,0.009,0.019,0.0,0.29,0.0,99.654
34,NYM-2020-08-07,2020-08-07,MIA,A,NYM,6,6,2.0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,1,564,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,107,0.178,0.056,0.0,0.047,0.121,0.009,0.019,0.0,0.29,0.0,99.654
35,NYM-2020-08-09,2020-08-09,MIA,A,NYM,4,2,0.1,1,2,0,0,0,0,0,0,1,1,0,2,1,0,0,1,376,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,107,0.178,0.056,0.0,0.047,0.121,0.009,0.019,0.0,0.29,0.0,99.654
