,game_code,inning,batter_id,batter_hand,batter_home,pitcher_id,pitcher_hand,pitcher_home,adv_ab,outcome
0,LAA-2020-07-28,1,643418,L,0,663776,L,1,0,p_K
1,LAA-2020-07-28,1,657108,R,0,663776,L,1,1,h_5
2,LAA-2020-07-28,1,641786,R,0,663776,L,1,1,h_S8
3,LAA-2020-07-28,1,572122,L,0,663776,L,1,0,h_8
4,LAA-2020-07-28,1,664058,R,1,656954,L,0,1,p_W
5,LAA-2020-07-28,1,545361,R,1,656954,L,0,1,h_3
6,LAA-2020-07-28,1,543685,R,1,656954,L,0,1,h_6
7,LAA-2020-07-28,2,621005,R,0,663776,L,1,1,h_S8
8,LAA-2020-07-28,2,641487,L,0,663776,L,1,0,h_8
9,LAA-2020-07-28,2,664238,R,0,663776,L,1,1,h_6
10,LAA-2020-07-28,2,457708,R,1,656954,L,0,1,h_6
11,LAA-2020-07-28,2,660271,L,1,656954,L,0,0,h_6
12,LAA-2020-07-28,2,405395,R,1,656954,L,0,1,h_6
13,LAA-2020-07-28,3,605480,L,0,663776,L,1,0,p_K
14,LAA-2020-07-28,3,641929,R,0,663776,L,1,1,p_W
15,LAA-2020-07-28,3,643418,L,0,663776,L,1,0,p_K
16,LAA-2020-07-28,3,657108,R,0,663776,L,1,1,h_6
17,LAA-2020-07-28,3,600303,L,1,656954,L,0,0,p_W
18,LAA-2020-07-28,3,545358,R,1,656954,L,0,1,p_K
19,LAA-2020-07-28,3,621493,R,1,656954,L,0,1,h_S8
20,LAA-2020-07-28,3,664058,R,1,656954,L,0,1,h_S9
21,LAA-2020-07-28,3,545361,R,1,656954,L,0,1,p_K
22,LAA-2020-07-28,3,543685,R,1,656954,L,0,1,p_W
23,LAA-2020-07-28,3,457708,R,1,656954,L,0,1,h_S5
24,LAA-2020-07-28,3,660271,L,1,656954,L,0,0,h_4
25,LAA-2020-07-28,4,641786,R,0,663776,L,1,1,p_K
26,LAA-2020-07-28,4,572122,L,0,663776,L,1,0,h_3
27,LAA-2020-07-28,4,621005,R,0,663776,L,1,1,h_HR
28,LAA-2020-07-28,4,641487,L,0,663776,L,1,0,h_8
29,LAA-2020-07-28,4,405395,R,1,656954,L,0,1,h_S8
30,LAA-2020-07-28,4,600303,L,1,656954,L,0,0,p_W
31,LAA-2020-07-28,4,545358,R,1,641482,L,0,1,h_HR
32,LAA-2020-07-28,4,621493,R,1,641482,L,0,1,h_7
33,LAA-2020-07-28,4,664058,R,1,641482,L,0,1,h_S8
34,LAA-2020-07-28,4,545361,R,1,641482,L,0,1,p_K
35,LAA-2020-07-28,4,543685,R,1,641482,L,0,1,h_9
36,LAA-2020-07-28,5,664238,R,0,663776,L,1,1,h_D7
37,LAA-2020-07-28,5,605480,L,0,663776,L,1,0,h_E4
38,LAA-2020-07-28,5,641929,R,0,598287,R,1,0,p_K
39,LAA-2020-07-28,5,643418,L,0,598287,R,1,1,h_3
40,LAA-2020-07-28,5,657108,R,0,598287,R,1,0,p_W
41,LAA-2020-07-28,5,641786,R,0,598287,R,1,0,h_1
42,LAA-2020-07-28,5,457708,R,1,641482,R,0,0,h_5
43,LAA-2020-07-28,5,660271,L,1,641482,R,0,1,h_5
44,LAA-2020-07-28,5,405395,R,1,641482,R,0,0,h_HR
45,LAA-2020-07-28,5,600303,L,1,641482,R,0,1,p_HP
46,LAA-2020-07-28,5,545358,R,1,641482,R,0,0,p_W
47,LAA-2020-07-28,5,621493,R,1,641482,R,0,0,h_3
48,LAA-2020-07-28,6,572122,L,0,488748,L,1,0,h_6
49,LAA-2020-07-28,6,621005,R,0,488748,L,1,1,p_K
50,LAA-2020-07-28,6,641487,L,0,488748,L,1,0,h_3
51,LAA-2020-07-28,6,664058,R,1,665093,L,0,1,p_W
52,LAA-2020-07-28,6,545361,R,1,665093,L,0,1,h_8
53,LAA-2020-07-28,6,543685,R,1,665093,L,0,1,p_W
54,LAA-2020-07-28,6,543685,R,1,665093,L,0,1,p_W
55,LAA-2020-07-28,6,457708,R,1,665093,L,0,1,h_8
56,LAA-2020-07-28,6,660271,L,1,665093,L,0,0,h_D8
57,LAA-2020-07-28,6,405395,R,1,665093,L,0,1,h_6
58,LAA-2020-07-28,7,664238,R,0,594577,R,1,0,p_K
59,LAA-2020-07-28,7,605480,L,0,594577,R,1,1,p_K
60,LAA-2020-07-28,7,641929,R,0,594577,R,1,0,h_E5
61,LAA-2020-07-28,7,643418,L,0,594577,R,1,1,h_5
62,LAA-2020-07-28,7,600303,L,1,665093,R,0,1,h_5
63,LAA-2020-07-28,7,545358,R,1,665093,R,0,0,h_3
64,LAA-2020-07-28,7,621493,R,1,665093,R,0,0,h_S7
65,LAA-2020-07-28,7,664058,R,1,665093,R,0,0,h_3
66,LAA-2020-07-28,8,657108,R,0,606930,R,1,0,h_8
67,LAA-2020-07-28,8,641786,R,0,606930,R,1,0,h_S8
68,LAA-2020-07-28,8,572122,L,0,606930,R,1,1,h_5
69,LAA-2020-07-28,8,545361,R,1,665093,R,0,0,h_S8
70,LAA-2020-07-28,8,543685,R,1,665093,R,0,0,h_HR
71,LAA-2020-07-28,8,457708,R,1,665093,R,0,0,p_K
72,LAA-2020-07-28,8,660271,L,1,665093,R,0,1,p_K
73,LAA-2020-07-28,8,405395,R,1,665093,R,0,0,p_W
74,LAA-2020-07-28,8,600303,L,1,665093,R,0,1,h_6
75,LAA-2020-07-28,9,621005,R,0,641871,R,1,0,p_K
76,LAA-2020-07-28,9,641487,L,0,641871,R,1,1,h_S8
77,LAA-2020-07-28,9,664238,R,0,641871,R,1,0,h_S9
78,LAA-2020-07-28,9,605480,L,0,641871,R,1,1,p_K
79,LAA-2020-07-28,9,596129,L,0,641871,R,1,1,p_K
80,LAA-2020-07-29,1,641487,L,0,571760,L,1,0,h_9
81,LAA-2020-07-29,1,657108,R,0,571760,L,1,1,p_K
82,LAA-2020-07-29,1,641786,R,0,571760,L,1,1,p_K
83,LAA-2020-07-29,1,664058,R,1,643290,L,0,1,h_5
84,LAA-2020-07-29,1,545361,R,1,643290,L,0,1,h_9
85,LAA-2020-07-29,1,543685,R,1,643290,L,0,1,p_W
86,LAA-2020-07-29,1,660271,L,1,643290,L,0,0,h_9
87,LAA-2020-07-29,2,572122,L,0,571760,L,1,0,h_3
88,LAA-2020-07-29,2,621005,R,0,571760,L,1,1,p_K
89,LAA-2020-07-29,2,592530,L,0,571760,L,1,0,h_7
90,LAA-2020-07-29,2,457708,R,1,643290,L,0,1,p_K
91,LAA-2020-07-29,2,600303,L,1,643290,L,0,0,h_4
92,LAA-2020-07-29,2,665120,L,1,643290,L,0,0,h_4
93,LAA-2020-07-29,3,664238,R,0,571760,L,1,1,h_S7
94,LAA-2020-07-29,3,543829,L,0,571760,L,1,0,p_K
95,LAA-2020-07-29,3,641929,R,0,571760,L,1,1,p_K
96,LAA-2020-07-29,3,488771,L,1,643290,L,0,0,p_K
97,LAA-2020-07-29,3,571718,L,1,643290,L,0,0,h_9
98,LAA-2020-07-29,3,664058,R,1,643290,L,0,1,h_6
99,LAA-2020-07-29,4,641487,L,0,571760,L,1,0,h_S9
100,LAA-2020-07-29,4,657108,R,0,571760,L,1,1,h_6
101,LAA-2020-07-29,4,641786,R,0,571760,L,1,1,h_S8
102,LAA-2020-07-29,4,572122,L,0,571760,L,1,0,h_S9
103,LAA-2020-07-29,4,621005,R,0,571760,L,1,1,h_4
104,LAA-2020-07-29,4,592530,L,0,571760,L,1,0,h_4
105,LAA-2020-07-29,4,545361,R,1,643290,L,0,1,h_E6
106,LAA-2020-07-29,4,543685,R,1,643290,L,0,1,p_W
107,LAA-2020-07-29,4,660271,L,1,643290,L,0,0,h_HR
108,LAA-2020-07-29,4,457708,R,1,643290,L,0,1,p_W
109,LAA-2020-07-29,4,600303,L,1,676606,L,0,0,h_3
110,LAA-2020-07-29,4,665120,L,1,676606,L,0,0,h_5
111,LAA-2020-07-29,5,664238,R,0,571760,L,1,1,h_1
112,LAA-2020-07-29,5,543829,L,0,571760,L,1,0,h_D7
113,LAA-2020-07-29,5,641929,R,0,571760,L,1,1,p_K
114,LAA-2020-07-29,5,488771,L,1,676606,L,0,0,h_7
115,LAA-2020-07-29,5,571718,L,1,676606,L,0,0,h_HR
116,LAA-2020-07-29,5,664058,R,1,676606,L,0,1,h_9
117,LAA-2020-07-29,5,545361,R,1,676606,L,0,1,h_S8
118,LAA-2020-07-29,5,543685,R,1,676606,L,0,1,p_K
119,LAA-2020-07-29,6,641487,L,0,571760,L,1,0,p_W
120,LAA-2020-07-29,6,657108,R,0,594577,R,1,0,h_9
121,LAA-2020-07-29,6,641786,R,0,594577,R,1,0,h_S9
122,LAA-2020-07-29,6,572122,L,0,594577,R,1,1,h_S8
123,LAA-2020-07-29,6,621005,R,0,594577,R,1,0,h_D8
124,LAA-2020-07-29,6,592530,L,0,594577,R,1,1,p_K
125,LAA-2020-07-29,6,664238,R,0,594577,R,1,0,h_HR
126,LAA-2020-07-29,6,543829,L,0,571948,L,1,0,h_5
127,LAA-2020-07-29,6,660271,L,1,543766,L,0,0,p_K
128,LAA-2020-07-29,6,457708,R,1,543766,L,0,1,h_HR
129,LAA-2020-07-29,6,600303,L,1,543766,L,0,0,h_S7
130,LAA-2020-07-29,6,665120,L,1,543766,L,0,0,h_6
131,LAA-2020-07-29,6,488771,L,1,543766,L,0,0,p_W
132,LAA-2020-07-29,6,571718,L,1,543766,L,0,0,h_D8
133,LAA-2020-07-29,6,664058,R,1,543766,L,0,1,h_3
134,LAA-2020-07-29,7,643418,L,0,606930,R,1,1,h_S9
135,LAA-2020-07-29,7,641487,L,0,606930,R,1,1,p_W
136,LAA-2020-07-29,7,657108,R,0,606930,R,1,0,p_W
137,LAA-2020-07-29,7,641786,R,0,621142,R,1,0,h_5
138,LAA-2020-07-29,7,572122,L,0,621142,R,1,1,h_8
139,LAA-2020-07-29,7,621005,R,0,621142,R,1,0,h_3
140,LAA-2020-07-29,7,545361,R,1,592865,R,0,0,h_S7
141,LAA-2020-07-29,7,543685,R,1,592865,R,0,0,p_K
142,LAA-2020-07-29,7,660271,L,1,592865,R,0,1,h_4
143,LAA-2020-07-29,7,457708,R,1,592865,R,0,0,p_BK
144,LAA-2020-07-29,7,457708,R,1,592865,R,0,0,h_5
145,LAA-2020-07-29,8,592530,L,0,621142,R,1,1,h_4
146,LAA-2020-07-29,8,664238,R,0,621142,R,1,0,p_K
147,LAA-2020-07-29,8,543829,L,0,621142,R,1,1,p_W
148,LAA-2020-07-29,8,643418,L,0,488748,L,1,0,p_W
149,LAA-2020-07-29,8,641487,L,0,488748,L,1,0,h_S8
150,LAA-2020-07-29,8,657108,R,0,488748,L,1,1,h_4
151,LAA-2020-07-29,8,600303,L,1,664948,L,0,0,h_3
152,LAA-2020-07-29,8,621493,R,1,664948,L,0,1,p_K
153,LAA-2020-07-29,8,545358,R,1,664948,L,0,1,p_W
154,LAA-2020-07-29,8,571718,L,1,664948,L,0,0,p_K
155,LAA-2020-07-29,9,641786,R,0,572703,R,1,0,h_S6
156,LAA-2020-07-29,9,572122,L,0,572703,R,1,1,p_BK
157,LAA-2020-07-29,9,572122,L,0,572703,R,1,1,h_S3
158,LAA-2020-07-29,9,621529,R,0,572703,R,1,0,h_3
159,LAA-2020-07-29,9,592530,L,0,572703,R,1,1,h_6
160,LAA-2020-07-29,9,664238,R,0,572703,R,1,0,p_K
161,LAA-2020-07-29,9,664058,R,1,656186,R,0,0,p_K
162,LAA-2020-07-29,9,545361,R,1,656186,R,0,0,h_D7
163,LAA-2020-07-29,9,543685,R,1,656186,R,0,0,h_9
164,LAA-2020-07-29,9,660271,L,1,656186,R,0,1,h_8
165,LAA-2020-07-30,1,641487,L,0,605164,R,1,1,h_S8
166,LAA-2020-07-30,1,621005,R,0,605164,R,1,0,p_K
167,LAA-2020-07-30,1,641786,R,0,605164,R,1,0,p_K
168,LAA-2020-07-30,1,572122,L,0,605164,R,1,1,p_W
169,LAA-2020-07-30,1,592530,L,0,605164,R,1,1,h_HR
170,LAA-2020-07-30,1,643418,L,0,605164,R,1,1,h_D9
171,LAA-2020-07-30,1,596129,L,0,605164,R,1,1,h_5
172,LAA-2020-07-30,1,664058,R,1,594835,R,0,0,h_6
173,LAA-2020-07-30,1,571718,L,1,594835,R,0,1,h_7
174,LAA-2020-07-30,1,543685,R,1,594835,R,0,0,p_K
175,LAA-2020-07-30,2,605480,L,0,605164,R,1,1,h_7
176,LAA-2020-07-30,2,621529,R,0,605164,R,1,0,p_K
177,LAA-2020-07-30,2,641487,L,0,605164,R,1,1,h_8
178,LAA-2020-07-30,2,457708,R,1,594835,R,0,0,p_K
179,LAA-2020-07-30,2,660271,L,1,594835,R,0,1,p_K
180,LAA-2020-07-30,2,405395,R,1,594835,R,0,0,h_5
181,LAA-2020-07-30,3,621005,R,0,605164,R,1,0,h_4
182,LAA-2020-07-30,3,641786,R,0,605164,R,1,0,p_K
183,LAA-2020-07-30,3,572122,L,0,605164,R,1,1,h_1
184,LAA-2020-07-30,3,621493,R,1,594835,R,0,0,p_W
185,LAA-2020-07-30,3,545358,R,1,594835,R,0,0,h_6
186,LAA-2020-07-30,3,650859,S,1,594835,R,0,1,h_7
187,LAA-2020-07-30,4,592530,L,0,605164,R,1,1,p_K
188,LAA-2020-07-30,4,643418,L,0,605164,R,1,1,h_7
189,LAA-2020-07-30,4,596129,L,0,605164,R,1,1,h_S4
190,LAA-2020-07-30,4,605480,L,0,605164,R,1,1,h_8
191,LAA-2020-07-30,4,664058,R,1,594835,R,0,0,p_K
192,LAA-2020-07-30,4,571718,L,1,594835,R,0,1,h_S4
193,LAA-2020-07-30,4,543685,R,1,594835,R,0,0,h_9
194,LAA-2020-07-30,4,457708,R,1,594835,R,0,0,p_K
195,LAA-2020-07-30,5,621529,R,0,605164,R,1,0,p_W
196,LAA-2020-07-30,5,641487,L,0,605164,R,1,1,h_3
197,LAA-2020-07-30,5,621005,R,0,605164,R,1,0,p_K
198,LAA-2020-07-30,5,641786,R,0,605164,R,1,0,h_5
199,LAA-2020-07-30,5,660271,L,1,594835,R,0,1,h_9
200,LAA-2020-07-30,5,405395,R,1,594835,R,0,0,h_9
201,LAA-2020-07-30,5,621493,R,1,594835,R,0,0,h_E4
202,LAA-2020-07-30,5,545358,R,1,594835,R,0,0,h_HR
203,LAA-2020-07-30,5,650859,S,1,594835,R,0,1,h_6
204,LAA-2020-07-30,6,572122,L,0,605164,R,1,1,p_K
205,LAA-2020-07-30,6,592530,L,0,605164,R,1,1,p_K
206,LAA-2020-07-30,6,643418,L,0,605164,R,1,1,h_1
207,LAA-2020-07-30,6,664058,R,1,594835,R,0,0,h_6
208,LAA-2020-07-30,6,571718,L,1,594835,R,0,1,p_K
209,LAA-2020-07-30,6,543685,R,1,594835,R,0,0,h_8
210,LAA-2020-07-30,7,596129,L,0,570240,R,1,1,h_7
211,LAA-2020-07-30,7,605480,L,0,570240,R,1,1,p_W
212,LAA-2020-07-30,7,621529,R,0,570240,R,1,0,h_S4
213,LAA-2020-07-30,7,641487,L,0,570240,R,1,1,p_K
214,LAA-2020-07-30,7,457708,R,1,594835,R,0,0,h_S8
215,LAA-2020-07-30,7,660271,L,1,594835,R,0,1,h_4
216,LAA-2020-07-30,7,405395,R,1,605218,R,0,0,p_K
217,LAA-2020-07-30,7,621493,R,1,605218,R,0,0,h_6
218,LAA-2020-07-30,8,621005,R,0,570240,R,1,0,h_6
219,LAA-2020-07-30,8,641786,R,0,570240,R,1,0,h_S8
220,LAA-2020-07-30,8,572122,L,0,571948,L,1,0,h_8
221,LAA-2020-07-30,8,657108,R,0,571948,L,1,1,p_K
222,LAA-2020-07-30,8,545358,R,1,543483,L,0,1,h_6
223,LAA-2020-07-30,8,650859,S,1,543483,L,0,1,h_5
224,LAA-2020-07-30,8,664058,R,1,543483,L,0,1,h_4
225,LAA-2020-07-30,9,643418,L,0,570663,R,1,1,h_HR
226,LAA-2020-07-30,9,596129,L,0,570663,R,1,1,p_W
227,LAA-2020-07-30,9,605480,L,0,570663,R,1,1,p_W
228,LAA-2020-07-30,9,621529,R,0,570663,R,1,0,h_5
229,LAA-2020-07-30,9,641487,L,0,570663,R,1,1,h_S8
230,LAA-2020-07-30,9,621005,R,0,664918,R,1,0,h_S4
231,LAA-2020-07-30,9,641786,R,0,664918,R,1,0,h_S9
232,LAA-2020-07-30,9,572122,L,0,664918,R,1,1,p_K
233,LAA-2020-07-30,9,657108,R,0,664918,R,1,0,h_5
234,LAA-2020-07-30,9,571718,L,1,656186,R,0,1,h_D9
235,LAA-2020-07-30,9,543685,R,1,656186,R,0,0,p_W
236,LAA-2020-07-30,9,457708,R,1,656186,R,0,0,p_K
237,LAA-2020-07-30,9,660271,L,1,656186,R,0,1,h_HR
