,game_id,game_code,date,venue_id,opp_id,home
0,380537,ARI-2014-03-22,2014-03-22,4589,119,1
1,380538,ARI-2014-03-22,2014-03-22,4589,119,1
2,380538,ARI-2014-03-23,2014-03-23,4589,119,1
3,380550,ARI-2014-03-31,2014-03-31,15,137,1
4,380561,ARI-2014-04-01,2014-04-01,15,137,1
5,380574,ARI-2014-04-02,2014-04-02,15,137,1
6,380585,ARI-2014-04-03,2014-04-03,15,137,1
7,380590,COL-2014-04-04,2014-04-04,19,115,0
8,380605,COL-2014-04-05,2014-04-05,19,115,0
9,380620,COL-2014-04-06,2014-04-06,19,115,0
10,380644,SFG-2014-04-08,2014-04-08,2395,137,0
11,380657,SFG-2014-04-09,2014-04-09,2395,137,0
12,380671,SFG-2014-04-10,2014-04-10,2395,137,0
13,380687,ARI-2014-04-11,2014-04-11,15,119,1
14,380702,ARI-2014-04-12,2014-04-12,15,119,1
15,380717,ARI-2014-04-13,2014-04-13,15,119,1
16,380727,ARI-2014-04-14,2014-04-14,15,121,1
17,380741,ARI-2014-04-15,2014-04-15,15,121,1
18,380756,ARI-2014-04-16,2014-04-16,15,121,1
19,380776,LAD-2014-04-18,2014-04-18,22,119,0
20,380791,LAD-2014-04-19,2014-04-19,22,119,0
21,380806,LAD-2014-04-20,2014-04-20,22,119,0
22,380821,CHC-2014-04-21,2014-04-21,17,112,0
23,380834,CHC-2014-04-22,2014-04-22,17,112,0
24,380849,CHC-2014-04-23,2014-04-23,17,112,0
25,380863,CHC-2014-04-24,2014-04-24,17,112,0
26,380884,ARI-2014-04-25,2014-04-25,15,143,1
27,380899,ARI-2014-04-26,2014-04-26,15,143,1
28,380914,ARI-2014-04-27,2014-04-27,15,143,1
29,380921,ARI-2014-04-28,2014-04-28,15,115,1
30,380929,ARI-2014-04-29,2014-04-29,15,115,1
31,380944,ARI-2014-04-30,2014-04-30,15,115,1
32,380963,SDP-2014-05-02,2014-05-02,2680,135,0
33,380978,SDP-2014-05-03,2014-05-03,2680,135,0
34,380993,SDP-2014-05-04,2014-05-04,2680,135,0
35,381008,MIL-2014-05-05,2014-05-05,32,158,0
36,381021,MIL-2014-05-06,2014-05-06,32,158,0
37,381036,MIL-2014-05-07,2014-05-07,32,158,0
38,381061,CHW-2014-05-09,2014-05-09,4,145,0
39,381076,CHW-2014-05-10,2014-05-10,4,145,0
40,381091,CHW-2014-05-11,2014-05-11,4,145,0
41,381114,ARI-2014-05-12,2014-05-12,15,120,1
42,381129,ARI-2014-05-13,2014-05-13,15,120,1
43,381144,ARI-2014-05-14,2014-05-14,15,120,1
44,381159,ARI-2014-05-16,2014-05-16,15,119,1
45,381174,ARI-2014-05-17,2014-05-17,15,119,1
46,381189,ARI-2014-05-18,2014-05-18,15,119,1
47,381204,STL-2014-05-20,2014-05-20,2889,138,0
48,381219,STL-2014-05-21,2014-05-21,2889,138,0
49,381234,STL-2014-05-22,2014-05-22,2889,138,0
50,381247,NYM-2014-05-23,2014-05-23,3289,121,0
51,381262,NYM-2014-05-24,2014-05-24,3289,121,0
52,381277,NYM-2014-05-25,2014-05-25,3289,121,0
53,381247,NYM-2014-05-25,2014-05-25,3289,121,0
54,381304,ARI-2014-05-26,2014-05-26,15,135,1
55,381319,ARI-2014-05-27,2014-05-27,15,135,1
56,381334,ARI-2014-05-28,2014-05-28,15,135,1
57,381340,ARI-2014-05-29,2014-05-29,15,113,1
58,381351,ARI-2014-05-30,2014-05-30,15,113,1
59,381366,ARI-2014-05-31,2014-05-31,15,113,1
60,381381,ARI-2014-06-01,2014-06-01,15,113,1
61,381399,COL-2014-06-03,2014-06-03,19,115,0
62,381414,COL-2014-06-04,2014-06-04,19,115,0
