,game_id,game_code,date,venue_id,opp_id,home
0,380540,ATL-2014-03-31,2014-03-31,32,158,0
1,380554,ATL-2014-04-01,2014-04-01,32,158,0
2,380563,ATL-2014-04-02,2014-04-02,32,158,0
3,380591,ATL-2014-04-04,2014-04-04,3309,120,0
4,380606,ATL-2014-04-05,2014-04-05,3309,120,0
5,380621,ATL-2014-04-06,2014-04-06,3309,120,0
6,380651,ATL-2014-04-08,2014-04-08,16,121,1
7,380665,ATL-2014-04-09,2014-04-09,16,121,1
8,380677,ATL-2014-04-10,2014-04-10,16,121,1
9,380694,ATL-2014-04-11,2014-04-11,16,120,1
10,380709,ATL-2014-04-12,2014-04-12,16,120,1
11,380724,ATL-2014-04-13,2014-04-13,16,120,1
12,380725,ATL-2014-04-14,2014-04-14,2681,143,0
13,380734,ATL-2014-04-15,2014-04-15,2681,143,0
14,380749,ATL-2014-04-16,2014-04-16,2681,143,0
15,380764,ATL-2014-04-17,2014-04-17,2681,143,0
16,380777,ATL-2014-04-18,2014-04-18,3289,121,0
17,380792,ATL-2014-04-19,2014-04-19,3289,121,0
18,380807,ATL-2014-04-20,2014-04-20,3289,121,0
19,380827,ATL-2014-04-21,2014-04-21,16,146,1
20,380840,ATL-2014-04-22,2014-04-22,16,146,1
21,380855,ATL-2014-04-23,2014-04-23,16,146,1
22,380877,ATL-2014-04-25,2014-04-25,16,113,1
23,380892,ATL-2014-04-26,2014-04-26,16,113,1
24,380907,ATL-2014-04-27,2014-04-27,16,113,1
25,380926,ATL-2014-04-29,2014-04-29,4169,146,0
26,380941,ATL-2014-04-30,2014-04-30,4169,146,0
27,380956,ATL-2014-05-01,2014-05-01,4169,146,0
28,380972,ATL-2014-05-02,2014-05-02,16,137,1
29,380987,ATL-2014-05-03,2014-05-03,16,137,1
30,381002,ATL-2014-05-04,2014-05-04,16,137,1
31,381018,ATL-2014-05-05,2014-05-05,16,138,1
32,381033,ATL-2014-05-06,2014-05-06,16,138,1
33,381050,ATL-2014-05-07,2014-05-07,16,138,1
34,381063,ATL-2014-05-09,2014-05-09,16,112,1
35,381078,ATL-2014-05-10,2014-05-10,16,112,1
36,381093,ATL-2014-05-11,2014-05-11,16,112,1
37,381106,ATL-2014-05-12,2014-05-12,2395,137,0
38,381116,ATL-2014-05-13,2014-05-13,2395,137,0
39,381131,ATL-2014-05-14,2014-05-14,2395,137,0
40,381154,ATL-2014-05-16,2014-05-16,2889,138,0
41,381169,ATL-2014-05-17,2014-05-17,2889,138,0
42,381184,ATL-2014-05-18,2014-05-18,2889,138,0
43,381203,ATL-2014-05-19,2014-05-19,16,158,1
44,381211,ATL-2014-05-20,2014-05-20,16,158,1
45,381226,ATL-2014-05-21,2014-05-21,16,158,1
46,381239,ATL-2014-05-22,2014-05-22,16,158,1
47,381251,ATL-2014-05-23,2014-05-23,16,115,1
48,381266,ATL-2014-05-24,2014-05-24,16,115,1
49,381281,ATL-2014-05-25,2014-05-25,16,115,1
50,381294,ATL-2014-05-26,2014-05-26,16,111,1
51,381309,ATL-2014-05-27,2014-05-27,16,111,1
52,381323,ATL-2014-05-28,2014-05-28,3,111,0
53,381338,ATL-2014-05-29,2014-05-29,3,111,0
54,381348,ATL-2014-05-30,2014-05-30,4169,146,0
55,381363,ATL-2014-05-31,2014-05-31,4169,146,0
56,381378,ATL-2014-06-01,2014-06-01,4169,146,0
57,381409,ATL-2014-06-03,2014-06-03,16,136,1
58,381424,ATL-2014-06-04,2014-06-04,16,136,1
