,game_id,game_code,date,venue_id,opp_id,home
0,380541,BAL-2014-03-31,2014-03-31,2,111,1
1,380564,BAL-2014-04-02,2014-04-02,2,111,1
2,380578,BAL-2014-04-03,2014-04-03,2,111,1
3,380592,DET-2014-04-04,2014-04-04,2394,116,0
4,380607,DET-2014-04-05,2014-04-05,2394,116,0
5,380622,DET-2014-04-06,2014-04-06,2394,116,0
6,380635,NYY-2014-04-07,2014-04-07,3313,147,0
7,380645,NYY-2014-04-08,2014-04-08,3313,147,0
8,380658,NYY-2014-04-09,2014-04-09,3313,147,0
9,380693,BAL-2014-04-11,2014-04-11,2,141,1
10,380708,BAL-2014-04-12,2014-04-12,2,141,1
11,380723,BAL-2014-04-13,2014-04-13,2,141,1
12,380732,BAL-2014-04-14,2014-04-14,2,139,1
13,380746,BAL-2014-04-15,2014-04-15,2,139,1
14,380761,BAL-2014-04-16,2014-04-16,2,139,1
15,380778,BOS-2014-04-18,2014-04-18,3,111,0
16,380793,BOS-2014-04-19,2014-04-19,3,111,0
17,380808,BOS-2014-04-20,2014-04-20,3,111,0
18,380822,BOS-2014-04-21,2014-04-21,3,111,0
19,380835,TOR-2014-04-22,2014-04-22,14,141,0
20,380850,TOR-2014-04-23,2014-04-23,14,141,0
21,380864,TOR-2014-04-24,2014-04-24,14,141,0
22,380881,BAL-2014-04-25,2014-04-25,2,118,1
23,380896,BAL-2014-04-26,2014-04-26,2,118,1
24,380911,BAL-2014-04-27,2014-04-27,2,118,1
25,380935,BAL-2014-04-29,2014-04-29,2,134,1
26,380950,BAL-2014-04-30,2014-04-30,2,134,1
27,380935,BAL-2014-05-01,2014-05-01,2,134,1
28,380950,BAL-2014-05-01,2014-05-01,2,134,1
29,380964,MIN-2014-05-02,2014-05-02,3312,142,0
30,380979,MIN-2014-05-03,2014-05-03,3312,142,0
31,380994,MIN-2014-05-04,2014-05-04,3312,142,0
32,381022,TBR-2014-05-06,2014-05-06,12,139,0
33,381037,TBR-2014-05-07,2014-05-07,12,139,0
34,381051,TBR-2014-05-08,2014-05-08,12,139,0
35,381066,BAL-2014-05-09,2014-05-09,2,117,1
36,381081,BAL-2014-05-10,2014-05-10,2,117,1
37,381096,BAL-2014-05-11,2014-05-11,2,117,1
38,381109,BAL-2014-05-12,2014-05-12,2,116,1
39,381122,BAL-2014-05-13,2014-05-13,2,116,1
40,381137,BAL-2014-05-14,2014-05-14,2,116,1
41,381145,KCR-2014-05-15,2014-05-15,7,118,0
42,381155,KCR-2014-05-16,2014-05-16,7,118,0
43,381170,KCR-2014-05-17,2014-05-17,7,118,0
44,381185,KCR-2014-05-18,2014-05-18,7,118,0
45,381205,PIT-2014-05-20,2014-05-20,31,134,0
46,381220,PIT-2014-05-21,2014-05-21,31,134,0
47,381236,BAL-2014-05-22,2014-05-22,2,114,1
48,381250,BAL-2014-05-23,2014-05-23,2,114,1
49,381265,BAL-2014-05-24,2014-05-24,2,114,1
50,381280,BAL-2014-05-25,2014-05-25,2,114,1
51,381293,MIL-2014-05-26,2014-05-26,32,158,0
52,381308,MIL-2014-05-27,2014-05-27,32,158,0
53,381324,MIL-2014-05-28,2014-05-28,32,158,0
54,381339,HOU-2014-05-29,2014-05-29,2392,117,0
55,381349,HOU-2014-05-30,2014-05-30,2392,117,0
56,381364,HOU-2014-05-31,2014-05-31,2392,117,0
57,381379,HOU-2014-06-01,2014-06-01,2392,117,0
58,381400,TEX-2014-06-03,2014-06-03,13,140,0
59,381415,TEX-2014-06-04,2014-06-04,13,140,0
60,381430,TEX-2014-06-05,2014-06-05,13,140,0
61,381449,BAL-2014-06-06,2014-06-06,2,133,1
62,381464,BAL-2014-06-07,2014-06-07,2,133,1
63,381479,BAL-2014-06-08,2014-06-08,2,133,1
64,381485,BAL-2014-06-09,2014-06-09,2,111,1
65,381497,BAL-2014-06-10,2014-06-10,2,111,1
66,381513,BAL-2014-06-11,2014-06-11,2,111,1
67,381535,BAL-2014-06-12,2014-06-12,2,141,1
68,381550,BAL-2014-06-13,2014-06-13,2,141,1
69,381565,BAL-2014-06-14,2014-06-14,2,141,1
70,381580,BAL-2014-06-15,2014-06-15,2,141,1
71,381583,TBR-2014-06-16,2014-06-16,12,139,0
72,381594,TBR-2014-06-17,2014-06-17,12,139,0
73,381609,TBR-2014-06-18,2014-06-18,12,139,0
74,381635,NYY-2014-06-20,2014-06-20,3313,147,0
75,381650,NYY-2014-06-21,2014-06-21,3313,147,0
76,381665,NYY-2014-06-22,2014-06-22,3313,147,0
77,381680,BAL-2014-06-23,2014-06-23,2,145,1
78,381693,BAL-2014-06-24,2014-06-24,2,145,1
79,381708,BAL-2014-06-25,2014-06-25,2,145,1
80,380746,BAL-2014-06-27,2014-06-27,2,139,1
81,381743,BAL-2014-06-27,2014-06-27,2,139,1
82,381758,BAL-2014-06-28,2014-06-28,2,139,1
83,381773,BAL-2014-06-29,2014-06-29,2,139,1
84,381785,BAL-2014-06-30,2014-06-30,2,140,1
85,381800,BAL-2014-07-01,2014-07-01,2,140,1
86,381815,BAL-2014-07-02,2014-07-02,2,140,1
87,381823,BAL-2014-07-03,2014-07-03,2,140,1
88,381826,BOS-2014-07-04,2014-07-04,3,111,0
89,381826,BOS-2014-07-05,2014-07-05,3,111,0
90,381841,BOS-2014-07-05,2014-07-05,3,111,0
91,381856,BOS-2014-07-06,2014-07-06,3,111,0
92,381871,WSN-2014-07-07,2014-07-07,3309,120,0
93,381885,WSN-2014-07-08,2014-07-08,3309,120,0
94,381913,BAL-2014-07-09,2014-07-09,2,120,1
95,381925,BAL-2014-07-10,2014-07-10,2,120,1
96,381934,BAL-2014-07-11,2014-07-11,2,147,1
97,381949,BAL-2014-07-12,2014-07-12,2,147,1
98,381964,BAL-2014-07-13,2014-07-13,2,147,1
99,381972,OAK-2014-07-18,2014-07-18,10,133,0
100,381987,OAK-2014-07-19,2014-07-19,10,133,0
101,382002,OAK-2014-07-20,2014-07-20,10,133,0
102,382017,LAA-2014-07-21,2014-07-21,1,108,0
103,382029,LAA-2014-07-22,2014-07-22,1,108,0
104,382044,LAA-2014-07-23,2014-07-23,1,108,0
105,382059,SEA-2014-07-24,2014-07-24,680,136,0
106,382071,SEA-2014-07-25,2014-07-25,680,136,0
107,382086,SEA-2014-07-26,2014-07-26,680,136,0
108,382101,SEA-2014-07-27,2014-07-27,680,136,0
109,382125,BAL-2014-07-29,2014-07-29,2,108,1
110,382140,BAL-2014-07-30,2014-07-30,2,108,1
111,382155,BAL-2014-07-31,2014-07-31,2,108,1
112,382177,BAL-2014-08-01,2014-08-01,2,136,1
113,382192,BAL-2014-08-02,2014-08-02,2,136,1
114,382207,BAL-2014-08-03,2014-08-03,2,136,1
115,381885,WSN-2014-08-04,2014-08-04,3309,120,0
116,382219,TOR-2014-08-05,2014-08-05,14,141,0
117,382233,TOR-2014-08-06,2014-08-06,14,141,0
118,382247,TOR-2014-08-07,2014-08-07,14,141,0
119,382271,BAL-2014-08-08,2014-08-08,2,138,1
120,382286,BAL-2014-08-09,2014-08-09,2,138,1
121,382301,BAL-2014-08-10,2014-08-10,2,138,1
122,382310,BAL-2014-08-11,2014-08-11,2,147,1
123,382324,BAL-2014-08-12,2014-08-12,2,147,1
124,382338,BAL-2014-08-13,2014-08-13,2,147,1
125,382358,CLE-2014-08-15,2014-08-15,5,114,0
126,382373,CLE-2014-08-16,2014-08-16,5,114,0
127,382388,CLE-2014-08-17,2014-08-17,5,114,0
128,382404,CHW-2014-08-18,2014-08-18,4,145,0
129,382412,CHW-2014-08-19,2014-08-19,4,145,0
130,382427,CHW-2014-08-20,2014-08-20,4,145,0
131,382449,CHC-2014-08-22,2014-08-22,17,112,0
132,382464,CHC-2014-08-23,2014-08-23,17,112,0
133,382479,CHC-2014-08-24,2014-08-24,17,112,0
134,382498,BAL-2014-08-25,2014-08-25,2,139,1
135,382513,BAL-2014-08-26,2014-08-26,2,139,1
136,382528,BAL-2014-08-27,2014-08-27,2,139,1
137,382538,BAL-2014-08-28,2014-08-28,2,139,1
138,382549,BAL-2014-08-29,2014-08-29,2,142,1
139,382564,BAL-2014-08-30,2014-08-30,2,142,1
140,382579,BAL-2014-08-31,2014-08-31,2,142,1
141,382589,BAL-2014-09-01,2014-09-01,2,142,1
142,382601,BAL-2014-09-02,2014-09-02,2,113,1
143,382616,BAL-2014-09-03,2014-09-03,2,113,1
144,382630,BAL-2014-09-04,2014-09-04,2,113,1
145,382637,TBR-2014-09-05,2014-09-05,12,139,0
146,382652,TBR-2014-09-06,2014-09-06,12,139,0
147,382667,TBR-2014-09-07,2014-09-07,12,139,0
148,382680,BOS-2014-09-08,2014-09-08,3,111,0
149,382693,BOS-2014-09-09,2014-09-09,3,111,0
150,382708,BOS-2014-09-10,2014-09-10,3,111,0
151,382324,BAL-2014-09-12,2014-09-12,2,147,1
152,382740,BAL-2014-09-12,2014-09-12,2,147,1
153,382755,BAL-2014-09-13,2014-09-13,2,147,1
154,382770,BAL-2014-09-14,2014-09-14,2,147,1
155,382785,BAL-2014-09-15,2014-09-15,2,141,1
156,382800,BAL-2014-09-16,2014-09-16,2,141,1
157,382815,BAL-2014-09-17,2014-09-17,2,141,1
158,382828,BAL-2014-09-19,2014-09-19,2,111,1
159,382843,BAL-2014-09-20,2014-09-20,2,111,1
160,382858,BAL-2014-09-21,2014-09-21,2,111,1
161,382874,NYY-2014-09-22,2014-09-22,3313,147,0
162,382885,NYY-2014-09-23,2014-09-23,3313,147,0
163,382900,NYY-2014-09-24,2014-09-24,3313,147,0
164,382913,NYY-2014-09-25,2014-09-25,3313,147,0
165,382926,TOR-2014-09-26,2014-09-26,14,141,0
166,382941,TOR-2014-09-27,2014-09-27,14,141,0
167,382956,TOR-2014-09-28,2014-09-28,14,141,0
0,413651,TBR-2015-04-06,2015-04-06,12,139,0
1,413666,TBR-2015-04-07,2015-04-07,12,139,0
2,413673,TBR-2015-04-08,2015-04-08,12,139,0
3,413709,BAL-2015-04-10,2015-04-10,2,141,1
4,413724,BAL-2015-04-11,2015-04-11,2,141,1
5,413739,BAL-2015-04-12,2015-04-12,2,141,1
6,413749,BAL-2015-04-13,2015-04-13,2,147,1
7,413762,BAL-2015-04-14,2015-04-14,2,147,1
8,413777,BAL-2015-04-15,2015-04-15,2,147,1
9,413792,BOS-2015-04-17,2015-04-17,3,111,0
10,413807,BOS-2015-04-18,2015-04-18,3,111,0
11,413822,BOS-2015-04-19,2015-04-19,3,111,0
12,413834,BOS-2015-04-20,2015-04-20,3,111,0
13,413844,TOR-2015-04-21,2015-04-21,14,141,0
14,413859,TOR-2015-04-22,2015-04-22,14,141,0
15,413874,TOR-2015-04-23,2015-04-23,14,141,0
16,413886,BAL-2015-04-24,2015-04-24,2,111,1
17,413901,BAL-2015-04-25,2015-04-25,2,111,1
18,413916,BAL-2015-04-26,2015-04-26,2,111,1
19,413930,BAL-2015-04-27,2015-04-27,2,145,1
20,413945,BAL-2015-04-28,2015-04-28,2,145,1
21,413960,BAL-2015-04-29,2015-04-29,2,145,1
