,game_id,game_code,date,venue_id,opp_id,home
0,380547,CHW-2014-03-31,2014-03-31,4,142,1
1,380570,CHW-2014-04-02,2014-04-02,4,142,1
2,380582,CHW-2014-04-03,2014-04-03,4,142,1
3,380593,CHW-2014-04-04,2014-04-04,7,118,0
4,380608,CHW-2014-04-05,2014-04-05,7,118,0
5,380623,CHW-2014-04-06,2014-04-06,7,118,0
6,380636,CHW-2014-04-07,2014-04-07,19,115,0
7,380646,CHW-2014-04-08,2014-04-08,19,115,0
8,380659,CHW-2014-04-09,2014-04-09,19,115,0
9,380673,CHW-2014-04-10,2014-04-10,4,114,1
10,380682,CHW-2014-04-11,2014-04-11,4,114,1
11,380697,CHW-2014-04-12,2014-04-12,4,114,1
12,380712,CHW-2014-04-13,2014-04-13,4,114,1
13,380735,CHW-2014-04-15,2014-04-15,4,111,1
14,380750,CHW-2014-04-16,2014-04-16,4,111,1
15,380765,CHW-2014-04-17,2014-04-17,4,111,1
16,380779,CHW-2014-04-18,2014-04-18,13,140,0
17,380794,CHW-2014-04-19,2014-04-19,13,140,0
18,380809,CHW-2014-04-20,2014-04-20,13,140,0
19,380823,CHW-2014-04-21,2014-04-21,2394,116,0
20,380836,CHW-2014-04-22,2014-04-22,2394,116,0
21,380851,CHW-2014-04-23,2014-04-23,2394,116,0
22,380865,CHW-2014-04-24,2014-04-24,2394,116,0
23,380887,CHW-2014-04-25,2014-04-25,4,139,1
24,380902,CHW-2014-04-26,2014-04-26,4,139,1
25,380917,CHW-2014-04-27,2014-04-27,4,139,1
26,380925,CHW-2014-04-28,2014-04-28,4,139,1
27,380930,CHW-2014-04-29,2014-04-29,4,116,1
28,380945,CHW-2014-04-30,2014-04-30,4,116,1
29,380965,CHW-2014-05-02,2014-05-02,5,114,0
30,380980,CHW-2014-05-03,2014-05-03,5,114,0
31,380995,CHW-2014-05-04,2014-05-04,5,114,0
32,381009,CHW-2014-05-05,2014-05-05,17,112,0
33,381023,CHW-2014-05-06,2014-05-06,17,112,0
34,381038,CHW-2014-05-07,2014-05-07,4,112,1
35,381052,CHW-2014-05-08,2014-05-08,4,112,1
36,381061,CHW-2014-05-09,2014-05-09,4,109,1
37,381076,CHW-2014-05-10,2014-05-10,4,109,1
38,381091,CHW-2014-05-11,2014-05-11,4,109,1
39,381107,CHW-2014-05-12,2014-05-12,10,133,0
40,381118,CHW-2014-05-13,2014-05-13,10,133,0
41,381133,CHW-2014-05-14,2014-05-14,10,133,0
42,381156,CHW-2014-05-16,2014-05-16,2392,117,0
43,381171,CHW-2014-05-17,2014-05-17,2392,117,0
44,381186,CHW-2014-05-18,2014-05-18,2392,117,0
45,381199,CHW-2014-05-19,2014-05-19,7,118,0
46,381206,CHW-2014-05-20,2014-05-20,7,118,0
47,381221,CHW-2014-05-21,2014-05-21,7,118,0
48,381240,CHW-2014-05-22,2014-05-22,4,147,1
49,381257,CHW-2014-05-23,2014-05-23,4,147,1
50,381272,CHW-2014-05-24,2014-05-24,4,147,1
51,381287,CHW-2014-05-25,2014-05-25,4,147,1
52,381297,CHW-2014-05-26,2014-05-26,4,114,1
53,381312,CHW-2014-05-27,2014-05-27,4,114,1
54,381327,CHW-2014-05-28,2014-05-28,4,114,1
55,381358,CHW-2014-05-30,2014-05-30,4,135,1
56,381373,CHW-2014-05-31,2014-05-31,4,135,1
57,381388,CHW-2014-06-01,2014-06-01,4,135,1
58,381393,CHW-2014-06-02,2014-06-02,22,119,0
59,381402,CHW-2014-06-03,2014-06-03,22,119,0
60,381417,CHW-2014-06-04,2014-06-04,22,119,0
61,381441,CHW-2014-06-06,2014-06-06,1,108,0
62,381456,CHW-2014-06-07,2014-06-07,1,108,0
63,381471,CHW-2014-06-08,2014-06-08,1,108,0
64,381488,CHW-2014-06-09,2014-06-09,4,116,1
65,381500,CHW-2014-06-10,2014-06-10,4,116,1
66,381516,CHW-2014-06-11,2014-06-11,4,116,1
67,381530,CHW-2014-06-12,2014-06-12,4,116,1
68,381543,CHW-2014-06-13,2014-06-13,4,118,1
69,381558,CHW-2014-06-14,2014-06-14,4,118,1
70,381573,CHW-2014-06-15,2014-06-15,4,118,1
71,381605,CHW-2014-06-17,2014-06-17,4,137,1
72,381620,CHW-2014-06-18,2014-06-18,4,137,1
73,381626,CHW-2014-06-19,2014-06-19,3312,142,0
74,381637,CHW-2014-06-20,2014-06-20,3312,142,0
75,381652,CHW-2014-06-21,2014-06-21,3312,142,0
76,381667,CHW-2014-06-22,2014-06-22,3312,142,0
77,381680,CHW-2014-06-23,2014-06-23,2,110,0
78,381693,CHW-2014-06-24,2014-06-24,2,110,0
79,381708,CHW-2014-06-25,2014-06-25,2,110,0
80,381722,CHW-2014-06-26,2014-06-26,14,141,0
81,381734,CHW-2014-06-27,2014-06-27,14,141,0
82,381749,CHW-2014-06-28,2014-06-28,14,141,0
83,381764,CHW-2014-06-29,2014-06-29,14,141,0
84,381775,CHW-2014-06-30,2014-06-30,4,108,1
85,381786,CHW-2014-07-01,2014-07-01,4,108,1
86,381775,CHW-2014-07-01,2014-07-01,4,108,1
87,381801,CHW-2014-07-02,2014-07-02,4,108,1
88,381835,CHW-2014-07-04,2014-07-04,4,136,1
89,381850,CHW-2014-07-05,2014-07-05,4,136,1
90,381865,CHW-2014-07-06,2014-07-06,4,136,1
91,381872,CHW-2014-07-07,2014-07-07,3,111,0
92,381886,CHW-2014-07-08,2014-07-08,3,111,0
93,381900,CHW-2014-07-09,2014-07-09,3,111,0
94,381916,CHW-2014-07-10,2014-07-10,3,111,0
95,381930,CHW-2014-07-11,2014-07-11,5,114,0
96,381945,CHW-2014-07-12,2014-07-12,5,114,0
97,381960,CHW-2014-07-13,2014-07-13,5,114,0
98,381977,CHW-2014-07-18,2014-07-18,4,117,1
99,381992,CHW-2014-07-19,2014-07-19,4,117,1
100,382007,CHW-2014-07-20,2014-07-20,4,117,1
101,382022,CHW-2014-07-21,2014-07-21,4,118,1
102,382035,CHW-2014-07-22,2014-07-22,4,118,1
103,382050,CHW-2014-07-23,2014-07-23,4,118,1
104,382061,CHW-2014-07-24,2014-07-24,3312,142,0
105,382073,CHW-2014-07-25,2014-07-25,3312,142,0
106,382088,CHW-2014-07-26,2014-07-26,3312,142,0
107,382103,CHW-2014-07-27,2014-07-27,3312,142,0
108,382128,CHW-2014-07-29,2014-07-29,2394,116,0
109,382143,CHW-2014-07-30,2014-07-30,2394,116,0
110,382157,CHW-2014-07-31,2014-07-31,2394,116,0
111,382173,CHW-2014-08-01,2014-08-01,4,142,1
112,382188,CHW-2014-08-02,2014-08-02,4,142,1
113,382203,CHW-2014-08-03,2014-08-03,4,142,1
114,382216,CHW-2014-08-04,2014-08-04,4,140,1
115,382231,CHW-2014-08-05,2014-08-05,4,140,1
