,game_id,game_code,date,venue_id,opp_id,home
0,380551,CIN-2014-03-31,2014-03-31,2602,138,1
1,380575,CIN-2014-04-02,2014-04-02,2602,138,1
2,380586,CIN-2014-04-03,2014-04-03,2602,138,1
3,380594,CIN-2014-04-04,2014-04-04,3289,121,0
4,380609,CIN-2014-04-05,2014-04-05,3289,121,0
5,380624,CIN-2014-04-06,2014-04-06,3289,121,0
6,380637,CIN-2014-04-07,2014-04-07,2889,138,0
7,380647,CIN-2014-04-08,2014-04-08,2889,138,0
8,380660,CIN-2014-04-09,2014-04-09,2889,138,0
9,380692,CIN-2014-04-11,2014-04-11,2602,139,1
10,380707,CIN-2014-04-12,2014-04-12,2602,139,1
11,380722,CIN-2014-04-13,2014-04-13,2602,139,1
12,380729,CIN-2014-04-14,2014-04-14,2602,134,1
13,380729,CIN-2014-04-15,2014-04-15,2602,134,1
14,380743,CIN-2014-04-15,2014-04-15,2602,134,1
15,380758,CIN-2014-04-16,2014-04-16,2602,134,1
16,380780,CIN-2014-04-18,2014-04-18,17,112,0
17,380795,CIN-2014-04-19,2014-04-19,17,112,0
18,380810,CIN-2014-04-20,2014-04-20,17,112,0
19,380824,CIN-2014-04-21,2014-04-21,31,134,0
20,380837,CIN-2014-04-22,2014-04-22,31,134,0
21,380852,CIN-2014-04-23,2014-04-23,31,134,0
22,380866,CIN-2014-04-24,2014-04-24,31,134,0
23,380877,CIN-2014-04-25,2014-04-25,16,144,0
24,380892,CIN-2014-04-26,2014-04-26,16,144,0
25,380907,CIN-2014-04-27,2014-04-27,16,144,0
26,380919,CIN-2014-04-28,2014-04-28,2602,112,1
27,380927,CIN-2014-04-29,2014-04-29,2602,112,1
28,380942,CIN-2014-04-30,2014-04-30,2602,112,1
29,380958,CIN-2014-05-01,2014-05-01,2602,158,1
30,380968,CIN-2014-05-02,2014-05-02,2602,158,1
31,380983,CIN-2014-05-03,2014-05-03,2602,158,1
32,380998,CIN-2014-05-04,2014-05-04,2602,158,1
33,381024,CIN-2014-05-06,2014-05-06,3,111,0
34,381039,CIN-2014-05-07,2014-05-07,3,111,0
35,381065,CIN-2014-05-09,2014-05-09,2602,115,1
36,381080,CIN-2014-05-10,2014-05-10,2602,115,1
37,381095,CIN-2014-05-11,2014-05-11,2602,115,1
38,381126,CIN-2014-05-13,2014-05-13,2602,135,1
39,381141,CIN-2014-05-14,2014-05-14,2602,135,1
40,381152,CIN-2014-05-15,2014-05-15,2602,135,1
41,381141,CIN-2014-05-15,2014-05-15,2602,135,1
42,381157,CIN-2014-05-16,2014-05-16,2681,143,0
43,381172,CIN-2014-05-17,2014-05-17,2681,143,0
44,381187,CIN-2014-05-18,2014-05-18,2681,143,0
45,381200,CIN-2014-05-19,2014-05-19,3309,120,0
46,381207,CIN-2014-05-20,2014-05-20,3309,120,0
47,381222,CIN-2014-05-21,2014-05-21,3309,120,0
48,381259,CIN-2014-05-23,2014-05-23,2602,138,1
49,381274,CIN-2014-05-24,2014-05-24,2602,138,1
50,381289,CIN-2014-05-25,2014-05-25,2602,138,1
51,381296,CIN-2014-05-26,2014-05-26,22,119,0
52,381311,CIN-2014-05-27,2014-05-27,22,119,0
53,381326,CIN-2014-05-28,2014-05-28,22,119,0
54,381340,CIN-2014-05-29,2014-05-29,15,109,0
55,381351,CIN-2014-05-30,2014-05-30,15,109,0
56,381366,CIN-2014-05-31,2014-05-31,15,109,0
57,381381,CIN-2014-06-01,2014-06-01,15,109,0
58,381410,CIN-2014-06-03,2014-06-03,2602,137,1
59,381425,CIN-2014-06-04,2014-06-04,2602,137,1
60,381436,CIN-2014-06-05,2014-06-05,2602,137,1
61,381450,CIN-2014-06-06,2014-06-06,2602,143,1
62,381465,CIN-2014-06-07,2014-06-07,2602,143,1
63,381480,CIN-2014-06-08,2014-06-08,2602,143,1
64,381490,CIN-2014-06-09,2014-06-09,2602,119,1
65,381502,CIN-2014-06-10,2014-06-10,2602,119,1
66,381517,CIN-2014-06-11,2014-06-11,2602,119,1
67,381531,CIN-2014-06-12,2014-06-12,2602,119,1
68,381540,CIN-2014-06-13,2014-06-13,32,158,0
69,381555,CIN-2014-06-14,2014-06-14,32,158,0
70,381570,CIN-2014-06-15,2014-06-15,32,158,0
71,381596,CIN-2014-06-17,2014-06-17,31,134,0
72,381611,CIN-2014-06-18,2014-06-18,31,134,0
73,381627,CIN-2014-06-19,2014-06-19,31,134,0
74,381648,CIN-2014-06-20,2014-06-20,2602,141,1
75,381663,CIN-2014-06-21,2014-06-21,2602,141,1
76,381678,CIN-2014-06-22,2014-06-22,2602,141,1
77,381681,CIN-2014-06-23,2014-06-23,17,112,0
78,381694,CIN-2014-06-24,2014-06-24,17,112,0
79,381709,CIN-2014-06-25,2014-06-25,17,112,0
80,381723,CIN-2014-06-26,2014-06-26,2395,137,0
81,381735,CIN-2014-06-27,2014-06-27,2395,137,0
82,381750,CIN-2014-06-28,2014-06-28,2395,137,0
83,381765,CIN-2014-06-29,2014-06-29,2395,137,0
84,381777,CIN-2014-06-30,2014-06-30,2680,135,0
85,381789,CIN-2014-07-01,2014-07-01,2680,135,0
86,381804,CIN-2014-07-02,2014-07-02,2680,135,0
87,381832,CIN-2014-07-04,2014-07-04,2602,158,1
88,381847,CIN-2014-07-05,2014-07-05,2602,158,1
89,381862,CIN-2014-07-06,2014-07-06,2602,158,1
90,381873,CIN-2014-07-07,2014-07-07,2602,112,1
91,380919,CIN-2014-07-08,2014-07-08,2602,112,1
92,381887,CIN-2014-07-08,2014-07-08,2602,112,1
93,381901,CIN-2014-07-09,2014-07-09,2602,112,1
94,381917,CIN-2014-07-10,2014-07-10,2602,112,1
95,381936,CIN-2014-07-11,2014-07-11,2602,134,1
96,381951,CIN-2014-07-12,2014-07-12,2602,134,1
97,381966,CIN-2014-07-13,2014-07-13,2602,134,1
98,381974,CIN-2014-07-18,2014-07-18,3313,147,0
99,381989,CIN-2014-07-19,2014-07-19,3313,147,0
100,382004,CIN-2014-07-20,2014-07-20,3313,147,0
101,382019,CIN-2014-07-21,2014-07-21,32,158,0
102,382031,CIN-2014-07-22,2014-07-22,32,158,0
103,382046,CIN-2014-07-23,2014-07-23,32,158,0
104,382084,CIN-2014-07-25,2014-07-25,2602,120,1
105,382099,CIN-2014-07-26,2014-07-26,2602,120,1
106,382114,CIN-2014-07-27,2014-07-27,2602,120,1
107,382115,CIN-2014-07-28,2014-07-28,2602,109,1
108,382126,CIN-2014-07-29,2014-07-29,2602,109,1
109,382141,CIN-2014-07-30,2014-07-30,2602,109,1
