,game_id,game_code,date,venue_id,opp_id,home
0,380544,MIA-2014-03-31,2014-03-31,4169,146,0
1,380556,MIA-2014-04-01,2014-04-01,4169,146,0
2,380567,MIA-2014-04-02,2014-04-02,4169,146,0
3,380580,MIA-2014-04-03,2014-04-03,4169,146,0
4,380590,COL-2014-04-04,2014-04-04,19,109,1
5,380605,COL-2014-04-05,2014-04-05,19,109,1
6,380620,COL-2014-04-06,2014-04-06,19,109,1
7,380636,COL-2014-04-07,2014-04-07,19,145,1
8,380646,COL-2014-04-08,2014-04-08,19,145,1
9,380659,COL-2014-04-09,2014-04-09,19,145,1
10,380683,SFG-2014-04-11,2014-04-11,2395,137,0
11,380698,SFG-2014-04-12,2014-04-12,2395,137,0
12,380713,SFG-2014-04-13,2014-04-13,2395,137,0
13,380726,SDP-2014-04-14,2014-04-14,2680,135,0
14,380738,SDP-2014-04-15,2014-04-15,2680,135,0
15,380753,SDP-2014-04-16,2014-04-16,2680,135,0
16,380767,SDP-2014-04-17,2014-04-17,2680,135,0
17,380785,COL-2014-04-18,2014-04-18,19,143,1
18,380800,COL-2014-04-19,2014-04-19,19,143,1
19,380815,COL-2014-04-20,2014-04-20,19,143,1
20,380830,COL-2014-04-21,2014-04-21,19,137,1
21,380845,COL-2014-04-22,2014-04-22,19,137,1
22,380860,COL-2014-04-23,2014-04-23,19,137,1
23,380879,LAD-2014-04-25,2014-04-25,22,119,0
24,380894,LAD-2014-04-26,2014-04-26,22,119,0
25,380909,LAD-2014-04-27,2014-04-27,22,119,0
26,380921,ARI-2014-04-28,2014-04-28,15,109,0
27,380929,ARI-2014-04-29,2014-04-29,15,109,0
28,380944,ARI-2014-04-30,2014-04-30,15,109,0
29,380959,COL-2014-05-01,2014-05-01,19,121,1
30,380969,COL-2014-05-02,2014-05-02,19,121,1
31,380984,COL-2014-05-03,2014-05-03,19,121,1
32,380999,COL-2014-05-04,2014-05-04,19,121,1
33,381019,COL-2014-05-05,2014-05-05,19,140,1
34,381034,COL-2014-05-06,2014-05-06,19,140,1
35,381040,TEX-2014-05-07,2014-05-07,13,140,0
36,381053,TEX-2014-05-08,2014-05-08,13,140,0
37,381065,CIN-2014-05-09,2014-05-09,2602,113,0
38,381080,CIN-2014-05-10,2014-05-10,2602,113,0
39,381095,CIN-2014-05-11,2014-05-11,2602,113,0
40,381121,KCR-2014-05-13,2014-05-13,7,118,0
41,381136,KCR-2014-05-14,2014-05-14,7,118,0
42,381165,COL-2014-05-16,2014-05-16,19,135,1
43,381180,COL-2014-05-17,2014-05-17,19,135,1
44,381195,COL-2014-05-18,2014-05-18,19,135,1
45,381217,COL-2014-05-20,2014-05-20,19,137,1
46,381232,COL-2014-05-21,2014-05-21,19,137,1
47,381243,COL-2014-05-22,2014-05-22,19,137,1
48,381251,ATL-2014-05-23,2014-05-23,16,144,0
49,381266,ATL-2014-05-24,2014-05-24,16,144,0
50,381281,ATL-2014-05-25,2014-05-25,16,144,0
51,381298,PHI-2014-05-26,2014-05-26,2681,143,0
52,381313,PHI-2014-05-27,2014-05-27,2681,143,0
53,381328,PHI-2014-05-28,2014-05-28,2681,143,0
54,381352,CLE-2014-05-30,2014-05-30,5,114,0
55,381367,CLE-2014-05-31,2014-05-31,5,114,0
56,381382,CLE-2014-06-01,2014-06-01,5,114,0
57,381399,COL-2014-06-03,2014-06-03,19,109,1
58,381414,COL-2014-06-04,2014-06-04,19,109,1
59,381429,COL-2014-06-05,2014-06-05,19,109,1
60,381444,COL-2014-06-06,2014-06-06,19,119,1
61,381459,COL-2014-06-07,2014-06-07,19,119,1
62,381474,COL-2014-06-08,2014-06-08,19,119,1
63,381484,COL-2014-06-09,2014-06-09,19,144,1
64,381496,COL-2014-06-10,2014-06-10,19,144,1
65,381512,COL-2014-06-11,2014-06-11,19,144,1
66,381527,COL-2014-06-12,2014-06-12,19,144,1
67,381542,SFG-2014-06-13,2014-06-13,2395,137,0
68,381557,SFG-2014-06-14,2014-06-14,2395,137,0
69,381572,SFG-2014-06-15,2014-06-15,2395,137,0
70,381585,LAD-2014-06-16,2014-06-16,22,119,0
71,381597,LAD-2014-06-17,2014-06-17,22,119,0
72,381612,LAD-2014-06-18,2014-06-18,22,119,0
73,381641,COL-2014-06-20,2014-06-20,19,158,1
74,381656,COL-2014-06-21,2014-06-21,19,158,1
75,381671,COL-2014-06-22,2014-06-22,19,158,1
76,381689,COL-2014-06-23,2014-06-23,19,138,1
77,381704,COL-2014-06-24,2014-06-24,19,138,1
78,381719,COL-2014-06-25,2014-06-25,19,138,1
79,381724,MIL-2014-06-26,2014-06-26,32,158,0
80,381737,MIL-2014-06-27,2014-06-27,32,158,0
81,381752,MIL-2014-06-28,2014-06-28,32,158,0
82,381767,MIL-2014-06-29,2014-06-29,32,158,0
83,381779,WSN-2014-06-30,2014-06-30,3309,120,0
84,381791,WSN-2014-07-01,2014-07-01,3309,120,0
85,381806,WSN-2014-07-02,2014-07-02,3309,120,0
86,381818,COL-2014-07-03,2014-07-03,19,119,1
87,381830,COL-2014-07-04,2014-07-04,19,119,1
88,381845,COL-2014-07-05,2014-07-05,19,119,1
89,381860,COL-2014-07-06,2014-07-06,19,119,1
90,381881,COL-2014-07-07,2014-07-07,19,135,1
91,381896,COL-2014-07-08,2014-07-08,19,135,1
92,381911,COL-2014-07-09,2014-07-09,19,135,1
93,381933,COL-2014-07-11,2014-07-11,19,142,1
94,381948,COL-2014-07-12,2014-07-12,19,142,1
95,381963,COL-2014-07-13,2014-07-13,19,142,1
96,381976,PIT-2014-07-18,2014-07-18,31,134,0
97,381991,PIT-2014-07-19,2014-07-19,31,134,0
98,382006,PIT-2014-07-20,2014-07-20,31,134,0
99,382028,COL-2014-07-21,2014-07-21,19,120,1
100,382043,COL-2014-07-22,2014-07-22,19,120,1
101,382058,COL-2014-07-23,2014-07-23,19,120,1
102,382080,COL-2014-07-25,2014-07-25,19,134,1
103,382095,COL-2014-07-26,2014-07-26,19,134,1
104,382110,COL-2014-07-27,2014-07-27,19,134,1
105,382116,CHC-2014-07-28,2014-07-28,17,112,0
106,382129,CHC-2014-07-29,2014-07-29,17,112,0
107,382144,CHC-2014-07-30,2014-07-30,17,112,0
108,382159,CHC-2014-07-31,2014-07-31,17,112,0
109,382170,DET-2014-08-01,2014-08-01,2394,116,0
110,382185,DET-2014-08-02,2014-08-02,2394,116,0
111,382200,DET-2014-08-03,2014-08-03,2394,116,0
112,382221,COL-2014-08-05,2014-08-05,19,112,1
113,382235,COL-2014-08-06,2014-08-06,19,112,1
114,382250,COL-2014-08-07,2014-08-07,19,112,1
115,382263,ARI-2014-08-08,2014-08-08,15,109,0
116,382278,ARI-2014-08-09,2014-08-09,15,109,0
117,382293,ARI-2014-08-10,2014-08-10,15,109,0
118,382305,SDP-2014-08-11,2014-08-11,2680,135,0
119,382319,SDP-2014-08-12,2014-08-12,2680,135,0
120,382334,SDP-2014-08-13,2014-08-13,2680,135,0
121,382347,COL-2014-08-14,2014-08-14,19,113,1
122,382360,COL-2014-08-15,2014-08-15,19,113,1
123,382375,COL-2014-08-16,2014-08-16,19,113,1
124,382390,COL-2014-08-17,2014-08-17,19,113,1
125,382375,COL-2014-08-17,2014-08-17,19,113,1
126,382417,COL-2014-08-19,2014-08-19,19,118,1
127,382432,COL-2014-08-20,2014-08-20,19,118,1
128,382454,COL-2014-08-22,2014-08-22,19,146,1
129,382469,COL-2014-08-23,2014-08-23,19,146,1
130,382484,COL-2014-08-24,2014-08-24,19,146,1
131,382493,SFG-2014-08-25,2014-08-25,2395,137,0
132,382505,SFG-2014-08-26,2014-08-26,2395,137,0
133,382520,SFG-2014-08-27,2014-08-27,2395,137,0
134,382534,SFG-2014-08-28,2014-08-28,2395,137,0
135,382544,ARI-2014-08-29,2014-08-29,15,109,0
136,382559,ARI-2014-08-30,2014-08-30,15,109,0
137,382574,ARI-2014-08-31,2014-08-31,15,109,0
138,381243,COL-2014-09-01,2014-09-01,19,137,1
139,382594,COL-2014-09-01,2014-09-01,19,137,1
140,382608,COL-2014-09-02,2014-09-02,19,137,1
141,382623,COL-2014-09-03,2014-09-03,19,137,1
142,382644,COL-2014-09-05,2014-09-05,19,135,1
