,game_id,game_code,date,venue_id,opp_id,home
0,380545,DET-2014-03-31,2014-03-31,2394,118,1
1,380568,DET-2014-04-02,2014-04-02,2394,118,1
2,380581,DET-2014-04-03,2014-04-03,2394,118,1
3,380592,DET-2014-04-04,2014-04-04,2394,110,1
4,380607,DET-2014-04-05,2014-04-05,2394,110,1
5,380622,DET-2014-04-06,2014-04-06,2394,110,1
6,380648,LAD-2014-04-08,2014-04-08,22,119,0
7,380661,LAD-2014-04-09,2014-04-09,22,119,0
8,380684,SDP-2014-04-11,2014-04-11,2680,135,0
9,380699,SDP-2014-04-12,2014-04-12,2680,135,0
10,380714,SDP-2014-04-13,2014-04-13,2680,135,0
11,380737,DET-2014-04-15,2014-04-15,2394,114,1
12,380752,DET-2014-04-16,2014-04-16,2394,114,1
13,380766,DET-2014-04-17,2014-04-17,2394,114,1
14,380775,DET-2014-04-18,2014-04-18,2394,108,1
15,380790,DET-2014-04-19,2014-04-19,2394,108,1
16,380805,DET-2014-04-20,2014-04-20,2394,108,1
17,380823,DET-2014-04-21,2014-04-21,2394,145,1
18,380836,DET-2014-04-22,2014-04-22,2394,145,1
19,380851,DET-2014-04-23,2014-04-23,2394,145,1
20,380865,DET-2014-04-24,2014-04-24,2394,145,1
21,380880,MIN-2014-04-25,2014-04-25,3312,142,0
22,380895,MIN-2014-04-26,2014-04-26,3312,142,0
23,380910,MIN-2014-04-27,2014-04-27,3312,142,0
24,380930,CHW-2014-04-29,2014-04-29,4,145,0
25,380945,CHW-2014-04-30,2014-04-30,4,145,0
26,380966,KCR-2014-05-02,2014-05-02,7,118,0
27,380981,KCR-2014-05-03,2014-05-03,7,118,0
28,380996,KCR-2014-05-04,2014-05-04,7,118,0
29,381010,DET-2014-05-05,2014-05-05,2394,117,1
30,381025,DET-2014-05-06,2014-05-06,2394,117,1
31,381041,DET-2014-05-07,2014-05-07,2394,117,1
32,381054,DET-2014-05-08,2014-05-08,2394,117,1
33,381069,DET-2014-05-09,2014-05-09,2394,142,1
34,381084,DET-2014-05-10,2014-05-10,2394,142,1
35,381099,DET-2014-05-11,2014-05-11,2394,142,1
36,381109,BAL-2014-05-12,2014-05-12,2,110,0
37,381122,BAL-2014-05-13,2014-05-13,2,110,0
38,381137,BAL-2014-05-14,2014-05-14,2,110,0
39,381158,BOS-2014-05-16,2014-05-16,3,111,0
40,381173,BOS-2014-05-17,2014-05-17,3,111,0
41,381188,BOS-2014-05-18,2014-05-18,3,111,0
42,381201,CLE-2014-05-19,2014-05-19,5,114,0
43,381208,CLE-2014-05-20,2014-05-20,5,114,0
44,381223,CLE-2014-05-21,2014-05-21,5,114,0
45,381244,DET-2014-05-22,2014-05-22,2394,140,1
46,381260,DET-2014-05-23,2014-05-23,2394,140,1
47,381275,DET-2014-05-24,2014-05-24,2394,140,1
48,381290,DET-2014-05-25,2014-05-25,2394,140,1
49,381299,OAK-2014-05-26,2014-05-26,10,133,0
50,381314,OAK-2014-05-27,2014-05-27,10,133,0
51,381329,OAK-2014-05-28,2014-05-28,10,133,0
52,381341,OAK-2014-05-29,2014-05-29,10,133,0
53,381353,SEA-2014-05-30,2014-05-30,680,136,0
54,381368,SEA-2014-05-31,2014-05-31,680,136,0
55,381383,SEA-2014-06-01,2014-06-01,680,136,0
56,381412,DET-2014-06-03,2014-06-03,2394,141,1
57,381427,DET-2014-06-04,2014-06-04,2394,141,1
58,381438,DET-2014-06-05,2014-06-05,2394,141,1
59,381440,DET-2014-06-06,2014-06-06,2394,111,1
60,381455,DET-2014-06-07,2014-06-07,2394,111,1
61,381470,DET-2014-06-08,2014-06-08,2394,111,1
62,381488,CHW-2014-06-09,2014-06-09,4,145,0
63,381500,CHW-2014-06-10,2014-06-10,4,145,0
64,381516,CHW-2014-06-11,2014-06-11,4,145,0
65,381530,CHW-2014-06-12,2014-06-12,4,145,0
66,381544,DET-2014-06-13,2014-06-13,2394,142,1
67,381559,DET-2014-06-14,2014-06-14,2394,142,1
68,381574,DET-2014-06-15,2014-06-15,2394,142,1
69,381586,DET-2014-06-16,2014-06-16,2394,118,1
70,381599,DET-2014-06-17,2014-06-17,2394,118,1
71,381614,DET-2014-06-18,2014-06-18,2394,118,1
72,380581,DET-2014-06-19,2014-06-19,2394,118,1
73,381638,CLE-2014-06-20,2014-06-20,5,114,0
74,381653,CLE-2014-06-21,2014-06-21,5,114,0
75,381668,CLE-2014-06-22,2014-06-22,5,114,0
76,381696,TEX-2014-06-24,2014-06-24,13,140,0
77,381711,TEX-2014-06-25,2014-06-25,13,140,0
78,381725,TEX-2014-06-26,2014-06-26,13,140,0
79,381738,HOU-2014-06-27,2014-06-27,2392,117,0
80,381753,HOU-2014-06-28,2014-06-28,2392,117,0
81,381768,HOU-2014-06-29,2014-06-29,2392,117,0
82,381782,DET-2014-06-30,2014-06-30,2394,133,1
83,381795,DET-2014-07-01,2014-07-01,2394,133,1
84,381810,DET-2014-07-02,2014-07-02,2394,133,1
85,381822,DET-2014-07-03,2014-07-03,2394,139,1
86,381837,DET-2014-07-04,2014-07-04,2394,139,1
87,381852,DET-2014-07-05,2014-07-05,2394,139,1
88,381867,DET-2014-07-06,2014-07-06,2394,139,1
89,381890,DET-2014-07-08,2014-07-08,2394,119,1
90,381904,DET-2014-07-09,2014-07-09,2394,119,1
91,381918,KCR-2014-07-10,2014-07-10,7,118,0
92,381931,KCR-2014-07-11,2014-07-11,7,118,0
93,381946,KCR-2014-07-12,2014-07-12,7,118,0
94,381961,KCR-2014-07-13,2014-07-13,7,118,0
95,381975,DET-2014-07-18,2014-07-18,2394,114,1
96,380737,DET-2014-07-19,2014-07-19,2394,114,1
97,381990,DET-2014-07-19,2014-07-19,2394,114,1
98,382005,DET-2014-07-20,2014-07-20,2394,114,1
99,382021,ARI-2014-07-21,2014-07-21,15,109,0
100,382033,ARI-2014-07-22,2014-07-22,15,109,0
101,382048,ARI-2014-07-23,2014-07-23,15,109,0
102,382063,LAA-2014-07-24,2014-07-24,1,108,0
103,382075,LAA-2014-07-25,2014-07-25,1,108,0
104,382090,LAA-2014-07-26,2014-07-26,1,108,0
105,382105,LAA-2014-07-27,2014-07-27,1,108,0
106,382128,DET-2014-07-29,2014-07-29,2394,145,1
107,382143,DET-2014-07-30,2014-07-30,2394,145,1
108,382157,DET-2014-07-31,2014-07-31,2394,145,1
109,382170,DET-2014-08-01,2014-08-01,2394,115,1
110,382185,DET-2014-08-02,2014-08-02,2394,115,1
111,382200,DET-2014-08-03,2014-08-03,2394,115,1
112,382213,NYY-2014-08-04,2014-08-04,3313,147,0
113,382223,NYY-2014-08-05,2014-08-05,3313,147,0
114,382237,NYY-2014-08-06,2014-08-06,3313,147,0
115,382252,NYY-2014-08-07,2014-08-07,3313,147,0
116,382264,TOR-2014-08-08,2014-08-08,14,141,0
117,382279,TOR-2014-08-09,2014-08-09,14,141,0
118,382294,TOR-2014-08-10,2014-08-10,14,141,0
119,382306,PIT-2014-08-11,2014-08-11,31,134,0
120,382320,PIT-2014-08-12,2014-08-12,31,134,0
121,382341,DET-2014-08-13,2014-08-13,2394,134,1
122,382352,DET-2014-08-14,2014-08-14,2394,134,1
123,382369,DET-2014-08-15,2014-08-15,2394,136,1
124,382384,DET-2014-08-16,2014-08-16,2394,136,1
125,382399,DET-2014-08-17,2014-08-17,2394,136,1
126,382415,TBR-2014-08-19,2014-08-19,12,139,0
127,382430,TBR-2014-08-20,2014-08-20,12,139,0
128,382443,TBR-2014-08-21,2014-08-21,12,139,0
129,382451,MIN-2014-08-22,2014-08-22,3312,142,0
130,380910,MIN-2014-08-23,2014-08-23,3312,142,0
131,382466,MIN-2014-08-23,2014-08-23,3312,142,0
132,382481,MIN-2014-08-24,2014-08-24,3312,142,0
133,382510,DET-2014-08-26,2014-08-26,2394,147,1
134,382525,DET-2014-08-27,2014-08-27,2394,147,1
135,382536,DET-2014-08-28,2014-08-28,2394,147,1
136,382545,CHW-2014-08-29,2014-08-29,4,145,0
137,381500,CHW-2014-08-30,2014-08-30,4,145,0
138,382560,CHW-2014-08-30,2014-08-30,4,145,0
139,382575,CHW-2014-08-31,2014-08-31,4,145,0
140,382587,CLE-2014-09-01,2014-09-01,5,114,0
141,382602,CLE-2014-09-02,2014-09-02,5,114,0
142,382617,CLE-2014-09-03,2014-09-03,5,114,0
143,381682,CLE-2014-09-04,2014-09-04,5,114,0
144,382646,DET-2014-09-05,2014-09-05,2394,137,1
145,382661,DET-2014-09-06,2014-09-06,2394,137,1
146,382676,DET-2014-09-07,2014-09-07,2394,137,1
147,382684,DET-2014-09-08,2014-09-08,2394,118,1
148,382697,DET-2014-09-09,2014-09-09,2394,118,1
149,382712,DET-2014-09-10,2014-09-10,2394,118,1
150,382734,DET-2014-09-12,2014-09-12,2394,114,1
151,382749,DET-2014-09-13,2014-09-13,2394,114,1
152,382764,DET-2014-09-14,2014-09-14,2394,114,1
153,382778,MIN-2014-09-15,2014-09-15,3312,142,0
154,382791,MIN-2014-09-16,2014-09-16,3312,142,0
155,382806,MIN-2014-09-17,2014-09-17,3312,142,0
156,382832,KCR-2014-09-19,2014-09-19,7,118,0
157,382847,KCR-2014-09-20,2014-09-20,7,118,0
158,382862,KCR-2014-09-21,2014-09-21,7,118,0
159,382875,DET-2014-09-22,2014-09-22,2394,145,1
160,382886,DET-2014-09-23,2014-09-23,2394,145,1
161,382901,DET-2014-09-24,2014-09-24,2394,145,1
162,382916,DET-2014-09-25,2014-09-25,2394,142,1
163,382932,DET-2014-09-26,2014-09-26,2394,142,1
164,382947,DET-2014-09-27,2014-09-27,2394,142,1
165,382962,DET-2014-09-28,2014-09-28,2394,142,1
0,413656,DET-2015-04-06,2015-04-06,2394,142,1
1,413678,DET-2015-04-08,2015-04-08,2394,142,1
2,413689,DET-2015-04-09,2015-04-09,2394,142,1
3,413698,CLE-2015-04-10,2015-04-10,5,114,0
4,413713,CLE-2015-04-11,2015-04-11,5,114,0
5,413728,CLE-2015-04-12,2015-04-12,5,114,0
6,413745,PIT-2015-04-13,2015-04-13,31,134,0
7,413760,PIT-2015-04-14,2015-04-14,31,134,0
8,413773,PIT-2015-04-15,2015-04-15,31,134,0
9,413793,DET-2015-04-17,2015-04-17,2394,145,1
10,413808,DET-2015-04-18,2015-04-18,2394,145,1
11,413823,DET-2015-04-19,2015-04-19,2394,145,1
12,413840,DET-2015-04-20,2015-04-20,2394,147,1
13,413853,DET-2015-04-21,2015-04-21,2394,147,1
14,413868,DET-2015-04-22,2015-04-22,2394,147,1
15,413881,DET-2015-04-23,2015-04-23,2394,147,1
16,413888,DET-2015-04-24,2015-04-24,2394,114,1
17,413903,DET-2015-04-25,2015-04-25,2394,114,1
18,413918,DET-2015-04-26,2015-04-26,2394,114,1
19,413932,MIN-2015-04-27,2015-04-27,3312,142,0
20,413947,MIN-2015-04-28,2015-04-28,3312,142,0
21,413962,MIN-2015-04-29,2015-04-29,3312,142,0
22,413977,KCR-2015-04-30,2015-04-30,7,118,0
23,413987,KCR-2015-05-01,2015-05-01,7,118,0
24,414002,KCR-2015-05-02,2015-05-02,7,118,0
25,414017,KCR-2015-05-03,2015-05-03,7,118,0
