,game_id,game_code,date,venue_id,opp_id,home
0,380545,KCR-2014-03-31,2014-03-31,2394,116,0
1,380568,KCR-2014-04-02,2014-04-02,2394,116,0
2,380581,KCR-2014-04-03,2014-04-03,2394,116,0
3,380593,KCR-2014-04-04,2014-04-04,7,145,1
4,380608,KCR-2014-04-05,2014-04-05,7,145,1
5,380623,KCR-2014-04-06,2014-04-06,7,145,1
6,380641,KCR-2014-04-07,2014-04-07,7,139,1
7,380654,KCR-2014-04-08,2014-04-08,7,139,1
8,380669,KCR-2014-04-09,2014-04-09,7,139,1
9,380686,KCR-2014-04-11,2014-04-11,3312,142,0
10,380701,KCR-2014-04-12,2014-04-12,3312,142,0
11,380716,KCR-2014-04-13,2014-04-13,3312,142,0
12,380739,KCR-2014-04-15,2014-04-15,2392,117,0
13,380754,KCR-2014-04-16,2014-04-16,2392,117,0
14,380768,KCR-2014-04-17,2014-04-17,2392,117,0
15,380783,KCR-2014-04-18,2014-04-18,7,142,1
16,380798,KCR-2014-04-19,2014-04-19,7,142,1
17,380813,KCR-2014-04-20,2014-04-20,7,142,1
18,380826,KCR-2014-04-21,2014-04-21,5,114,0
19,380839,KCR-2014-04-22,2014-04-22,5,114,0
20,380854,KCR-2014-04-23,2014-04-23,5,114,0
21,380867,KCR-2014-04-24,2014-04-24,5,114,0
22,380881,KCR-2014-04-25,2014-04-25,2,110,0
23,380896,KCR-2014-04-26,2014-04-26,2,110,0
24,380911,KCR-2014-04-27,2014-04-27,2,110,0
25,380939,KCR-2014-04-29,2014-04-29,7,141,1
26,380954,KCR-2014-04-30,2014-04-30,7,141,1
27,380962,KCR-2014-05-01,2014-05-01,7,141,1
28,380966,KCR-2014-05-02,2014-05-02,7,116,1
29,380981,KCR-2014-05-03,2014-05-03,7,116,1
30,380996,KCR-2014-05-04,2014-05-04,7,116,1
31,381011,KCR-2014-05-05,2014-05-05,2680,135,0
32,381026,KCR-2014-05-06,2014-05-06,2680,135,0
33,381042,KCR-2014-05-07,2014-05-07,2680,135,0
34,381055,KCR-2014-05-08,2014-05-08,680,136,0
35,381067,KCR-2014-05-09,2014-05-09,680,136,0
36,381082,KCR-2014-05-10,2014-05-10,680,136,0
37,381097,KCR-2014-05-11,2014-05-11,680,136,0
38,381121,KCR-2014-05-13,2014-05-13,7,115,1
39,381136,KCR-2014-05-14,2014-05-14,7,115,1
40,381145,KCR-2014-05-15,2014-05-15,7,110,1
41,381155,KCR-2014-05-16,2014-05-16,7,110,1
42,381170,KCR-2014-05-17,2014-05-17,7,110,1
43,381185,KCR-2014-05-18,2014-05-18,7,110,1
44,381199,KCR-2014-05-19,2014-05-19,7,145,1
45,381206,KCR-2014-05-20,2014-05-20,7,145,1
46,381221,KCR-2014-05-21,2014-05-21,7,145,1
47,381253,KCR-2014-05-23,2014-05-23,1,108,0
48,381268,KCR-2014-05-24,2014-05-24,1,108,0
49,381283,KCR-2014-05-25,2014-05-25,1,108,0
50,381300,KCR-2014-05-26,2014-05-26,7,117,1
51,381315,KCR-2014-05-27,2014-05-27,7,117,1
52,381330,KCR-2014-05-28,2014-05-28,7,117,1
53,381342,KCR-2014-05-29,2014-05-29,14,141,0
54,381354,KCR-2014-05-30,2014-05-30,14,141,0
55,381369,KCR-2014-05-31,2014-05-31,14,141,0
56,381384,KCR-2014-06-01,2014-06-01,14,141,0
57,381394,KCR-2014-06-02,2014-06-02,2889,138,0
58,381403,KCR-2014-06-03,2014-06-03,2889,138,0
59,381426,KCR-2014-06-04,2014-06-04,7,138,1
60,381437,KCR-2014-06-05,2014-06-05,7,138,1
61,381447,KCR-2014-06-06,2014-06-06,7,147,1
62,381462,KCR-2014-06-07,2014-06-07,7,147,1
63,381477,KCR-2014-06-08,2014-06-08,7,147,1
64,381492,KCR-2014-06-09,2014-06-09,7,147,1
65,381499,KCR-2014-06-10,2014-06-10,7,114,1
66,381515,KCR-2014-06-11,2014-06-11,7,114,1
67,381543,KCR-2014-06-13,2014-06-13,4,145,0
68,381558,KCR-2014-06-14,2014-06-14,4,145,0
69,381573,KCR-2014-06-15,2014-06-15,4,145,0
70,381586,KCR-2014-06-16,2014-06-16,2394,116,0
71,381599,KCR-2014-06-17,2014-06-17,2394,116,0
72,381614,KCR-2014-06-18,2014-06-18,2394,116,0
73,380581,KCR-2014-06-19,2014-06-19,2394,116,0
74,381645,KCR-2014-06-20,2014-06-20,7,136,1
75,381660,KCR-2014-06-21,2014-06-21,7,136,1
76,381675,KCR-2014-06-22,2014-06-22,7,136,1
77,381683,KCR-2014-06-23,2014-06-23,7,119,1
78,381697,KCR-2014-06-24,2014-06-24,7,119,1
79,381712,KCR-2014-06-25,2014-06-25,7,119,1
80,381730,KCR-2014-06-27,2014-06-27,7,108,1
81,381745,KCR-2014-06-28,2014-06-28,7,108,1
82,381760,KCR-2014-06-29,2014-06-29,7,108,1
83,381780,KCR-2014-06-30,2014-06-30,3312,142,0
84,381792,KCR-2014-07-01,2014-07-01,3312,142,0
85,381807,KCR-2014-07-02,2014-07-02,3312,142,0
86,381829,KCR-2014-07-04,2014-07-04,5,114,0
87,381844,KCR-2014-07-05,2014-07-05,5,114,0
88,381859,KCR-2014-07-06,2014-07-06,5,114,0
89,381875,KCR-2014-07-07,2014-07-07,12,139,0
90,381889,KCR-2014-07-08,2014-07-08,12,139,0
91,381903,KCR-2014-07-09,2014-07-09,12,139,0
92,381918,KCR-2014-07-10,2014-07-10,7,116,1
93,381931,KCR-2014-07-11,2014-07-11,7,116,1
94,381946,KCR-2014-07-12,2014-07-12,7,116,1
95,381961,KCR-2014-07-13,2014-07-13,7,116,1
96,381978,KCR-2014-07-18,2014-07-18,3,111,0
97,381993,KCR-2014-07-19,2014-07-19,3,111,0
98,382008,KCR-2014-07-20,2014-07-20,3,111,0
99,382022,KCR-2014-07-21,2014-07-21,4,145,0
100,382035,KCR-2014-07-22,2014-07-22,4,145,0
101,382050,KCR-2014-07-23,2014-07-23,4,145,0
102,382062,KCR-2014-07-24,2014-07-24,7,114,1
103,382074,KCR-2014-07-25,2014-07-25,7,114,1
104,382089,KCR-2014-07-26,2014-07-26,7,114,1
105,382104,KCR-2014-07-27,2014-07-27,7,114,1
106,382131,KCR-2014-07-29,2014-07-29,7,142,1
107,382146,KCR-2014-07-30,2014-07-30,7,142,1
108,382160,KCR-2014-07-31,2014-07-31,7,142,1
109,382171,KCR-2014-08-01,2014-08-01,10,133,0
110,382186,KCR-2014-08-02,2014-08-02,10,133,0
111,382201,KCR-2014-08-03,2014-08-03,10,133,0
112,382225,KCR-2014-08-05,2014-08-05,15,109,0
113,382239,KCR-2014-08-06,2014-08-06,15,109,0
114,382254,KCR-2014-08-07,2014-08-07,15,109,0
115,382270,KCR-2014-08-08,2014-08-08,7,137,1
116,382285,KCR-2014-08-09,2014-08-09,7,137,1
117,382300,KCR-2014-08-10,2014-08-10,7,137,1
118,382312,KCR-2014-08-11,2014-08-11,7,133,1
119,382325,KCR-2014-08-12,2014-08-12,7,133,1
120,382339,KCR-2014-08-13,2014-08-13,7,133,1
121,382351,KCR-2014-08-14,2014-08-14,7,133,1
122,382362,KCR-2014-08-15,2014-08-15,3312,142,0
123,382377,KCR-2014-08-16,2014-08-16,3312,142,0
124,382392,KCR-2014-08-17,2014-08-17,3312,142,0
125,382407,KCR-2014-08-18,2014-08-18,3312,142,0
126,382417,KCR-2014-08-19,2014-08-19,19,115,0
127,382432,KCR-2014-08-20,2014-08-20,19,115,0
128,382453,KCR-2014-08-22,2014-08-22,13,140,0
129,382468,KCR-2014-08-23,2014-08-23,13,140,0
130,382483,KCR-2014-08-24,2014-08-24,13,140,0
131,381492,KCR-2014-08-25,2014-08-25,7,147,1
132,382509,KCR-2014-08-26,2014-08-26,7,142,1
133,382524,KCR-2014-08-27,2014-08-27,7,142,1
134,382535,KCR-2014-08-28,2014-08-28,7,142,1
135,382543,KCR-2014-08-29,2014-08-29,7,114,1
136,382558,KCR-2014-08-30,2014-08-30,7,114,1
137,382573,KCR-2014-08-31,2014-08-31,7,114,1
138,382595,KCR-2014-09-01,2014-09-01,7,140,1
139,382609,KCR-2014-09-02,2014-09-02,7,140,1
140,382624,KCR-2014-09-03,2014-09-03,7,140,1
141,382640,KCR-2014-09-05,2014-09-05,3313,147,0
142,382655,KCR-2014-09-06,2014-09-06,3313,147,0
143,382670,KCR-2014-09-07,2014-09-07,3313,147,0
144,382684,KCR-2014-09-08,2014-09-08,2394,116,0
145,382697,KCR-2014-09-09,2014-09-09,2394,116,0
146,382712,KCR-2014-09-10,2014-09-10,2394,116,0
147,382722,KCR-2014-09-11,2014-09-11,7,111,1
148,382731,KCR-2014-09-12,2014-09-12,7,111,1
149,382746,KCR-2014-09-13,2014-09-13,7,111,1
150,382761,KCR-2014-09-14,2014-09-14,7,111,1
151,382775,KCR-2014-09-15,2014-09-15,7,145,1
152,382788,KCR-2014-09-16,2014-09-16,7,145,1
153,382803,KCR-2014-09-17,2014-09-17,7,145,1
154,382832,KCR-2014-09-19,2014-09-19,7,116,1
155,382847,KCR-2014-09-20,2014-09-20,7,116,1
156,382862,KCR-2014-09-21,2014-09-21,7,116,1
157,382573,KCR-2014-09-22,2014-09-22,5,114,1
158,382878,KCR-2014-09-22,2014-09-22,5,114,0
159,382889,KCR-2014-09-23,2014-09-23,5,114,0
160,382904,KCR-2014-09-24,2014-09-24,5,114,0
161,382914,KCR-2014-09-25,2014-09-25,4,145,0
162,382930,KCR-2014-09-26,2014-09-26,4,145,0
163,382945,KCR-2014-09-27,2014-09-27,4,145,0
164,382960,KCR-2014-09-28,2014-09-28,4,145,0
