,game_id,game_code,date,venue_id,opp_id,home
0,380537,LAD-2014-03-22,2014-03-22,4589,109,0
1,380538,LAD-2014-03-22,2014-03-22,4589,109,0
2,380538,LAD-2014-03-23,2014-03-23,4589,109,0
3,380546,LAD-2014-03-30,2014-03-30,2680,135,0
4,380557,LAD-2014-04-01,2014-04-01,2680,135,0
5,380569,LAD-2014-04-02,2014-04-02,2680,135,0
6,380601,LAD-2014-04-04,2014-04-04,22,137,1
7,380616,LAD-2014-04-05,2014-04-05,22,137,1
8,380631,LAD-2014-04-06,2014-04-06,22,137,1
9,380648,LAD-2014-04-08,2014-04-08,22,116,1
10,380661,LAD-2014-04-09,2014-04-09,22,116,1
11,380687,LAD-2014-04-11,2014-04-11,15,109,0
12,380702,LAD-2014-04-12,2014-04-12,15,109,0
13,380717,LAD-2014-04-13,2014-04-13,15,109,0
14,380740,LAD-2014-04-15,2014-04-15,2395,137,0
15,380755,LAD-2014-04-16,2014-04-16,2395,137,0
16,380769,LAD-2014-04-17,2014-04-17,2395,137,0
17,380776,LAD-2014-04-18,2014-04-18,22,109,1
18,380791,LAD-2014-04-19,2014-04-19,22,109,1
19,380806,LAD-2014-04-20,2014-04-20,22,109,1
20,380828,LAD-2014-04-21,2014-04-21,22,143,1
21,380843,LAD-2014-04-22,2014-04-22,22,143,1
22,380858,LAD-2014-04-23,2014-04-23,22,143,1
23,380871,LAD-2014-04-24,2014-04-24,22,143,1
24,380879,LAD-2014-04-25,2014-04-25,22,115,1
25,380894,LAD-2014-04-26,2014-04-26,22,115,1
26,380909,LAD-2014-04-27,2014-04-27,22,115,1
27,380931,LAD-2014-04-29,2014-04-29,3312,142,0
28,380946,LAD-2014-04-30,2014-04-30,3312,142,0
29,380957,LAD-2014-05-01,2014-05-01,3312,142,0
30,380931,LAD-2014-05-01,2014-05-01,3312,142,0
31,380967,LAD-2014-05-02,2014-05-02,4169,146,0
32,380982,LAD-2014-05-03,2014-05-03,4169,146,0
33,380997,LAD-2014-05-04,2014-05-04,4169,146,0
34,381012,LAD-2014-05-05,2014-05-05,3309,120,0
35,381027,LAD-2014-05-06,2014-05-06,3309,120,0
36,381043,LAD-2014-05-07,2014-05-07,3309,120,0
37,381059,LAD-2014-05-08,2014-05-08,22,137,1
38,381072,LAD-2014-05-09,2014-05-09,22,137,1
39,381087,LAD-2014-05-10,2014-05-10,22,137,1
40,381102,LAD-2014-05-11,2014-05-11,22,137,1
41,381110,LAD-2014-05-12,2014-05-12,22,146,1
42,381123,LAD-2014-05-13,2014-05-13,22,146,1
43,381138,LAD-2014-05-14,2014-05-14,22,146,1
44,381159,LAD-2014-05-16,2014-05-16,15,109,0
45,381174,LAD-2014-05-17,2014-05-17,15,109,0
46,381189,LAD-2014-05-18,2014-05-18,15,109,0
47,381210,LAD-2014-05-20,2014-05-20,3289,121,0
48,381225,LAD-2014-05-21,2014-05-21,3289,121,0
49,381238,LAD-2014-05-22,2014-05-22,3289,121,0
50,381254,LAD-2014-05-23,2014-05-23,2681,143,0
51,381269,LAD-2014-05-24,2014-05-24,2681,143,0
52,381284,LAD-2014-05-25,2014-05-25,2681,143,0
53,381296,LAD-2014-05-26,2014-05-26,22,113,1
54,381311,LAD-2014-05-27,2014-05-27,22,113,1
55,381326,LAD-2014-05-28,2014-05-28,22,113,1
56,381344,LAD-2014-05-29,2014-05-29,22,134,1
