,game_id,game_code,date,venue_id,opp_id,home
0,380544,MIA-2014-03-31,2014-03-31,4169,115,1
1,380556,MIA-2014-04-01,2014-04-01,4169,115,1
2,380567,MIA-2014-04-02,2014-04-02,4169,115,1
3,380580,MIA-2014-04-03,2014-04-03,4169,115,1
4,380599,MIA-2014-04-04,2014-04-04,4169,135,1
5,380614,MIA-2014-04-05,2014-04-05,4169,135,1
6,380629,MIA-2014-04-06,2014-04-06,4169,135,1
7,380650,MIA-2014-04-08,2014-04-08,3309,120,0
8,380663,MIA-2014-04-09,2014-04-09,3309,120,0
9,380675,MIA-2014-04-10,2014-04-10,3309,120,0
10,380688,MIA-2014-04-11,2014-04-11,2681,143,0
11,380703,MIA-2014-04-12,2014-04-12,2681,143,0
12,380718,MIA-2014-04-13,2014-04-13,2681,143,0
13,380733,MIA-2014-04-14,2014-04-14,4169,120,1
14,380748,MIA-2014-04-15,2014-04-15,4169,120,1
15,380763,MIA-2014-04-16,2014-04-16,4169,120,1
16,380786,MIA-2014-04-18,2014-04-18,4169,136,1
17,380801,MIA-2014-04-19,2014-04-19,4169,136,1
18,380816,MIA-2014-04-20,2014-04-20,4169,136,1
19,380827,MIA-2014-04-21,2014-04-21,16,144,0
20,380840,MIA-2014-04-22,2014-04-22,16,144,0
21,380855,MIA-2014-04-23,2014-04-23,16,144,0
22,380882,MIA-2014-04-25,2014-04-25,3289,121,0
23,380897,MIA-2014-04-26,2014-04-26,3289,121,0
24,380912,MIA-2014-04-27,2014-04-27,3289,121,0
25,380926,MIA-2014-04-29,2014-04-29,4169,144,1
26,380941,MIA-2014-04-30,2014-04-30,4169,144,1
27,380956,MIA-2014-05-01,2014-05-01,4169,144,1
28,380967,MIA-2014-05-02,2014-05-02,4169,119,1
29,380982,MIA-2014-05-03,2014-05-03,4169,119,1
30,380997,MIA-2014-05-04,2014-05-04,4169,119,1
31,381015,MIA-2014-05-05,2014-05-05,4169,121,1
32,381030,MIA-2014-05-06,2014-05-06,4169,121,1
33,381046,MIA-2014-05-07,2014-05-07,4169,121,1
34,381056,MIA-2014-05-08,2014-05-08,2680,135,0
35,381068,MIA-2014-05-09,2014-05-09,2680,135,0
36,381083,MIA-2014-05-10,2014-05-10,2680,135,0
37,381098,MIA-2014-05-11,2014-05-11,2680,135,0
38,381110,MIA-2014-05-12,2014-05-12,22,119,0
39,381123,MIA-2014-05-13,2014-05-13,22,119,0
40,381138,MIA-2014-05-14,2014-05-14,22,119,0
41,381149,MIA-2014-05-15,2014-05-15,2395,137,0
42,381160,MIA-2014-05-16,2014-05-16,2395,137,0
43,381175,MIA-2014-05-17,2014-05-17,2395,137,0
44,381190,MIA-2014-05-18,2014-05-18,2395,137,0
45,381215,MIA-2014-05-20,2014-05-20,4169,143,1
46,381230,MIA-2014-05-21,2014-05-21,4169,143,1
47,381242,MIA-2014-05-22,2014-05-22,4169,143,1
48,381255,MIA-2014-05-23,2014-05-23,4169,158,1
49,381270,MIA-2014-05-24,2014-05-24,4169,158,1
50,381285,MIA-2014-05-25,2014-05-25,4169,158,1
51,381301,MIA-2014-05-26,2014-05-26,3309,120,0
52,381316,MIA-2014-05-27,2014-05-27,3309,120,0
53,381331,MIA-2014-05-28,2014-05-28,3309,120,0
54,381348,MIA-2014-05-30,2014-05-30,4169,144,1
55,381363,MIA-2014-05-31,2014-05-31,4169,144,1
56,381378,MIA-2014-06-01,2014-06-01,4169,144,1
57,381397,MIA-2014-06-02,2014-06-02,4169,139,1
58,381411,MIA-2014-06-03,2014-06-03,4169,139,1
59,381418,MIA-2014-06-04,2014-06-04,12,139,0
60,381431,MIA-2014-06-05,2014-06-05,12,139,0
61,381445,MIA-2014-06-06,2014-06-06,17,112,0
62,381460,MIA-2014-06-07,2014-06-07,17,112,0
63,381475,MIA-2014-06-08,2014-06-08,17,112,0
64,381503,MIA-2014-06-10,2014-06-10,13,140,0
65,381518,MIA-2014-06-11,2014-06-11,13,140,0
66,381546,MIA-2014-06-13,2014-06-13,4169,134,1
67,381561,MIA-2014-06-14,2014-06-14,4169,134,1
68,381576,MIA-2014-06-15,2014-06-15,4169,134,1
69,381584,MIA-2014-06-16,2014-06-16,4169,112,1
70,381595,MIA-2014-06-17,2014-06-17,4169,112,1
71,381610,MIA-2014-06-18,2014-06-18,4169,112,1
72,381630,MIA-2014-06-19,2014-06-19,4169,121,1
73,381642,MIA-2014-06-20,2014-06-20,4169,121,1
74,381657,MIA-2014-06-21,2014-06-21,4169,121,1
75,381672,MIA-2014-06-22,2014-06-22,4169,121,1
76,381684,MIA-2014-06-23,2014-06-23,2681,143,0
77,381698,MIA-2014-06-24,2014-06-24,2681,143,0
78,381713,MIA-2014-06-25,2014-06-25,2681,143,0
79,381726,MIA-2014-06-26,2014-06-26,2681,143,0
80,381741,MIA-2014-06-27,2014-06-27,4169,133,1
81,381756,MIA-2014-06-28,2014-06-28,4169,133,1
82,381771,MIA-2014-06-29,2014-06-29,4169,133,1
83,381796,MIA-2014-07-01,2014-07-01,4169,143,1
84,381811,MIA-2014-07-02,2014-07-02,4169,143,1
85,381820,MIA-2014-07-03,2014-07-03,4169,143,1
86,381831,MIA-2014-07-04,2014-07-04,2889,138,0
87,381846,MIA-2014-07-05,2014-07-05,2889,138,0
88,381861,MIA-2014-07-06,2014-07-06,2889,138,0
89,381876,MIA-2014-07-07,2014-07-07,15,109,0
90,381891,MIA-2014-07-08,2014-07-08,15,109,0
91,381905,MIA-2014-07-09,2014-07-09,15,109,0
92,381932,MIA-2014-07-11,2014-07-11,3289,121,0
93,381947,MIA-2014-07-12,2014-07-12,3289,121,0
94,381962,MIA-2014-07-13,2014-07-13,3289,121,0
95,381984,MIA-2014-07-18,2014-07-18,4169,137,1
96,381999,MIA-2014-07-19,2014-07-19,4169,137,1
97,382014,MIA-2014-07-20,2014-07-20,4169,137,1
