,game_id,game_code,date,venue_id,opp_id,home
0,380553,NYM-2014-03-31,2014-03-31,3289,120,1
1,380577,NYM-2014-04-02,2014-04-02,3289,120,1
2,380588,NYM-2014-04-03,2014-04-03,3289,120,1
3,380594,NYM-2014-04-04,2014-04-04,3289,113,1
4,380609,NYM-2014-04-05,2014-04-05,3289,113,1
5,380624,NYM-2014-04-06,2014-04-06,3289,113,1
6,380651,ATL-2014-04-08,2014-04-08,16,144,0
7,380665,ATL-2014-04-09,2014-04-09,16,144,0
8,380677,ATL-2014-04-10,2014-04-10,16,144,0
9,380689,LAA-2014-04-11,2014-04-11,1,108,0
10,380704,LAA-2014-04-12,2014-04-12,1,108,0
11,380719,LAA-2014-04-13,2014-04-13,1,108,0
12,380727,ARI-2014-04-14,2014-04-14,15,109,0
13,380741,ARI-2014-04-15,2014-04-15,15,109,0
14,380756,ARI-2014-04-16,2014-04-16,15,109,0
15,380777,NYM-2014-04-18,2014-04-18,3289,144,1
16,380792,NYM-2014-04-19,2014-04-19,3289,144,1
17,380807,NYM-2014-04-20,2014-04-20,3289,144,1
18,380831,NYM-2014-04-21,2014-04-21,3289,138,1
19,380846,NYM-2014-04-22,2014-04-22,3289,138,1
20,380861,NYM-2014-04-23,2014-04-23,3289,138,1
21,380873,NYM-2014-04-24,2014-04-24,3289,138,1
22,380882,NYM-2014-04-25,2014-04-25,3289,146,1
23,380897,NYM-2014-04-26,2014-04-26,3289,146,1
24,380912,NYM-2014-04-27,2014-04-27,3289,146,1
25,380933,PHI-2014-04-29,2014-04-29,2681,143,0
26,380948,PHI-2014-04-30,2014-04-30,2681,143,0
27,380959,COL-2014-05-01,2014-05-01,19,115,0
28,380969,COL-2014-05-02,2014-05-02,19,115,0
29,380984,COL-2014-05-03,2014-05-03,19,115,0
30,380999,COL-2014-05-04,2014-05-04,19,115,0
31,381015,MIA-2014-05-05,2014-05-05,4169,146,0
32,381030,MIA-2014-05-06,2014-05-06,4169,146,0
