,game_id,game_code,date,venue_id,opp_id,home
0,380548,PHI-2014-03-31,2014-03-31,13,140,0
1,380559,PHI-2014-04-01,2014-04-01,13,140,0
2,380572,PHI-2014-04-02,2014-04-02,13,140,0
3,380598,PHI-2014-04-04,2014-04-04,17,112,0
4,380613,PHI-2014-04-05,2014-04-05,17,112,0
5,380628,PHI-2014-04-06,2014-04-06,17,112,0
6,380638,PHI-2014-04-07,2014-04-07,2681,158,1
7,380638,PHI-2014-04-08,2014-04-08,2681,158,1
8,380664,PHI-2014-04-09,2014-04-09,2681,158,1
9,380676,PHI-2014-04-10,2014-04-10,2681,158,1
10,380688,PHI-2014-04-11,2014-04-11,2681,146,1
11,380703,PHI-2014-04-12,2014-04-12,2681,146,1
12,380718,PHI-2014-04-13,2014-04-13,2681,146,1
13,380725,PHI-2014-04-14,2014-04-14,2681,144,1
14,380734,PHI-2014-04-15,2014-04-15,2681,144,1
15,380749,PHI-2014-04-16,2014-04-16,2681,144,1
16,380764,PHI-2014-04-17,2014-04-17,2681,144,1
17,380785,PHI-2014-04-18,2014-04-18,19,115,0
18,380800,PHI-2014-04-19,2014-04-19,19,115,0
19,380815,PHI-2014-04-20,2014-04-20,19,115,0
20,380828,PHI-2014-04-21,2014-04-21,22,119,0
21,380843,PHI-2014-04-22,2014-04-22,22,119,0
22,380858,PHI-2014-04-23,2014-04-23,22,119,0
23,380871,PHI-2014-04-24,2014-04-24,22,119,0
24,380884,PHI-2014-04-25,2014-04-25,15,109,0
25,380899,PHI-2014-04-26,2014-04-26,15,109,0
26,380914,PHI-2014-04-27,2014-04-27,15,109,0
27,380933,PHI-2014-04-29,2014-04-29,2681,121,1
28,380948,PHI-2014-04-30,2014-04-30,2681,121,1
29,380977,PHI-2014-05-02,2014-05-02,2681,120,1
30,380992,PHI-2014-05-03,2014-05-03,2681,120,1
31,381007,PHI-2014-05-04,2014-05-04,2681,120,1
32,381020,PHI-2014-05-05,2014-05-05,2681,141,1
33,381035,PHI-2014-05-06,2014-05-06,2681,141,1
34,381047,PHI-2014-05-07,2014-05-07,14,141,0
35,381058,PHI-2014-05-08,2014-05-08,14,141,0
36,381071,PHI-2014-05-09,2014-05-09,3289,121,0
37,381086,PHI-2014-05-10,2014-05-10,3289,121,0
38,381101,PHI-2014-05-11,2014-05-11,3289,121,0
39,381115,PHI-2014-05-13,2014-05-13,2681,108,1
40,381130,PHI-2014-05-14,2014-05-14,2681,108,1
41,381157,PHI-2014-05-16,2014-05-16,2681,113,1
42,381172,PHI-2014-05-17,2014-05-17,2681,113,1
43,381187,PHI-2014-05-18,2014-05-18,2681,113,1
44,381215,PHI-2014-05-20,2014-05-20,4169,146,0
45,381230,PHI-2014-05-21,2014-05-21,4169,146,0
46,381242,PHI-2014-05-22,2014-05-22,4169,146,0
47,381254,PHI-2014-05-23,2014-05-23,2681,119,1
48,381269,PHI-2014-05-24,2014-05-24,2681,119,1
49,381284,PHI-2014-05-25,2014-05-25,2681,119,1
50,381298,PHI-2014-05-26,2014-05-26,2681,115,1
51,381313,PHI-2014-05-27,2014-05-27,2681,115,1
52,381328,PHI-2014-05-28,2014-05-28,2681,115,1
53,381343,PHI-2014-05-29,2014-05-29,2681,121,1
54,381356,PHI-2014-05-30,2014-05-30,2681,121,1
55,381371,PHI-2014-05-31,2014-05-31,2681,121,1
56,381386,PHI-2014-06-01,2014-06-01,2681,121,1
57,380948,PHI-2014-06-02,2014-06-02,2681,121,1
58,381407,PHI-2014-06-03,2014-06-03,3309,120,0
59,381422,PHI-2014-06-04,2014-06-04,3309,120,0
60,381435,PHI-2014-06-05,2014-06-05,3309,120,0
61,381450,PHI-2014-06-06,2014-06-06,2602,113,0
62,381465,PHI-2014-06-07,2014-06-07,2602,113,0
63,381480,PHI-2014-06-08,2014-06-08,2602,113,0
64,381508,PHI-2014-06-10,2014-06-10,2681,135,1
65,381523,PHI-2014-06-11,2014-06-11,2681,135,1
66,381534,PHI-2014-06-12,2014-06-12,2681,135,1
67,381539,PHI-2014-06-13,2014-06-13,2681,112,1
68,381554,PHI-2014-06-14,2014-06-14,2681,112,1
69,381569,PHI-2014-06-15,2014-06-15,2681,112,1
70,381590,PHI-2014-06-16,2014-06-16,16,144,0
71,381603,PHI-2014-06-17,2014-06-17,16,144,0
72,381618,PHI-2014-06-18,2014-06-18,16,144,0
73,381631,PHI-2014-06-19,2014-06-19,2889,138,0
74,381643,PHI-2014-06-20,2014-06-20,2889,138,0
75,381658,PHI-2014-06-21,2014-06-21,2889,138,0
76,381673,PHI-2014-06-22,2014-06-22,2889,138,0
77,381684,PHI-2014-06-23,2014-06-23,2681,146,1
78,381698,PHI-2014-06-24,2014-06-24,2681,146,1
79,381713,PHI-2014-06-25,2014-06-25,2681,146,1
80,381726,PHI-2014-06-26,2014-06-26,2681,146,1
81,381732,PHI-2014-06-27,2014-06-27,2681,144,1
82,381747,PHI-2014-06-28,2014-06-28,2681,144,1
83,380734,PHI-2014-06-28,2014-06-28,2681,144,1
84,381762,PHI-2014-06-29,2014-06-29,2681,144,1
85,381796,PHI-2014-07-01,2014-07-01,4169,146,0
86,381811,PHI-2014-07-02,2014-07-02,4169,146,0
87,381820,PHI-2014-07-03,2014-07-03,4169,146,0
88,381834,PHI-2014-07-04,2014-07-04,31,134,0
89,381849,PHI-2014-07-05,2014-07-05,31,134,0
90,381864,PHI-2014-07-06,2014-07-06,31,134,0
91,381879,PHI-2014-07-07,2014-07-07,32,158,0
92,381894,PHI-2014-07-08,2014-07-08,32,158,0
93,381909,PHI-2014-07-09,2014-07-09,32,158,0
94,381922,PHI-2014-07-10,2014-07-10,32,158,0
95,381940,PHI-2014-07-11,2014-07-11,2681,120,1
96,381955,PHI-2014-07-12,2014-07-12,2681,120,1
97,381970,PHI-2014-07-13,2014-07-13,2681,120,1
98,381982,PHI-2014-07-18,2014-07-18,16,144,0
99,381997,PHI-2014-07-19,2014-07-19,16,144,0
100,382012,PHI-2014-07-20,2014-07-20,16,144,0
101,382026,PHI-2014-07-21,2014-07-21,2681,137,1
102,382040,PHI-2014-07-22,2014-07-22,2681,137,1
103,382055,PHI-2014-07-23,2014-07-23,2681,137,1
104,382068,PHI-2014-07-24,2014-07-24,2681,137,1
105,382070,PHI-2014-07-25,2014-07-25,2681,109,1
106,382085,PHI-2014-07-26,2014-07-26,2681,109,1
107,382100,PHI-2014-07-27,2014-07-27,2681,109,1
108,382120,PHI-2014-07-28,2014-07-28,3289,121,0
109,382134,PHI-2014-07-29,2014-07-29,3289,121,0
110,382149,PHI-2014-07-30,2014-07-30,3289,121,0
111,382161,PHI-2014-07-31,2014-07-31,3309,120,0
112,382175,PHI-2014-08-01,2014-08-01,3309,120,0
113,382190,PHI-2014-08-02,2014-08-02,3309,120,0
114,382205,PHI-2014-08-03,2014-08-03,3309,120,0
115,382224,PHI-2014-08-05,2014-08-05,2681,117,1
116,382238,PHI-2014-08-06,2014-08-06,2681,117,1
117,382253,PHI-2014-08-07,2014-08-07,2681,117,1
118,382268,PHI-2014-08-08,2014-08-08,2681,121,1
119,382283,PHI-2014-08-09,2014-08-09,2681,121,1
120,382298,PHI-2014-08-10,2014-08-10,2681,121,1
121,382311,PHI-2014-08-11,2014-08-11,2681,121,1
122,382326,PHI-2014-08-12,2014-08-12,1,108,0
123,382340,PHI-2014-08-13,2014-08-13,1,108,0
124,382366,PHI-2014-08-15,2014-08-15,2395,137,0
125,382381,PHI-2014-08-16,2014-08-16,2395,137,0
126,382396,PHI-2014-08-17,2014-08-17,2395,137,0
127,382408,PHI-2014-08-18,2014-08-18,2681,136,1
128,382420,PHI-2014-08-19,2014-08-19,2681,136,1
129,382435,PHI-2014-08-20,2014-08-20,2681,136,1
130,382460,PHI-2014-08-22,2014-08-22,2681,138,1
131,382475,PHI-2014-08-23,2014-08-23,2681,138,1
132,382490,PHI-2014-08-24,2014-08-24,2681,138,1
133,382500,PHI-2014-08-25,2014-08-25,2681,120,1
134,382515,PHI-2014-08-26,2014-08-26,2681,120,1
135,382530,PHI-2014-08-27,2014-08-27,2681,120,1
136,382552,PHI-2014-08-29,2014-08-29,3289,121,0
137,382567,PHI-2014-08-30,2014-08-30,3289,121,0
138,382582,PHI-2014-08-31,2014-08-31,3289,121,0
139,382591,PHI-2014-09-01,2014-09-01,16,144,0
140,382605,PHI-2014-09-02,2014-09-02,16,144,0
141,382620,PHI-2014-09-03,2014-09-03,16,144,0
142,382642,PHI-2014-09-05,2014-09-05,3309,120,0
143,382657,PHI-2014-09-06,2014-09-06,3309,120,0
144,382672,PHI-2014-09-07,2014-09-07,3309,120,0
145,382687,PHI-2014-09-08,2014-09-08,2681,134,1
146,382701,PHI-2014-09-09,2014-09-09,2681,134,1
147,382716,PHI-2014-09-10,2014-09-10,2681,134,1
148,382726,PHI-2014-09-11,2014-09-11,2681,134,1
149,382738,PHI-2014-09-12,2014-09-12,2681,146,1
150,382753,PHI-2014-09-13,2014-09-13,2681,146,1
151,382768,PHI-2014-09-14,2014-09-14,2681,146,1
152,382782,PHI-2014-09-15,2014-09-15,2680,135,0
153,382796,PHI-2014-09-16,2014-09-16,2680,135,0
154,382811,PHI-2014-09-17,2014-09-17,2680,135,0
155,382822,PHI-2014-09-18,2014-09-18,2680,135,0
156,382836,PHI-2014-09-19,2014-09-19,10,133,0
157,382851,PHI-2014-09-20,2014-09-20,10,133,0
158,382866,PHI-2014-09-21,2014-09-21,10,133,0
