,game_id,game_code,date,venue_id,opp_id,home
0,380546,SDP-2014-03-30,2014-03-30,2680,119,1
1,380557,SDP-2014-04-01,2014-04-01,2680,119,1
2,380569,SDP-2014-04-02,2014-04-02,2680,119,1
3,380599,SDP-2014-04-04,2014-04-04,4169,146,0
4,380614,SDP-2014-04-05,2014-04-05,4169,146,0
5,380629,SDP-2014-04-06,2014-04-06,4169,146,0
6,380640,SDP-2014-04-07,2014-04-07,5,114,0
7,380653,SDP-2014-04-08,2014-04-08,5,114,0
8,380668,SDP-2014-04-09,2014-04-09,5,114,0
9,380640,SDP-2014-04-09,2014-04-09,5,114,0
10,380684,SDP-2014-04-11,2014-04-11,2680,116,1
11,380699,SDP-2014-04-12,2014-04-12,2680,116,1
12,380714,SDP-2014-04-13,2014-04-13,2680,116,1
13,380726,SDP-2014-04-14,2014-04-14,2680,115,1
14,380738,SDP-2014-04-15,2014-04-15,2680,115,1
15,380753,SDP-2014-04-16,2014-04-16,2680,115,1
16,380767,SDP-2014-04-17,2014-04-17,2680,115,1
17,380787,SDP-2014-04-18,2014-04-18,2680,137,1
18,380802,SDP-2014-04-19,2014-04-19,2680,137,1
19,380817,SDP-2014-04-20,2014-04-20,2680,137,1
20,380829,SDP-2014-04-21,2014-04-21,32,158,0
21,380844,SDP-2014-04-22,2014-04-22,32,158,0
22,380859,SDP-2014-04-23,2014-04-23,32,158,0
23,380872,SDP-2014-04-24,2014-04-24,3309,120,0
24,380886,SDP-2014-04-25,2014-04-25,3309,120,0
25,380901,SDP-2014-04-26,2014-04-26,3309,120,0
26,380916,SDP-2014-04-27,2014-04-27,3309,120,0
27,380924,SDP-2014-04-28,2014-04-28,2395,137,0
28,380936,SDP-2014-04-29,2014-04-29,2395,137,0
29,380951,SDP-2014-04-30,2014-04-30,2395,137,0
30,380963,SDP-2014-05-02,2014-05-02,2680,109,1
31,380978,SDP-2014-05-03,2014-05-03,2680,109,1
32,380993,SDP-2014-05-04,2014-05-04,2680,109,1
33,381011,SDP-2014-05-05,2014-05-05,2680,118,1
34,381026,SDP-2014-05-06,2014-05-06,2680,118,1
35,381042,SDP-2014-05-07,2014-05-07,2680,118,1
36,381056,SDP-2014-05-08,2014-05-08,2680,146,1
37,381068,SDP-2014-05-09,2014-05-09,2680,146,1
38,381083,SDP-2014-05-10,2014-05-10,2680,146,1
39,381098,SDP-2014-05-11,2014-05-11,2680,146,1
40,381126,SDP-2014-05-13,2014-05-13,2602,113,0
41,381141,SDP-2014-05-14,2014-05-14,2602,113,0
42,381152,SDP-2014-05-15,2014-05-15,2602,113,0
43,381141,SDP-2014-05-15,2014-05-15,2602,113,0
44,381165,SDP-2014-05-16,2014-05-16,19,115,0
45,381180,SDP-2014-05-17,2014-05-17,19,115,0
46,381195,SDP-2014-05-18,2014-05-18,19,115,0
47,381212,SDP-2014-05-20,2014-05-20,2680,142,1
48,381227,SDP-2014-05-21,2014-05-21,2680,142,1
49,381235,SDP-2014-05-22,2014-05-22,2680,112,1
50,381249,SDP-2014-05-23,2014-05-23,2680,112,1
51,381264,SDP-2014-05-24,2014-05-24,2680,112,1
52,381279,SDP-2014-05-25,2014-05-25,2680,112,1
53,381304,SDP-2014-05-26,2014-05-26,15,109,0
54,381319,SDP-2014-05-27,2014-05-27,15,109,0
55,381334,SDP-2014-05-28,2014-05-28,15,109,0
56,381358,SDP-2014-05-30,2014-05-30,4,145,0
57,381373,SDP-2014-05-31,2014-05-31,4,145,0
58,381388,SDP-2014-06-01,2014-06-01,4,145,0
59,381396,SDP-2014-06-02,2014-06-02,2680,134,1
60,381408,SDP-2014-06-03,2014-06-03,2680,134,1
61,381423,SDP-2014-06-04,2014-06-04,2680,134,1
62,381453,SDP-2014-06-06,2014-06-06,2680,120,1
63,381468,SDP-2014-06-07,2014-06-07,2680,120,1
64,381483,SDP-2014-06-08,2014-06-08,2680,120,1
65,381508,SDP-2014-06-10,2014-06-10,2681,143,0
66,381523,SDP-2014-06-11,2014-06-11,2681,143,0
67,381534,SDP-2014-06-12,2014-06-12,2681,143,0
68,381547,SDP-2014-06-13,2014-06-13,3289,121,0
69,381562,SDP-2014-06-14,2014-06-14,3289,121,0
70,381577,SDP-2014-06-15,2014-06-15,3289,121,0
71,381591,SDP-2014-06-16,2014-06-16,680,136,0
72,381604,SDP-2014-06-17,2014-06-17,680,136,0
73,381619,SDP-2014-06-18,2014-06-18,2680,136,1
74,381632,SDP-2014-06-19,2014-06-19,2680,136,1
75,381640,SDP-2014-06-20,2014-06-20,2680,119,1
76,381655,SDP-2014-06-21,2014-06-21,2680,119,1
77,381670,SDP-2014-06-22,2014-06-22,2680,119,1
78,381688,SDP-2014-06-23,2014-06-23,2395,137,0
79,381703,SDP-2014-06-24,2014-06-24,2395,137,0
80,381718,SDP-2014-06-25,2014-06-25,2395,137,0
81,381731,SDP-2014-06-27,2014-06-27,2680,109,1
82,381746,SDP-2014-06-28,2014-06-28,2680,109,1
83,381761,SDP-2014-06-29,2014-06-29,2680,109,1
84,381777,SDP-2014-06-30,2014-06-30,2680,113,1
85,381789,SDP-2014-07-01,2014-07-01,2680,113,1
86,381804,SDP-2014-07-02,2014-07-02,2680,113,1
87,381836,SDP-2014-07-04,2014-07-04,2680,137,1
88,381851,SDP-2014-07-05,2014-07-05,2680,137,1
89,381866,SDP-2014-07-06,2014-07-06,2680,137,1
90,381881,SDP-2014-07-07,2014-07-07,19,115,0
91,381896,SDP-2014-07-08,2014-07-08,19,115,0
92,381911,SDP-2014-07-09,2014-07-09,19,115,0
93,381924,SDP-2014-07-10,2014-07-10,22,119,0
94,381937,SDP-2014-07-11,2014-07-11,22,119,0
95,381952,SDP-2014-07-12,2014-07-12,22,119,0
96,381967,SDP-2014-07-13,2014-07-13,22,119,0
97,381981,SDP-2014-07-18,2014-07-18,2680,121,1
98,381996,SDP-2014-07-19,2014-07-19,2680,121,1
99,382011,SDP-2014-07-20,2014-07-20,2680,121,1
100,382039,SDP-2014-07-22,2014-07-22,17,112,0
101,382054,SDP-2014-07-23,2014-07-23,17,112,0
102,382067,SDP-2014-07-24,2014-07-24,17,112,0
103,382081,SDP-2014-07-25,2014-07-25,16,144,0
104,382096,SDP-2014-07-26,2014-07-26,16,144,0
105,382111,SDP-2014-07-27,2014-07-27,16,144,0
106,382122,SDP-2014-07-28,2014-07-28,16,144,0
107,382137,SDP-2014-07-29,2014-07-29,2680,138,1
108,382152,SDP-2014-07-30,2014-07-30,2680,138,1
109,382164,SDP-2014-07-31,2014-07-31,2680,138,1
110,382167,SDP-2014-08-01,2014-08-01,2680,144,1
111,382182,SDP-2014-08-02,2014-08-02,2680,144,1
112,382197,SDP-2014-08-03,2014-08-03,2680,144,1
113,382228,SDP-2014-08-05,2014-08-05,3312,142,0
114,382243,SDP-2014-08-06,2014-08-06,3312,142,0
115,382269,SDP-2014-08-08,2014-08-08,31,134,0
116,382284,SDP-2014-08-09,2014-08-09,31,134,0
117,382299,SDP-2014-08-10,2014-08-10,31,134,0
118,382305,SDP-2014-08-11,2014-08-11,2680,115,1
119,382319,SDP-2014-08-12,2014-08-12,2680,115,1
120,382334,SDP-2014-08-13,2014-08-13,2680,115,1
121,382353,SDP-2014-08-14,2014-08-14,2889,138,0
122,382368,SDP-2014-08-15,2014-08-15,2889,138,0
123,382383,SDP-2014-08-16,2014-08-16,2889,138,0
124,382398,SDP-2014-08-17,2014-08-17,2889,138,0
125,382419,SDP-2014-08-19,2014-08-19,22,119,0
126,382434,SDP-2014-08-20,2014-08-20,22,119,0
127,382445,SDP-2014-08-21,2014-08-21,22,119,0
128,382457,SDP-2014-08-22,2014-08-22,15,109,0
129,382472,SDP-2014-08-23,2014-08-23,15,109,0
130,382487,SDP-2014-08-24,2014-08-24,15,109,0
131,382495,SDP-2014-08-25,2014-08-25,2680,158,1
