,game_id,game_code,date,venue_id,opp_id,home
0,380552,TBR-2014-03-31,2014-03-31,12,141,1
1,380562,TBR-2014-04-01,2014-04-01,12,141,1
2,380576,TBR-2014-04-02,2014-04-02,12,141,1
3,380587,TBR-2014-04-03,2014-04-03,12,141,1
4,380603,TBR-2014-04-04,2014-04-04,12,140,1
5,380618,TBR-2014-04-05,2014-04-05,12,140,1
6,380633,TBR-2014-04-06,2014-04-06,12,140,1
7,380641,KCR-2014-04-07,2014-04-07,7,118,0
8,380654,KCR-2014-04-08,2014-04-08,7,118,0
9,380669,KCR-2014-04-09,2014-04-09,7,118,0
10,380692,CIN-2014-04-11,2014-04-11,2602,113,0
11,380707,CIN-2014-04-12,2014-04-12,2602,113,0
12,380722,CIN-2014-04-13,2014-04-13,2602,113,0
13,380732,BAL-2014-04-14,2014-04-14,2,110,0
14,380746,BAL-2014-04-15,2014-04-15,2,110,0
15,380761,BAL-2014-04-16,2014-04-16,2,110,0
16,380771,TBR-2014-04-17,2014-04-17,12,147,1
17,380784,TBR-2014-04-18,2014-04-18,12,147,1
18,380799,TBR-2014-04-19,2014-04-19,12,147,1
19,380814,TBR-2014-04-20,2014-04-20,12,147,1
20,380841,TBR-2014-04-22,2014-04-22,12,142,1
21,380856,TBR-2014-04-23,2014-04-23,12,142,1
22,380868,TBR-2014-04-24,2014-04-24,12,142,1
23,380887,CHW-2014-04-25,2014-04-25,4,145,0
24,380902,CHW-2014-04-26,2014-04-26,4,145,0
25,380917,CHW-2014-04-27,2014-04-27,4,145,0
26,380925,CHW-2014-04-28,2014-04-28,4,145,0
27,380938,BOS-2014-04-29,2014-04-29,3,111,0
28,380953,BOS-2014-04-30,2014-04-30,3,111,0
29,380953,BOS-2014-05-01,2014-05-01,3,111,0
30,380961,BOS-2014-05-01,2014-05-01,3,111,0
31,380974,NYY-2014-05-02,2014-05-02,3313,147,0
32,380989,NYY-2014-05-03,2014-05-03,3313,147,0
33,381004,NYY-2014-05-04,2014-05-04,3313,147,0
34,381022,TBR-2014-05-06,2014-05-06,12,110,1
35,381037,TBR-2014-05-07,2014-05-07,12,110,1
36,381051,TBR-2014-05-08,2014-05-08,12,110,1
37,381064,TBR-2014-05-09,2014-05-09,12,114,1
38,381079,TBR-2014-05-10,2014-05-10,12,114,1
39,381094,TBR-2014-05-11,2014-05-11,12,114,1
40,381112,SEA-2014-05-12,2014-05-12,680,136,0
41,381127,SEA-2014-05-13,2014-05-13,680,136,0
42,381142,SEA-2014-05-14,2014-05-14,680,136,0
43,381153,LAA-2014-05-15,2014-05-15,1,108,0
44,381167,LAA-2014-05-16,2014-05-16,1,108,0
45,381182,LAA-2014-05-17,2014-05-17,1,108,0
46,381197,LAA-2014-05-18,2014-05-18,1,108,0
47,381214,TBR-2014-05-20,2014-05-20,12,133,1
48,381229,TBR-2014-05-21,2014-05-21,12,133,1
49,381241,TBR-2014-05-22,2014-05-22,12,133,1
50,381248,TBR-2014-05-23,2014-05-23,12,111,1
51,381263,TBR-2014-05-24,2014-05-24,12,111,1
52,381278,TBR-2014-05-25,2014-05-25,12,111,1
53,381305,TOR-2014-05-26,2014-05-26,14,141,0
54,381320,TOR-2014-05-27,2014-05-27,14,141,0
55,381335,TOR-2014-05-28,2014-05-28,14,141,0
56,381360,BOS-2014-05-30,2014-05-30,3,111,0
57,381375,BOS-2014-05-31,2014-05-31,3,111,0
58,381390,BOS-2014-06-01,2014-06-01,3,111,0
59,381397,MIA-2014-06-02,2014-06-02,4169,146,0
60,381411,MIA-2014-06-03,2014-06-03,4169,146,0
61,381418,TBR-2014-06-04,2014-06-04,12,146,1
62,381431,TBR-2014-06-05,2014-06-05,12,146,1
63,381451,TBR-2014-06-06,2014-06-06,12,136,1
64,381466,TBR-2014-06-07,2014-06-07,12,136,1
65,381481,TBR-2014-06-08,2014-06-08,12,136,1
66,381494,TBR-2014-06-09,2014-06-09,12,136,1
67,381509,TBR-2014-06-10,2014-06-10,12,138,1
68,381524,TBR-2014-06-11,2014-06-11,12,138,1
