,game_id,game_code,date,venue_id,opp_id,home
0,380553,WSN-2014-03-31,2014-03-31,3289,121,0
1,380577,WSN-2014-04-02,2014-04-02,3289,121,0
2,380588,WSN-2014-04-03,2014-04-03,3289,121,0
3,380591,WSN-2014-04-04,2014-04-04,3309,144,1
4,380606,WSN-2014-04-05,2014-04-05,3309,144,1
5,380621,WSN-2014-04-06,2014-04-06,3309,144,1
6,380650,WSN-2014-04-08,2014-04-08,3309,146,1
7,380663,WSN-2014-04-09,2014-04-09,3309,146,1
8,380675,WSN-2014-04-10,2014-04-10,3309,146,1
9,380694,WSN-2014-04-11,2014-04-11,16,144,0
10,380709,WSN-2014-04-12,2014-04-12,16,144,0
11,380724,WSN-2014-04-13,2014-04-13,16,144,0
12,380733,WSN-2014-04-14,2014-04-14,4169,146,0
13,380748,WSN-2014-04-15,2014-04-15,4169,146,0
14,380763,WSN-2014-04-16,2014-04-16,4169,146,0
15,380773,WSN-2014-04-17,2014-04-17,3309,138,1
16,380788,WSN-2014-04-18,2014-04-18,3309,138,1
17,380803,WSN-2014-04-19,2014-04-19,3309,138,1
18,380818,WSN-2014-04-20,2014-04-20,3309,138,1
19,380820,WSN-2014-04-21,2014-04-21,3309,108,1
20,380833,WSN-2014-04-22,2014-04-22,3309,108,1
21,380848,WSN-2014-04-23,2014-04-23,3309,108,1
22,380872,WSN-2014-04-24,2014-04-24,3309,135,1
23,380886,WSN-2014-04-25,2014-04-25,3309,135,1
24,380901,WSN-2014-04-26,2014-04-26,3309,135,1
25,380916,WSN-2014-04-27,2014-04-27,3309,135,1
26,380940,WSN-2014-04-29,2014-04-29,2392,117,0
27,380955,WSN-2014-04-30,2014-04-30,2392,117,0
28,380977,WSN-2014-05-02,2014-05-02,2681,143,0
29,380992,WSN-2014-05-03,2014-05-03,2681,143,0
30,381007,WSN-2014-05-04,2014-05-04,2681,143,0
31,381012,WSN-2014-05-05,2014-05-05,3309,119,1
32,381027,WSN-2014-05-06,2014-05-06,3309,119,1
33,381043,WSN-2014-05-07,2014-05-07,3309,119,1
34,381074,WSN-2014-05-09,2014-05-09,10,133,0
35,381089,WSN-2014-05-10,2014-05-10,10,133,0
36,381104,WSN-2014-05-11,2014-05-11,10,133,0
37,381114,WSN-2014-05-12,2014-05-12,15,109,0
38,381129,WSN-2014-05-13,2014-05-13,15,109,0
39,381144,WSN-2014-05-14,2014-05-14,15,109,0
40,381162,WSN-2014-05-16,2014-05-16,3309,121,1
41,381177,WSN-2014-05-17,2014-05-17,3309,121,1
42,381192,WSN-2014-05-18,2014-05-18,3309,121,1
43,381200,WSN-2014-05-19,2014-05-19,3309,113,1
44,381207,WSN-2014-05-20,2014-05-20,3309,113,1
45,381222,WSN-2014-05-21,2014-05-21,3309,113,1
46,381246,WSN-2014-05-22,2014-05-22,31,134,0
47,381261,WSN-2014-05-23,2014-05-23,31,134,0
48,381276,WSN-2014-05-24,2014-05-24,31,134,0
49,381291,WSN-2014-05-25,2014-05-25,31,134,0
50,381301,WSN-2014-05-26,2014-05-26,3309,146,1
51,381316,WSN-2014-05-27,2014-05-27,3309,146,1
52,381331,WSN-2014-05-28,2014-05-28,3309,146,1
53,381361,WSN-2014-05-30,2014-05-30,3309,140,1
54,381376,WSN-2014-05-31,2014-05-31,3309,140,1
55,381391,WSN-2014-06-01,2014-06-01,3309,140,1
56,381407,WSN-2014-06-03,2014-06-03,3309,143,1
57,381422,WSN-2014-06-04,2014-06-04,3309,143,1
58,381435,WSN-2014-06-05,2014-06-05,3309,143,1
59,381453,WSN-2014-06-06,2014-06-06,2680,135,0
60,381468,WSN-2014-06-07,2014-06-07,2680,135,0
61,381483,WSN-2014-06-08,2014-06-08,2680,135,0
62,381495,WSN-2014-06-09,2014-06-09,2395,137,0
63,381510,WSN-2014-06-10,2014-06-10,2395,137,0
64,381525,WSN-2014-06-11,2014-06-11,2395,137,0
65,381536,WSN-2014-06-12,2014-06-12,2395,137,0
66,381551,WSN-2014-06-13,2014-06-13,2889,138,0
67,381566,WSN-2014-06-14,2014-06-14,2889,138,0
68,381581,WSN-2014-06-15,2014-06-15,2889,138,0
69,381598,WSN-2014-06-17,2014-06-17,3309,117,1
70,381613,WSN-2014-06-18,2014-06-18,3309,117,1
71,381624,WSN-2014-06-19,2014-06-19,3309,144,1
72,381634,WSN-2014-06-20,2014-06-20,3309,144,1
73,381649,WSN-2014-06-21,2014-06-21,3309,144,1
74,381664,WSN-2014-06-22,2014-06-22,3309,144,1
75,381690,WSN-2014-06-23,2014-06-23,32,158,0
76,381705,WSN-2014-06-24,2014-06-24,32,158,0
