,game_id,game_date,venue_id,home
0,529412,2018-03-29,10,0
1,529425,2018-03-30,10,0
2,529436,2018-03-31,10,0
3,529450,2018-04-01,10,0
4,529461,2018-04-02,1,1
5,529475,2018-04-03,1,1
6,529486,2018-04-04,1,1
7,529514,2018-04-06,1,1
8,529527,2018-04-07,1,1
9,529542,2018-04-08,1,1
10,529552,2018-04-09,13,0
11,529565,2018-04-10,13,0
12,529579,2018-04-11,13,0
13,529592,2018-04-12,7,0
14,529602,2018-04-13,7,0
15,529617,2018-04-14,7,0
16,529632,2018-04-15,7,0
17,529655,2018-04-17,1,1
18,529670,2018-04-18,1,1
19,529684,2018-04-19,1,1
20,529702,2018-04-20,1,1
21,529717,2018-04-21,1,1
22,529732,2018-04-22,1,1
23,529738,2018-04-23,2392,0
24,529750,2018-04-24,2392,0
25,529765,2018-04-25,2392,0
26,529794,2018-04-27,1,1
27,529809,2018-04-28,1,1
28,529824,2018-04-29,1,1
29,529842,2018-05-01,1,1
30,529857,2018-05-02,1,1
31,529872,2018-05-03,1,1
32,529887,2018-05-04,680,0
33,529902,2018-05-05,680,0
34,529918,2018-05-06,680,0
35,529940,2018-05-08,19,0
36,529955,2018-05-09,19,0
37,529967,2018-05-10,1,1
38,529978,2018-05-11,1,1
39,529993,2018-05-12,1,1
40,530008,2018-05-13,1,1
41,530020,2018-05-14,1,1
42,530029,2018-05-15,1,1
43,530043,2018-05-16,1,1
44,530060,2018-05-17,1,1
45,530075,2018-05-18,1,1
46,530090,2018-05-19,1,1
47,530105,2018-05-20,1,1
48,530124,2018-05-22,14,0
49,530139,2018-05-23,14,0
50,530150,2018-05-24,14,0
51,530161,2018-05-25,3313,0
52,530176,2018-05-26,3313,0
53,530191,2018-05-27,3313,0
54,530203,2018-05-28,2394,0
55,530218,2018-05-29,2394,0
56,530233,2018-05-30,2394,0
57,530247,2018-05-31,2394,0
58,530267,2018-06-01,1,1
59,530282,2018-06-02,1,1
60,530297,2018-06-03,1,1
61,530302,2018-06-04,1,1
62,530309,2018-06-05,1,1
63,530324,2018-06-06,1,1
64,530350,2018-06-08,3312,0
65,530365,2018-06-09,3312,0
66,530380,2018-06-10,3312,0
67,530391,2018-06-11,680,0
68,530402,2018-06-12,680,0
69,530417,2018-06-13,680,0
70,530441,2018-06-15,10,0
71,530456,2018-06-16,10,0
72,530471,2018-06-17,10,0
73,530480,2018-06-18,1,1
74,530489,2018-06-19,1,1
75,530527,2018-06-21,1,1
76,530542,2018-06-22,1,1
77,530557,2018-06-23,1,1
78,530572,2018-06-24,1,1
79,529632,2018-06-25,7,0
80,530590,2018-06-26,3,0
81,530605,2018-06-27,3,0
82,530617,2018-06-28,3,0
83,530631,2018-06-29,2,0
84,530646,2018-06-30,2,0
85,530661,2018-07-01,2,0
86,530685,2018-07-03,680,0
87,530700,2018-07-04,680,0
88,530711,2018-07-05,680,0
89,530722,2018-07-06,1,1
90,530737,2018-07-07,1,1
91,530752,2018-07-08,1,1
92,530782,2018-07-10,1,1
93,530797,2018-07-11,1,1
94,530807,2018-07-12,1,1
95,530816,2018-07-13,22,0
96,530831,2018-07-14,22,0
97,530846,2018-07-15,22,0
98,530864,2018-07-20,1,1
99,530879,2018-07-21,1,1
100,530894,2018-07-22,1,1
101,530906,2018-07-23,1,1
102,530919,2018-07-24,1,1
103,530933,2018-07-25,1,1
104,530946,2018-07-26,1,1
105,530966,2018-07-27,1,1
106,530981,2018-07-28,1,1
107,530996,2018-07-29,1,1
108,531017,2018-07-31,12,0
109,531032,2018-08-01,12,0
110,531042,2018-08-02,12,0
111,531057,2018-08-03,5,0
112,531072,2018-08-04,5,0
113,531087,2018-08-05,5,0
114,531096,2018-08-06,1,1
115,531109,2018-08-07,1,1
116,531124,2018-08-08,1,1
117,531149,2018-08-10,1,1
118,531164,2018-08-11,1,1
119,531179,2018-08-12,1,1
120,531189,2018-08-13,2680,0
121,531200,2018-08-14,2680,0
122,531215,2018-08-15,2680,0
123,531229,2018-08-16,13,0
124,531241,2018-08-17,13,0
125,531256,2018-08-18,13,0
126,531271,2018-08-19,13,0
127,531295,2018-08-21,15,0
128,531310,2018-08-22,15,0
129,531332,2018-08-24,1,1
130,531347,2018-08-25,1,1
131,531362,2018-08-26,1,1
132,531374,2018-08-27,1,1
133,531381,2018-08-28,1,1
134,531412,2018-08-30,2392,0
135,531424,2018-08-31,2392,0
136,531439,2018-09-01,2392,0
137,531454,2018-09-02,2392,0
138,531468,2018-09-03,13,0
139,531483,2018-09-04,13,0
140,531498,2018-09-05,13,0
141,531516,2018-09-07,4,0
142,531531,2018-09-08,4,0
143,531546,2018-09-09,4,0
144,531565,2018-09-10,1,1
145,531579,2018-09-11,1,1
146,531594,2018-09-12,1,1
147,531602,2018-09-13,1,1
148,531615,2018-09-14,1,1
149,531630,2018-09-15,1,1
150,531645,2018-09-16,1,1
151,531667,2018-09-18,10,0
152,531682,2018-09-19,10,0
153,531694,2018-09-20,10,0
154,531704,2018-09-21,2392,0
155,531719,2018-09-22,2392,0
156,531734,2018-09-23,2392,0
157,531754,2018-09-24,1,1
158,531769,2018-09-25,1,1
159,531784,2018-09-26,1,1
160,531802,2018-09-28,1,1
161,531817,2018-09-29,1,1
162,531832,2018-09-30,1,1
