,game_id,game_date,venue_id,home
0,566086,2019-03-28,10,0
1,566087,2019-03-29,10,0
2,566088,2019-03-30,10,0
3,566089,2019-03-31,10,0
4,566376,2019-04-01,680,0
5,566377,2019-04-02,680,0
6,564734,2019-04-04,1,1
7,564735,2019-04-05,1,1
8,564736,2019-04-06,1,1
9,564737,2019-04-07,1,1
10,564738,2019-04-08,1,1
11,564739,2019-04-09,1,1
12,564740,2019-04-10,1,1
13,565127,2019-04-12,17,0
14,565128,2019-04-13,17,0
15,565129,2019-04-14,17,0
16,566772,2019-04-15,13,0
17,566773,2019-04-16,13,0
18,566774,2019-04-17,13,0
19,564741,2019-04-18,1,1
20,564742,2019-04-19,1,1
21,564743,2019-04-20,1,1
22,564744,2019-04-21,1,1
23,564745,2019-04-22,1,1
24,564746,2019-04-23,1,1
25,564747,2019-04-24,1,1
26,564748,2019-04-25,1,1
27,565714,2019-04-26,7,0
28,565715,2019-04-27,7,0
29,565716,2019-04-28,7,0
30,564749,2019-04-30,1,1
31,564750,2019-05-01,1,1
32,564751,2019-05-02,1,1
33,564752,2019-05-04,2701,1
34,564753,2019-05-05,2701,1
35,565525,2019-05-07,2394,0
36,565526,2019-05-08,2394,0
37,565527,2019-05-09,2394,0
38,564949,2019-05-10,2,0
39,564950,2019-05-11,2,0
40,564951,2019-05-12,2,0
41,566982,2019-05-13,3312,0
42,566983,2019-05-14,3312,0
43,566984,2019-05-15,3312,0
44,564754,2019-05-17,1,1
45,564755,2019-05-18,1,1
46,564756,2019-05-19,1,1
47,564757,2019-05-20,1,1
48,564758,2019-05-21,1,1
49,564759,2019-05-22,1,1
50,564759,2019-05-23,1,1
51,564760,2019-05-24,1,1
52,564761,2019-05-25,1,1
53,564762,2019-05-26,1,1
54,566111,2019-05-27,10,0
55,566112,2019-05-28,10,0
56,566113,2019-05-29,10,0
57,566399,2019-05-30,680,0
58,566400,2019-05-31,680,0
59,566401,2019-06-01,680,0
60,566402,2019-06-02,680,0
61,565129,2019-06-03,17,0
62,564763,2019-06-04,1,1
63,564764,2019-06-05,1,1
64,564765,2019-06-06,1,1
65,564766,2019-06-07,1,1
66,564767,2019-06-08,1,1
67,564768,2019-06-09,1,1
68,564769,2019-06-10,1,1
69,564770,2019-06-11,1,1
70,566698,2019-06-13,12,0
71,566699,2019-06-14,12,0
72,566700,2019-06-15,12,0
73,566701,2019-06-16,12,0
74,566898,2019-06-17,14,0
75,566899,2019-06-18,14,0
76,566900,2019-06-19,14,0
77,566901,2019-06-20,14,0
78,566605,2019-06-21,2889,0
79,566606,2019-06-22,2889,0
80,566607,2019-06-23,2889,0
81,564771,2019-06-25,1,1
82,564772,2019-06-26,1,1
83,564773,2019-06-27,1,1
84,564774,2019-06-28,1,1
85,564775,2019-06-29,1,1
86,564776,2019-06-30,1,1
87,566806,2019-07-01,13,0
88,566807,2019-07-02,13,0
89,566808,2019-07-03,13,0
90,566809,2019-07-04,13,0
91,565650,2019-07-05,2392,0
92,565651,2019-07-06,2392,0
93,565652,2019-07-07,2392,0
94,564777,2019-07-12,1,1
95,564778,2019-07-13,1,1
96,564779,2019-07-14,1,1
97,564780,2019-07-15,1,1
98,564781,2019-07-16,1,1
99,564782,2019-07-17,1,1
100,564783,2019-07-18,1,1
101,566420,2019-07-19,680,0
102,566421,2019-07-20,680,0
103,566422,2019-07-21,680,0
104,565851,2019-07-23,22,0
105,565852,2019-07-24,22,0
106,564784,2019-07-25,1,1
107,564785,2019-07-26,1,1
108,564786,2019-07-27,1,1
109,564787,2019-07-28,1,1
110,564788,2019-07-29,1,1
111,564789,2019-07-30,1,1
112,564790,2019-07-31,1,1
113,565372,2019-08-02,5,0
114,565373,2019-08-03,5,0
115,565374,2019-08-04,5,0
116,565275,2019-08-05,2602,0
117,565276,2019-08-06,2602,0
118,565086,2019-08-08,3,0
119,565087,2019-08-09,3,0
120,565088,2019-08-10,3,0
121,565089,2019-08-11,3,0
122,564791,2019-08-12,1,1
123,564792,2019-08-13,1,1
124,564793,2019-08-14,1,1
125,564794,2019-08-15,1,1
126,564795,2019-08-16,1,1
127,564796,2019-08-17,1,1
128,564797,2019-08-18,1,1
129,566830,2019-08-19,13,0
130,566806,2019-08-20,13,0
131,566831,2019-08-20,13,0
132,566832,2019-08-21,13,0
133,565668,2019-08-23,2392,0
134,565669,2019-08-24,2392,0
135,565670,2019-08-25,2392,0
136,564798,2019-08-27,1,1
137,564799,2019-08-28,1,1
138,564800,2019-08-30,1,1
139,564801,2019-08-31,1,1
140,564802,2019-09-01,1,1
141,566153,2019-09-03,10,0
142,566154,2019-09-04,10,0
143,566155,2019-09-05,10,0
144,567332,2019-09-06,4,0
145,567333,2019-09-07,4,0
146,567334,2019-09-08,4,0
147,564803,2019-09-09,1,1
148,564804,2019-09-10,1,1
149,564805,2019-09-11,1,1
150,564806,2019-09-13,1,1
151,564807,2019-09-14,1,1
152,564808,2019-09-15,1,1
153,567531,2019-09-17,3313,0
154,567532,2019-09-18,3313,0
155,567533,2019-09-19,3313,0
156,565684,2019-09-20,2392,0
157,565685,2019-09-21,2392,0
158,565686,2019-09-22,2392,0
159,564809,2019-09-24,1,1
160,564810,2019-09-25,1,1
161,564811,2019-09-26,1,1
162,564812,2019-09-27,1,1
163,564813,2019-09-28,1,1
164,564814,2019-09-29,1,1
