,game_id,game_date,venue_id,home
0,529410,2018-03-29,15,1
1,529423,2018-03-30,15,1
2,529434,2018-03-31,15,1
3,529464,2018-04-02,15,1
4,529478,2018-04-03,15,1
5,529489,2018-04-04,15,1
6,529497,2018-04-05,2889,0
7,529517,2018-04-07,2889,0
8,529532,2018-04-08,2889,0
9,529547,2018-04-09,2395,0
10,529560,2018-04-10,2395,0
11,529574,2018-04-11,2395,0
12,529597,2018-04-13,22,0
13,529612,2018-04-14,22,0
14,529627,2018-04-15,22,0
15,529665,2018-04-17,15,1
16,529679,2018-04-18,15,1
17,529689,2018-04-19,15,1
18,529701,2018-04-20,15,1
19,529716,2018-04-21,15,1
20,529731,2018-04-22,15,1
21,529745,2018-04-24,2681,0
22,529760,2018-04-25,2681,0
23,529775,2018-04-26,2681,0
24,529785,2018-04-27,3309,0
25,529800,2018-04-28,3309,0
26,529815,2018-04-29,3309,0
27,529832,2018-04-30,15,1
28,529846,2018-05-01,15,1
29,529861,2018-05-02,15,1
30,529875,2018-05-03,15,1
31,529886,2018-05-04,15,1
32,529901,2018-05-05,15,1
33,529917,2018-05-06,15,1
34,529933,2018-05-08,22,0
35,529948,2018-05-09,22,0
36,529971,2018-05-10,15,1
37,529986,2018-05-11,15,1
38,530001,2018-05-12,15,1
39,530016,2018-05-13,15,1
40,530021,2018-05-14,15,1
41,530031,2018-05-15,15,1
42,530045,2018-05-16,15,1
43,530062,2018-05-18,3289,0
44,530077,2018-05-19,3289,0
45,530092,2018-05-20,3289,0
46,530107,2018-05-21,32,0
47,530116,2018-05-22,32,0
48,530131,2018-05-23,32,0
49,530154,2018-05-25,10,0
50,530169,2018-05-26,10,0
51,530184,2018-05-27,10,0
52,530201,2018-05-28,15,1
53,530216,2018-05-29,15,1
54,530231,2018-05-30,15,1
55,530260,2018-06-01,15,1
56,530275,2018-06-02,15,1
57,530290,2018-06-03,15,1
58,530300,2018-06-04,2395,0
59,530303,2018-06-05,2395,0
60,530318,2018-06-06,2395,0
61,530343,2018-06-08,19,0
62,530358,2018-06-09,19,0
63,530373,2018-06-10,19,0
64,530392,2018-06-11,15,1
65,530405,2018-06-12,15,1
66,530420,2018-06-13,15,1
67,530431,2018-06-14,15,1
68,530444,2018-06-15,15,1
69,530459,2018-06-16,15,1
70,530474,2018-06-17,15,1
71,530480,2018-06-18,1,0
72,530489,2018-06-19,1,0
73,530518,2018-06-21,31,0
74,530528,2018-06-22,31,0
75,530543,2018-06-23,31,0
76,530558,2018-06-24,31,0
77,530573,2018-06-25,4169,0
78,530584,2018-06-26,4169,0
79,530599,2018-06-27,4169,0
80,530613,2018-06-28,4169,0
81,530636,2018-06-29,15,1
82,530651,2018-06-30,15,1
83,530666,2018-07-01,15,1
84,530676,2018-07-02,15,1
85,530691,2018-07-03,15,1
86,530706,2018-07-04,15,1
87,530713,2018-07-05,15,1
88,530727,2018-07-06,15,1
89,530742,2018-07-07,15,1
90,530757,2018-07-08,15,1
91,530772,2018-07-10,19,0
92,530787,2018-07-11,19,0
93,530802,2018-07-12,19,0
94,530811,2018-07-13,4705,0
95,530826,2018-07-14,4705,0
96,530841,2018-07-15,4705,0
97,530863,2018-07-20,15,1
98,530878,2018-07-21,15,1
99,530893,2018-07-22,15,1
100,530903,2018-07-23,17,0
101,530916,2018-07-24,17,0
102,530931,2018-07-25,17,0
103,530945,2018-07-26,17,0
104,530956,2018-07-27,2680,0
105,530971,2018-07-28,2680,0
106,530986,2018-07-29,2680,0
107,531008,2018-07-30,15,1
108,531023,2018-07-31,15,1
109,531047,2018-08-02,15,1
110,531061,2018-08-03,15,1
111,531076,2018-08-04,15,1
112,531091,2018-08-05,15,1
113,531100,2018-08-06,15,1
114,531114,2018-08-07,15,1
115,531128,2018-08-08,15,1
116,531142,2018-08-10,2602,0
117,531157,2018-08-11,2602,0
118,531172,2018-08-12,2602,0
119,531195,2018-08-13,13,0
120,531210,2018-08-14,13,0
121,531225,2018-08-16,2680,0
122,531234,2018-08-17,2680,0
123,531249,2018-08-18,2680,0
124,531264,2018-08-19,2680,0
125,531295,2018-08-21,15,1
126,531310,2018-08-22,15,1
127,531338,2018-08-24,15,1
128,531353,2018-08-25,15,1
129,531368,2018-08-26,15,1
130,531372,2018-08-27,2395,0
131,531379,2018-08-28,2395,0
132,531394,2018-08-29,2395,0
133,531408,2018-08-30,22,0
134,531417,2018-08-31,22,0
135,531432,2018-09-01,22,0
136,531447,2018-09-02,22,0
137,531473,2018-09-03,15,1
138,531488,2018-09-04,15,1
139,531506,2018-09-06,15,1
140,531510,2018-09-07,15,1
141,531525,2018-09-08,15,1
142,531540,2018-09-09,15,1
143,531555,2018-09-10,19,0
144,531567,2018-09-11,19,0
145,531582,2018-09-12,19,0
146,531597,2018-09-13,19,0
147,531604,2018-09-14,2392,0
148,531619,2018-09-15,2392,0
149,531634,2018-09-16,2392,0
150,531649,2018-09-17,15,1
151,531662,2018-09-18,15,1
152,531677,2018-09-19,15,1
153,531702,2018-09-21,15,1
154,531717,2018-09-22,15,1
155,531732,2018-09-23,15,1
156,531746,2018-09-24,15,1
157,531761,2018-09-25,15,1
158,531776,2018-09-26,15,1
159,531793,2018-09-28,2680,0
160,531808,2018-09-29,2680,0
161,531823,2018-09-30,2680,0
