,game_id,game_date,venue_id,home
0,446879,2016-04-04,16,1
1,446902,2016-04-06,16,1
2,446924,2016-04-08,16,1
3,446939,2016-04-09,16,1
4,446954,2016-04-10,16,1
5,446957,2016-04-11,3309,0
6,446969,2016-04-12,3309,0
7,446982,2016-04-13,3309,0
8,446997,2016-04-14,3309,0
9,447008,2016-04-15,4169,0
10,447023,2016-04-16,4169,0
11,447038,2016-04-17,4169,0
12,447065,2016-04-19,16,1
13,447080,2016-04-20,16,1
14,447094,2016-04-21,16,1
15,447110,2016-04-22,16,1
16,447125,2016-04-23,16,1
17,447140,2016-04-24,16,1
18,447149,2016-04-25,16,1
19,447162,2016-04-26,16,1
20,447176,2016-04-27,3,0
21,447191,2016-04-28,3,0
22,447199,2016-04-29,17,0
23,447214,2016-04-30,17,0
24,447229,2016-05-01,17,0
25,447244,2016-05-02,3289,0
26,447255,2016-05-03,3289,0
27,447270,2016-05-04,3289,0
28,447295,2016-05-06,16,1
29,447310,2016-05-07,16,1
30,447325,2016-05-08,16,1
31,447362,2016-05-10,16,1
32,447377,2016-05-11,16,1
33,447387,2016-05-12,16,1
34,447391,2016-05-13,7,0
35,447406,2016-05-14,7,0
36,447421,2016-05-15,7,0
37,447436,2016-05-16,31,0
38,447444,2016-05-17,31,0
39,447459,2016-05-18,31,0
40,447474,2016-05-19,31,0
41,447487,2016-05-20,2681,0
42,447502,2016-05-21,2681,0
43,447517,2016-05-22,2681,0
44,447548,2016-05-24,16,1
45,447564,2016-05-25,16,1
46,447576,2016-05-26,16,1
47,447586,2016-05-27,16,1
48,447601,2016-05-28,16,1
49,447616,2016-05-29,16,1
50,447634,2016-05-30,16,1
51,447649,2016-05-31,16,1
52,447663,2016-06-01,16,1
53,447676,2016-06-02,16,1
54,447680,2016-06-03,22,0
55,447695,2016-06-04,22,0
56,447710,2016-06-05,22,0
57,447724,2016-06-06,2680,0
58,447734,2016-06-07,2680,0
59,447749,2016-06-08,2680,0
60,447774,2016-06-10,16,1
61,447789,2016-06-11,16,1
62,447804,2016-06-12,16,1
63,447818,2016-06-13,16,1
64,447829,2016-06-14,16,1
65,447844,2016-06-15,16,1
66,447858,2016-06-16,16,1
67,447868,2016-06-17,3289,0
68,447883,2016-06-18,3289,0
69,447898,2016-06-19,3289,0
70,447922,2016-06-21,4169,0
71,447937,2016-06-22,4169,0
72,447954,2016-06-23,16,1
73,447967,2016-06-24,16,1
74,447982,2016-06-25,16,1
75,447997,2016-06-26,16,1
76,448007,2016-06-27,16,1
77,448019,2016-06-28,16,1
78,448034,2016-06-29,16,1
79,448053,2016-06-30,16,1
80,448066,2016-07-01,16,1
81,448081,2016-07-02,16,1
82,448096,2016-07-03,5010,1
83,448102,2016-07-04,2681,0
84,448117,2016-07-05,2681,0
85,448132,2016-07-06,2681,0
86,447214,2016-07-07,17,0
87,448158,2016-07-08,4,0
88,448173,2016-07-09,4,0
89,448188,2016-07-10,4,0
90,448207,2016-07-15,16,1
91,448222,2016-07-16,16,1
92,448237,2016-07-17,16,1
93,448248,2016-07-18,2602,0
94,448259,2016-07-19,2602,0
95,448274,2016-07-20,2602,0
96,448289,2016-07-21,19,0
97,448300,2016-07-22,19,0
98,448315,2016-07-23,19,0
99,448330,2016-07-24,19,0
100,448356,2016-07-26,3312,0
101,448371,2016-07-27,3312,0
102,448390,2016-07-28,16,1
103,448403,2016-07-29,16,1
104,448418,2016-07-30,16,1
105,448433,2016-07-31,16,1
106,448455,2016-08-02,16,1
107,448470,2016-08-03,16,1
108,448483,2016-08-04,16,1
109,448488,2016-08-05,2889,0
110,448503,2016-08-06,2889,0
111,448518,2016-08-07,2889,0
112,448533,2016-08-08,32,0
113,448542,2016-08-09,32,0
114,448557,2016-08-10,32,0
115,448572,2016-08-11,32,0
116,448583,2016-08-12,3309,0
117,448598,2016-08-13,3309,0
118,448613,2016-08-14,3309,0
119,448641,2016-08-16,16,1
120,448656,2016-08-17,16,1
121,448676,2016-08-18,16,1
122,448691,2016-08-19,16,1
123,448706,2016-08-20,16,1
124,448721,2016-08-21,16,1
125,448722,2016-08-22,15,0
126,448731,2016-08-23,15,0
127,448746,2016-08-24,15,0
128,448761,2016-08-25,15,0
129,448772,2016-08-26,2395,0
130,448787,2016-08-27,2395,0
131,448802,2016-08-28,2395,0
132,448839,2016-08-30,16,1
133,448854,2016-08-31,16,1
134,448862,2016-09-01,16,1
135,448865,2016-09-02,2681,0
136,448880,2016-09-03,2681,0
137,448895,2016-09-04,2681,0
138,448910,2016-09-05,3309,0
139,448925,2016-09-06,3309,0
140,448940,2016-09-07,3309,0
141,448970,2016-09-09,16,1
142,448985,2016-09-10,16,1
143,449000,2016-09-11,16,1
144,449011,2016-09-12,16,1
145,449026,2016-09-13,16,1
146,449041,2016-09-14,16,1
147,449075,2016-09-16,16,1
148,449090,2016-09-17,16,1
149,449105,2016-09-18,16,1
150,449107,2016-09-19,3289,0
151,449117,2016-09-20,3289,0
152,449132,2016-09-21,3289,0
153,449146,2016-09-22,4169,0
154,449157,2016-09-23,4169,0
155,449172,2016-09-24,4169,0
156,449187,2016-09-25,4169,0
157,449223,2016-09-27,16,1
158,449238,2016-09-28,16,1
159,449251,2016-09-29,16,1
160,449256,2016-09-30,16,1
161,449271,2016-10-01,16,1
162,449286,2016-10-02,16,1
