,game_id,game_date,venue_id,home
0,529414,2018-03-29,2,1
1,529438,2018-03-31,2,1
2,529451,2018-04-01,2,1
3,529457,2018-04-02,2392,0
4,529471,2018-04-03,2392,0
5,529484,2018-04-04,2392,0
6,529498,2018-04-05,3313,0
7,529509,2018-04-06,3313,0
8,529519,2018-04-07,3313,0
9,529534,2018-04-08,3313,0
10,529559,2018-04-09,2,1
11,529573,2018-04-10,2,1
12,529588,2018-04-11,2,1
13,529599,2018-04-13,3,0
14,529614,2018-04-14,3,0
15,529629,2018-04-15,3,0
16,529642,2018-04-16,3,0
17,529654,2018-04-17,2394,0
18,529669,2018-04-18,2394,0
19,529683,2018-04-19,2394,0
20,529694,2018-04-20,2,1
21,529709,2018-04-21,2,1
22,529724,2018-04-22,2,1
23,529737,2018-04-23,2,1
24,529758,2018-04-24,2,1
25,529773,2018-04-25,2,1
26,529784,2018-04-26,2,1
27,529790,2018-04-27,2,1
28,529805,2018-04-28,2,1
29,529820,2018-04-29,2,1
30,529842,2018-05-01,1,0
31,529857,2018-05-02,1,0
32,529872,2018-05-03,1,0
33,529880,2018-05-04,10,0
34,529895,2018-05-05,10,0
35,529911,2018-05-06,10,0
36,529939,2018-05-08,2,1
37,529954,2018-05-09,2,1
38,529965,2018-05-10,2,1
39,529984,2018-05-11,2,1
40,529999,2018-05-12,2,1
41,529758,2018-05-12,2,1
42,530014,2018-05-13,2,1
43,530034,2018-05-15,2,1
44,530048,2018-05-16,2,1
45,529642,2018-05-17,3,0
46,530063,2018-05-18,3,0
47,530078,2018-05-19,3,0
48,530093,2018-05-20,3,0
49,530109,2018-05-21,4,0
50,530118,2018-05-22,4,0
51,530133,2018-05-23,4,0
52,530146,2018-05-24,4,0
53,530156,2018-05-25,12,0
54,530171,2018-05-26,12,0
55,530186,2018-05-27,12,0
56,530213,2018-05-28,2,1
57,530228,2018-05-29,2,1
58,530243,2018-05-30,2,1
59,530249,2018-05-31,2,1
60,530262,2018-06-01,2,1
61,530277,2018-06-02,2,1
62,530292,2018-06-03,2,1
63,530305,2018-06-05,3289,0
64,530320,2018-06-06,3289,0
65,530333,2018-06-07,14,0
66,530345,2018-06-08,14,0
67,530360,2018-06-09,14,0
68,530375,2018-06-10,14,0
69,530388,2018-06-11,2,1
70,530396,2018-06-12,2,1
71,530411,2018-06-13,2,1
72,530442,2018-06-15,2,1
73,530457,2018-06-16,2,1
74,530472,2018-06-17,2,1
75,530491,2018-06-19,3309,0
76,530505,2018-06-20,3309,0
77,530519,2018-06-21,3309,0
78,530529,2018-06-22,4705,0
79,530544,2018-06-23,4705,0
80,530559,2018-06-24,4705,0
81,530581,2018-06-25,2,1
82,530596,2018-06-26,2,1
83,530611,2018-06-27,2,1
84,530621,2018-06-28,2,1
85,530631,2018-06-29,2,1
86,530646,2018-06-30,2,1
87,530661,2018-07-01,2,1
88,530679,2018-07-03,2681,0
89,530694,2018-07-04,2681,0
90,530709,2018-07-05,3312,0
91,530717,2018-07-06,3312,0
92,530732,2018-07-07,3312,0
93,530747,2018-07-08,3312,0
94,530249,2018-07-09,2,1
95,530767,2018-07-09,2,1
96,530779,2018-07-10,2,1
97,530794,2018-07-11,2,1
98,530034,2018-07-12,2,1
99,530823,2018-07-13,2,1
100,530838,2018-07-14,2,1
101,530853,2018-07-15,2,1
102,530859,2018-07-20,14,0
103,530874,2018-07-21,14,0
104,530889,2018-07-22,14,0
105,530905,2018-07-23,2,1
106,530918,2018-07-24,2,1
107,530932,2018-07-25,2,1
108,530954,2018-07-26,2,1
109,530967,2018-07-27,2,1
110,530982,2018-07-28,2,1
111,530997,2018-07-29,2,1
112,531010,2018-07-31,3313,0
113,531025,2018-08-01,3313,0
114,531038,2018-08-02,13,0
115,531050,2018-08-03,13,0
116,531065,2018-08-04,13,0
117,531080,2018-08-05,13,0
118,531105,2018-08-07,12,0
119,531120,2018-08-08,12,0
120,531134,2018-08-09,12,0
121,531143,2018-08-10,2,1
122,530932,2018-08-11,2,1
123,531158,2018-08-11,2,1
124,531173,2018-08-12,2,1
125,531203,2018-08-14,2,1
126,531218,2018-08-15,2,1
127,531235,2018-08-17,5,0
128,531250,2018-08-18,5,0
129,531265,2018-08-19,5,0
130,531280,2018-08-20,14,0
131,531289,2018-08-21,14,0
132,531304,2018-08-22,14,0
133,531333,2018-08-24,2,1
134,530292,2018-08-25,2,1
135,531348,2018-08-25,2,1
136,531363,2018-08-26,2,1
137,531377,2018-08-27,2,1
138,531392,2018-08-28,2,1
139,531406,2018-08-29,2,1
140,531418,2018-08-31,7,0
141,531433,2018-09-01,7,0
142,531448,2018-09-02,7,0
143,531462,2018-09-03,680,0
144,531477,2018-09-04,680,0
145,531492,2018-09-05,680,0
146,531511,2018-09-07,12,0
147,531526,2018-09-08,12,0
148,531541,2018-09-09,12,0
149,531576,2018-09-11,2,1
150,531591,2018-09-12,2,1
151,531601,2018-09-13,2,1
152,531605,2018-09-14,2,1
153,531620,2018-09-15,2,1
154,531635,2018-09-16,2,1
155,531659,2018-09-17,2,1
156,531674,2018-09-18,2,1
157,531689,2018-09-19,2,1
158,531698,2018-09-21,3313,0
159,531713,2018-09-22,3313,0
160,531728,2018-09-23,3313,0
161,531743,2018-09-24,3,0
162,531756,2018-09-25,3,0
163,531756,2018-09-26,3,0
164,531771,2018-09-26,3,0
165,531788,2018-09-27,2,1
166,531798,2018-09-28,2,1
167,531813,2018-09-29,2,1
168,531788,2018-09-29,2,1
169,531828,2018-09-30,2,1
