,game_id,game_date,venue_id,home
0,631664,2020-07-24,3,1
1,631666,2020-07-25,3,1
2,631668,2020-07-26,3,1
3,631669,2020-07-27,3,1
4,631663,2020-07-28,3,1
5,631239,2020-07-29,3289,0
6,631238,2020-07-30,3289,0
7,631222,2020-07-31,3313,0
8,631224,2020-08-01,3313,0
9,631210,2020-08-02,3313,0
10,630971,2020-08-04,12,0
11,630972,2020-08-05,12,0
12,631623,2020-08-07,3,1
13,631658,2020-08-08,3,1
14,631630,2020-08-09,3,1
15,631631,2020-08-10,3,1
16,631646,2020-08-11,3,1
17,631648,2020-08-12,3,1
18,631650,2020-08-13,3,1
19,631196,2020-08-14,3313,0
20,631197,2020-08-15,3313,0
21,631198,2020-08-16,3313,0
22,631199,2020-08-17,3313,0
23,631651,2020-08-18,3,1
24,631652,2020-08-19,3,1
25,631684,2020-08-20,2,0
26,631665,2020-08-21,2,0
27,631667,2020-08-22,2,0
28,631670,2020-08-23,2,0
29,630862,2020-08-25,2756,0
30,630863,2020-08-26,2756,0
31,630865,2020-08-27,2756,0
32,631653,2020-08-28,3,1
33,631654,2020-08-29,3,1
34,631655,2020-08-30,3,1
35,631656,2020-08-31,3,1
36,631657,2020-09-01,3,1
37,631624,2020-09-02,3,1
38,631614,2020-09-03,3,1
39,631649,2020-09-04,3,1
40,630865,2020-09-04,3,0
41,631625,2020-09-05,3,1
42,631626,2020-09-06,3,1
43,631149,2020-09-08,2681,0
44,631152,2020-09-08,2681,0
45,630957,2020-09-10,12,0
46,630958,2020-09-11,12,0
47,630959,2020-09-12,12,0
48,630947,2020-09-13,12,0
49,631314,2020-09-15,4169,0
50,631315,2020-09-16,4169,0
51,631313,2020-09-17,4169,0
52,631627,2020-09-18,3,1
53,631628,2020-09-19,3,1
54,631635,2020-09-20,3,1
55,631636,2020-09-22,3,1
56,631637,2020-09-23,3,1
57,631640,2020-09-24,3,1
58,630569,2020-09-25,4705,0
59,630570,2020-09-26,4705,0
60,630573,2020-09-27,4705,0
