,game_id,game_date,venue_id,home
0,490099,2017-04-02,2889,0
1,490136,2017-04-04,2889,0
2,490121,2017-04-05,2889,0
3,490121,2017-04-06,2889,0
4,490150,2017-04-07,32,0
5,490165,2017-04-08,32,0
6,490180,2017-04-09,32,0
7,490197,2017-04-10,17,1
8,490221,2017-04-12,17,1
9,490233,2017-04-13,17,1
10,490250,2017-04-14,17,1
11,490265,2017-04-15,17,1
12,490280,2017-04-16,17,1
13,490290,2017-04-17,17,1
14,490304,2017-04-18,17,1
15,490319,2017-04-19,17,1
16,490338,2017-04-21,2602,0
17,490353,2017-04-22,2602,0
18,490368,2017-04-23,2602,0
19,490381,2017-04-24,31,0
20,490391,2017-04-25,31,0
21,490406,2017-04-26,31,0
22,490432,2017-04-28,3,0
23,490447,2017-04-29,3,0
24,490462,2017-04-30,3,0
25,490480,2017-05-01,17,1
26,490495,2017-05-02,17,1
27,490511,2017-05-03,17,1
28,490526,2017-05-04,17,1
29,490538,2017-05-05,17,1
30,490553,2017-05-06,17,1
31,490568,2017-05-07,17,1
32,490574,2017-05-08,19,0
33,490574,2017-05-09,19,0
34,490585,2017-05-09,19,0
35,490601,2017-05-10,19,0
36,490626,2017-05-12,2889,0
37,490641,2017-05-13,2889,0
38,490656,2017-05-14,2889,0
39,490681,2017-05-16,17,1
40,490695,2017-05-17,17,1
41,490710,2017-05-18,17,1
42,490726,2017-05-19,17,1
43,490741,2017-05-20,17,1
44,490756,2017-05-21,17,1
45,490771,2017-05-22,17,1
46,490782,2017-05-23,17,1
47,490797,2017-05-24,17,1
48,490810,2017-05-25,17,1
49,490817,2017-05-26,22,0
50,490832,2017-05-27,22,0
51,490847,2017-05-28,22,0
52,490862,2017-05-29,2680,0
53,490877,2017-05-30,2680,0
54,490892,2017-05-31,2680,0
55,490924,2017-06-02,17,1
56,490939,2017-06-03,17,1
57,490954,2017-06-04,17,1
58,490958,2017-06-05,17,1
59,490969,2017-06-06,17,1
60,490984,2017-06-07,17,1
61,490996,2017-06-08,17,1
62,491008,2017-06-09,17,1
63,491023,2017-06-10,17,1
64,491039,2017-06-11,17,1
65,491053,2017-06-12,3289,0
66,491063,2017-06-13,3289,0
67,491079,2017-06-14,3289,0
68,491102,2017-06-16,31,0
69,491117,2017-06-17,31,0
70,491132,2017-06-18,31,0
71,491152,2017-06-19,17,1
72,491166,2017-06-20,17,1
73,491181,2017-06-21,17,1
74,491187,2017-06-22,4169,0
75,491199,2017-06-23,4169,0
76,491214,2017-06-24,4169,0
77,491229,2017-06-25,4169,0
78,491243,2017-06-26,3309,0
79,491252,2017-06-27,3309,0
80,491267,2017-06-28,3309,0
81,491282,2017-06-29,3309,0
82,491295,2017-06-30,2602,0
83,491310,2017-07-01,2602,0
84,491325,2017-07-02,2602,0
85,491361,2017-07-04,17,1
86,491376,2017-07-05,17,1
87,490741,2017-07-06,17,1
88,491402,2017-07-07,17,1
89,491417,2017-07-08,17,1
90,491432,2017-07-09,17,1
91,491436,2017-07-14,2,0
92,491451,2017-07-15,2,0
93,491466,2017-07-16,2,0
94,491480,2017-07-17,4705,0
95,491494,2017-07-18,4705,0
96,491509,2017-07-19,4705,0
97,491543,2017-07-21,17,1
98,491558,2017-07-22,17,1
99,491573,2017-07-23,17,1
100,491580,2017-07-24,17,1
101,491592,2017-07-25,17,1
102,491607,2017-07-26,4,0
103,491620,2017-07-27,4,0
104,491630,2017-07-28,32,0
105,491645,2017-07-29,32,0
106,491660,2017-07-30,32,0
107,491681,2017-08-01,17,1
108,491696,2017-08-02,17,1
109,491711,2017-08-03,17,1
110,491738,2017-08-04,17,1
111,491753,2017-08-05,17,1
112,491768,2017-08-06,17,1
113,491770,2017-08-07,2395,0
114,491778,2017-08-08,2395,0
115,491793,2017-08-09,2395,0
116,491821,2017-08-11,15,0
117,491836,2017-08-12,15,0
118,491851,2017-08-13,15,0
119,491865,2017-08-14,17,1
120,491876,2017-08-15,17,1
121,491892,2017-08-16,17,1
122,491906,2017-08-17,17,1
123,491926,2017-08-18,17,1
124,491941,2017-08-19,17,1
125,491956,2017-08-20,17,1
126,491968,2017-08-22,2602,0
127,491983,2017-08-23,2602,0
128,491998,2017-08-24,2602,0
129,492009,2017-08-25,2681,0
130,492024,2017-08-26,2681,0
131,492039,2017-08-27,2681,0
132,492059,2017-08-28,17,1
133,492072,2017-08-29,17,1
134,492087,2017-08-30,17,1
135,492093,2017-08-31,17,1
136,492104,2017-09-01,17,1
137,492119,2017-09-02,17,1
138,492134,2017-09-03,17,1
139,492149,2017-09-04,31,0
140,492164,2017-09-05,31,0
141,492179,2017-09-06,31,0
142,492193,2017-09-07,31,0
143,492208,2017-09-08,17,1
144,492223,2017-09-09,17,1
145,492238,2017-09-10,17,1
146,492263,2017-09-12,17,1
147,492278,2017-09-13,17,1
148,492292,2017-09-14,17,1
149,492308,2017-09-15,17,1
150,492323,2017-09-16,17,1
151,492338,2017-09-17,17,1
152,492350,2017-09-19,12,0
153,492365,2017-09-20,12,0
154,492378,2017-09-21,32,0
155,492390,2017-09-22,32,0
156,492405,2017-09-23,32,0
157,492420,2017-09-24,32,0
158,492435,2017-09-25,2889,0
159,492446,2017-09-26,2889,0
160,492461,2017-09-27,2889,0
161,492475,2017-09-28,2889,0
162,492488,2017-09-29,17,1
163,492503,2017-09-30,17,1
164,492518,2017-10-01,17,1
