,game_id,game_date,venue_id,home
0,446874,2016-04-04,2602,1
1,446897,2016-04-06,2602,1
2,446909,2016-04-07,2602,1
3,446922,2016-04-08,2602,1
4,446937,2016-04-09,2602,1
5,446952,2016-04-10,2602,1
6,446960,2016-04-11,17,0
7,446985,2016-04-13,17,0
8,447000,2016-04-14,17,0
9,447011,2016-04-15,2889,0
10,447026,2016-04-16,2889,0
11,447041,2016-04-17,2889,0
12,447054,2016-04-18,2602,1
13,447061,2016-04-19,2602,1
14,447076,2016-04-20,2602,1
15,447090,2016-04-21,2602,1
16,447105,2016-04-22,2602,1
17,447120,2016-04-23,2602,1
18,447135,2016-04-24,2602,1
19,447151,2016-04-25,3289,0
20,447164,2016-04-26,3289,0
21,447179,2016-04-27,3289,0
22,447201,2016-04-29,31,0
23,447216,2016-04-30,31,0
24,447231,2016-05-01,31,0
25,447250,2016-05-02,2602,1
26,447265,2016-05-03,2602,1
27,447280,2016-05-04,2602,1
28,447288,2016-05-05,2602,1
29,447300,2016-05-06,2602,1
30,447315,2016-05-07,2602,1
31,447330,2016-05-08,2602,1
32,447349,2016-05-09,2602,1
33,447363,2016-05-10,2602,1
34,447378,2016-05-11,2602,1
35,447393,2016-05-13,2681,0
36,447408,2016-05-14,2681,0
37,447423,2016-05-15,2681,0
38,447438,2016-05-16,5,0
39,447447,2016-05-17,5,0
40,447462,2016-05-18,2602,1
41,447476,2016-05-19,2602,1
42,447496,2016-05-20,2602,1
43,447511,2016-05-21,2602,1
44,447526,2016-05-22,2602,1
45,447532,2016-05-23,22,0
46,447543,2016-05-24,22,0
47,447558,2016-05-25,22,0
48,447582,2016-05-27,32,0
49,447597,2016-05-28,32,0
50,447612,2016-05-29,32,0
51,447626,2016-05-30,19,0
52,447641,2016-05-31,19,0
53,447657,2016-06-01,19,0
54,447671,2016-06-02,19,0
55,447693,2016-06-03,2602,1
56,447708,2016-06-04,2602,1
57,447723,2016-06-05,2602,1
58,447745,2016-06-07,2602,1
59,447760,2016-06-08,2602,1
60,447770,2016-06-09,2602,1
61,447782,2016-06-10,2602,1
62,447797,2016-06-11,2602,1
63,447812,2016-06-12,2602,1
64,447818,2016-06-13,16,0
65,447829,2016-06-14,16,0
66,447844,2016-06-15,16,0
67,447858,2016-06-16,16,0
68,447870,2016-06-17,2392,0
69,447885,2016-06-18,2392,0
70,447900,2016-06-19,2392,0
71,447924,2016-06-21,13,0
72,447939,2016-06-22,13,0
73,447957,2016-06-23,2602,1
74,447970,2016-06-24,2602,1
75,447985,2016-06-25,2602,1
76,448000,2016-06-26,2602,1
77,448006,2016-06-27,2602,1
78,448018,2016-06-28,2602,1
79,448033,2016-06-29,2602,1
80,448048,2016-06-30,3309,0
81,448060,2016-07-01,3309,0
82,448075,2016-07-02,3309,0
83,448090,2016-07-03,3309,0
84,448104,2016-07-04,17,0
85,448119,2016-07-05,17,0
86,448134,2016-07-06,17,0
87,448160,2016-07-08,4169,0
88,448175,2016-07-09,4169,0
89,448190,2016-07-10,4169,0
90,448212,2016-07-15,2602,1
91,448227,2016-07-16,2602,1
92,448242,2016-07-17,2602,1
93,448248,2016-07-18,2602,1
94,448259,2016-07-19,2602,1
95,448274,2016-07-20,2602,1
96,448299,2016-07-22,2602,1
97,448314,2016-07-23,2602,1
98,448329,2016-07-24,2602,1
99,448346,2016-07-25,2395,0
100,448358,2016-07-26,2395,0
101,448373,2016-07-27,2395,0
102,448397,2016-07-29,2680,0
103,448412,2016-07-30,2680,0
104,448427,2016-07-31,2680,0
105,448457,2016-08-02,2602,1
106,448472,2016-08-03,2602,1
107,448485,2016-08-04,2602,1
108,448492,2016-08-05,31,0
109,448507,2016-08-06,31,0
110,448522,2016-08-07,31,0
111,448535,2016-08-08,2889,0
112,448545,2016-08-09,2889,0
113,448560,2016-08-10,2889,0
114,448586,2016-08-12,32,0
115,448601,2016-08-13,32,0
116,448616,2016-08-14,32,0
117,448628,2016-08-15,2602,1
118,448639,2016-08-16,2602,1
119,448654,2016-08-17,2602,1
120,448670,2016-08-18,2602,1
121,448681,2016-08-19,2602,1
122,448696,2016-08-20,2602,1
123,448711,2016-08-21,2602,1
124,448728,2016-08-22,2602,1
125,448744,2016-08-23,2602,1
126,448760,2016-08-24,2602,1
127,448775,2016-08-26,15,0
128,448790,2016-08-27,15,0
129,448805,2016-08-28,15,0
130,448818,2016-08-29,1,0
131,448832,2016-08-30,1,0
132,448847,2016-08-31,1,0
133,448876,2016-09-02,2602,1
134,448891,2016-09-03,2602,1
135,448906,2016-09-04,2602,1
136,448918,2016-09-05,2602,1
137,448933,2016-09-06,2602,1
138,448948,2016-09-07,2602,1
139,448954,2016-09-08,31,0
140,448964,2016-09-09,31,0
141,448979,2016-09-10,31,0
142,448994,2016-09-11,31,0
143,449012,2016-09-12,2602,1
144,449027,2016-09-13,2602,1
145,449042,2016-09-14,2602,1
146,449070,2016-09-16,2602,1
147,447363,2016-09-17,2602,1
148,449085,2016-09-17,2602,1
149,449100,2016-09-18,2602,1
150,449109,2016-09-19,17,0
151,449120,2016-09-20,17,0
152,449135,2016-09-21,17,0
153,449160,2016-09-23,32,0
154,449175,2016-09-24,32,0
155,449190,2016-09-25,32,0
156,449203,2016-09-26,2889,0
157,449215,2016-09-27,2889,0
158,449230,2016-09-28,2889,0
159,449245,2016-09-29,2889,0
160,449254,2016-09-30,2602,1
161,449269,2016-10-01,2602,1
162,449284,2016-10-02,2602,1
