,game_id,game_date,venue_id,home
0,413654,2015-04-06,2392,0
1,413676,2015-04-08,2392,0
2,413688,2015-04-09,2392,0
3,413698,2015-04-10,5,1
4,413713,2015-04-11,5,1
5,413728,2015-04-12,5,1
6,413757,2015-04-14,5,1
7,413770,2015-04-15,5,1
8,413795,2015-04-17,3312,0
9,413810,2015-04-18,3312,0
10,413825,2015-04-19,3312,0
11,413837,2015-04-20,4,0
12,413848,2015-04-21,4,0
13,413863,2015-04-22,4,0
14,413888,2015-04-24,2394,0
15,413903,2015-04-25,2394,0
16,413918,2015-04-26,2394,0
17,413934,2015-04-27,5,1
18,413949,2015-04-28,5,1
19,413964,2015-04-29,5,1
20,413980,2015-04-30,5,1
21,413995,2015-05-01,5,1
22,414010,2015-05-02,5,1
23,414025,2015-05-03,5,1
24,414042,2015-05-05,7,0
25,414057,2015-05-06,7,0
26,414071,2015-05-07,7,0
27,414088,2015-05-08,5,1
28,414103,2015-05-09,5,1
29,414118,2015-05-10,5,1
30,414146,2015-05-12,5,1
31,414161,2015-05-13,5,1
32,414172,2015-05-14,5,1
33,414180,2015-05-15,13,0
34,414195,2015-05-16,13,0
35,414210,2015-05-17,13,0
36,414222,2015-05-18,4,0
37,414231,2015-05-19,4,0
38,414246,2015-05-20,4,0
39,414260,2015-05-21,4,0
40,414272,2015-05-22,5,1
41,414287,2015-05-23,5,1
42,414302,2015-05-24,5,1
43,414327,2015-05-25,5,1
44,414342,2015-05-26,5,1
45,414357,2015-05-27,5,1
46,414361,2015-05-28,680,0
47,414369,2015-05-29,680,0
48,414384,2015-05-30,680,0
49,414399,2015-05-31,680,0
50,414426,2015-06-02,7,0
51,414441,2015-06-03,7,0
52,414455,2015-06-04,7,0
53,414462,2015-06-05,5,1
54,414477,2015-06-06,5,1
55,414492,2015-06-07,5,1
56,414524,2015-06-09,5,1
57,414539,2015-06-10,5,1
58,414549,2015-06-11,5,1
59,414557,2015-06-12,2394,0
60,414572,2015-06-13,2394,0
61,414587,2015-06-14,2394,0
62,414602,2015-06-15,17,0
63,414617,2015-06-16,17,0
64,414631,2015-06-17,5,1
65,414646,2015-06-18,5,1
66,414671,2015-06-19,5,1
67,414686,2015-06-20,5,1
68,414701,2015-06-21,5,1
69,414704,2015-06-22,5,1
70,414715,2015-06-23,5,1
71,414730,2015-06-24,5,1
72,414757,2015-06-26,2,0
73,414772,2015-06-27,2,0
74,414787,2015-06-28,2,0
75,414772,2015-06-28,2,0
76,414797,2015-06-29,12,0
77,414808,2015-06-30,12,0
78,414823,2015-07-01,12,0
79,414837,2015-07-02,12,0
80,414849,2015-07-03,31,0
81,414864,2015-07-04,31,0
82,414879,2015-07-05,31,0
83,414896,2015-07-06,5,1
84,414909,2015-07-07,5,1
85,414924,2015-07-08,5,1
86,414937,2015-07-09,5,1
87,414952,2015-07-10,5,1
88,414967,2015-07-11,5,1
89,414982,2015-07-12,5,1
90,414992,2015-07-17,2602,0
91,415007,2015-07-18,2602,0
92,415022,2015-07-19,2602,0
93,415047,2015-07-21,32,0
94,415062,2015-07-22,32,0
95,415076,2015-07-23,5,1
96,415086,2015-07-24,5,1
97,415101,2015-07-25,5,1
98,415116,2015-07-26,5,1
99,415135,2015-07-27,5,1
100,415145,2015-07-28,5,1
101,415160,2015-07-29,5,1
102,415172,2015-07-30,10,0
103,415185,2015-07-31,10,0
104,415200,2015-08-01,10,0
105,415215,2015-08-02,10,0
106,415229,2015-08-03,1,0
107,415241,2015-08-04,1,0
108,415256,2015-08-05,1,0
109,415285,2015-08-07,5,1
110,415300,2015-08-08,5,1
111,415315,2015-08-09,5,1
112,415338,2015-08-11,5,1
113,415353,2015-08-12,5,1
114,415363,2015-08-13,5,1
115,415372,2015-08-14,3312,0
116,415387,2015-08-15,3312,0
117,415402,2015-08-16,3312,0
118,415416,2015-08-17,3,0
119,415426,2015-08-18,3,0
120,415441,2015-08-19,3,0
121,415456,2015-08-20,3313,0
122,415467,2015-08-21,3313,0
123,415482,2015-08-22,3313,0
124,415497,2015-08-23,3313,0
125,414602,2015-08-24,17,0
126,415524,2015-08-25,5,1
127,415539,2015-08-26,5,1
128,415558,2015-08-28,5,1
129,415573,2015-08-29,5,1
130,415588,2015-08-30,5,1
131,415606,2015-08-31,14,0
132,415619,2015-09-01,14,0
133,415634,2015-09-02,14,0
134,415655,2015-09-04,2394,0
135,415670,2015-09-05,2394,0
136,415685,2015-09-06,2394,0
137,415699,2015-09-07,4,0
138,415714,2015-09-08,4,0
139,415729,2015-09-09,4,0
140,415742,2015-09-10,5,1
141,415751,2015-09-11,5,1
142,415766,2015-09-12,5,1
143,415781,2015-09-13,5,1
144,415751,2015-09-13,5,1
145,415799,2015-09-14,5,1
146,415812,2015-09-15,5,1
147,415827,2015-09-16,5,1
148,415839,2015-09-17,5,1
149,415848,2015-09-18,5,1
150,415863,2015-09-19,5,1
151,415878,2015-09-20,5,1
152,415905,2015-09-22,3312,0
153,415920,2015-09-23,3312,0
154,415931,2015-09-24,3312,0
155,415944,2015-09-25,7,0
156,415959,2015-09-26,7,0
157,415974,2015-09-27,7,0
158,415989,2015-09-28,5,1
159,416002,2015-09-29,5,1
160,416017,2015-09-30,5,1
161,416002,2015-09-30,5,1
162,416031,2015-10-01,5,1
163,416036,2015-10-02,5,1
164,416051,2015-10-03,5,1
165,416066,2015-10-04,5,1
