,game_id,game_date,venue_id,home
0,529410,2018-03-29,15,0
1,529423,2018-03-30,15,0
2,529434,2018-03-31,15,0
3,529462,2018-04-02,2680,0
4,529476,2018-04-03,2680,0
5,529487,2018-04-04,2680,0
6,529501,2018-04-05,2680,0
7,529508,2018-04-06,19,1
8,529518,2018-04-07,19,1
9,529533,2018-04-08,19,1
10,529556,2018-04-09,19,1
11,529570,2018-04-10,19,1
12,529585,2018-04-11,19,1
13,529590,2018-04-12,3309,0
14,529601,2018-04-13,3309,0
15,529616,2018-04-14,3309,0
16,529631,2018-04-15,3309,0
17,529645,2018-04-16,31,0
18,529659,2018-04-17,31,0
19,529674,2018-04-18,31,0
20,529692,2018-04-20,19,1
21,529707,2018-04-21,19,1
22,529722,2018-04-22,19,1
23,529742,2018-04-23,19,1
24,529756,2018-04-24,19,1
25,529771,2018-04-25,19,1
26,529789,2018-04-27,4169,0
27,529804,2018-04-28,4169,0
28,529819,2018-04-29,4169,0
29,529830,2018-04-30,17,0
30,529844,2018-05-01,17,0
31,529859,2018-05-02,17,0
32,529884,2018-05-04,3289,0
33,529899,2018-05-05,3289,0
34,529915,2018-05-06,3289,0
35,529940,2018-05-08,19,1
36,529955,2018-05-09,19,1
37,529966,2018-05-10,19,1
38,529977,2018-05-11,19,1
39,529992,2018-05-12,19,1
40,530007,2018-05-13,19,1
41,530019,2018-05-14,2680,0
42,530028,2018-05-15,2680,0
43,530054,2018-05-17,2395,0
44,530066,2018-05-18,2395,0
45,530081,2018-05-19,2395,0
46,530096,2018-05-20,2395,0
47,530110,2018-05-21,22,0
48,530121,2018-05-22,22,0
49,530136,2018-05-23,22,0
50,530158,2018-05-25,19,1
51,530173,2018-05-26,19,1
52,530188,2018-05-27,19,1
53,530208,2018-05-28,19,1
54,530223,2018-05-29,19,1
55,530238,2018-05-30,19,1
56,530259,2018-06-01,19,1
57,530274,2018-06-02,19,1
58,530289,2018-06-03,19,1
59,530307,2018-06-05,2602,0
60,530322,2018-06-06,2602,0
61,530335,2018-06-07,2602,0
62,530343,2018-06-08,19,1
63,530358,2018-06-09,19,1
64,530373,2018-06-10,19,1
65,530400,2018-06-12,2681,0
66,530415,2018-06-13,2681,0
67,530428,2018-06-14,2681,0
68,530438,2018-06-15,13,0
69,530453,2018-06-16,13,0
70,530468,2018-06-17,13,0
71,530485,2018-06-18,19,1
72,530498,2018-06-19,19,1
73,530512,2018-06-20,19,1
74,530522,2018-06-21,19,1
75,530534,2018-06-22,19,1
76,530549,2018-06-23,19,1
77,530564,2018-06-24,19,1
78,530588,2018-06-26,2395,0
79,530603,2018-06-27,2395,0
80,530615,2018-06-28,2395,0
81,530627,2018-06-29,22,0
82,530642,2018-06-30,22,0
83,530657,2018-07-01,22,0
84,530675,2018-07-02,19,1
85,530690,2018-07-03,19,1
86,530705,2018-07-04,19,1
87,530721,2018-07-06,680,0
88,530736,2018-07-07,680,0
89,530751,2018-07-08,680,0
90,530772,2018-07-10,19,1
91,530787,2018-07-11,19,1
92,530802,2018-07-12,19,1
93,530821,2018-07-13,19,1
94,530836,2018-07-14,19,1
95,530851,2018-07-15,19,1
96,530863,2018-07-20,15,0
97,530878,2018-07-21,15,0
98,530893,2018-07-22,15,0
99,530921,2018-07-24,19,1
100,530935,2018-07-25,19,1
101,530964,2018-07-27,19,1
102,530979,2018-07-28,19,1
103,530994,2018-07-29,19,1
104,531002,2018-07-30,2889,0
105,531014,2018-07-31,2889,0
106,531029,2018-08-01,2889,0
107,531040,2018-08-02,2889,0
108,531053,2018-08-03,32,0
109,531068,2018-08-04,32,0
110,531083,2018-08-05,32,0
111,531101,2018-08-06,19,1
112,531115,2018-08-07,19,1
113,531129,2018-08-08,19,1
114,531136,2018-08-09,19,1
115,531145,2018-08-10,19,1
116,531160,2018-08-11,19,1
117,531175,2018-08-12,19,1
118,531199,2018-08-14,2392,0
119,531214,2018-08-15,2392,0
120,531227,2018-08-16,4705,0
121,531237,2018-08-17,4705,0
122,531252,2018-08-18,4705,0
123,531267,2018-08-19,4705,0
124,531299,2018-08-21,19,1
125,531314,2018-08-22,19,1
126,531325,2018-08-23,19,1
127,531339,2018-08-24,19,1
128,531354,2018-08-25,19,1
129,531369,2018-08-26,19,1
130,531374,2018-08-27,1,0
131,531381,2018-08-28,1,0
132,531410,2018-08-30,2680,0
133,531422,2018-08-31,2680,0
134,531437,2018-09-01,2680,0
135,531452,2018-09-02,2680,0
136,531474,2018-09-03,19,1
137,531489,2018-09-04,19,1
138,531503,2018-09-05,19,1
139,531517,2018-09-07,19,1
140,531532,2018-09-08,19,1
141,531547,2018-09-09,19,1
142,531555,2018-09-10,19,1
143,531567,2018-09-11,19,1
144,531582,2018-09-12,19,1
145,531597,2018-09-13,19,1
146,531607,2018-09-14,2395,0
147,531622,2018-09-15,2395,0
148,531637,2018-09-16,2395,0
149,531651,2018-09-17,22,0
150,531665,2018-09-18,22,0
151,531680,2018-09-19,22,0
152,531702,2018-09-21,15,0
153,531717,2018-09-22,15,0
154,531732,2018-09-23,15,0
155,531751,2018-09-24,19,1
156,531766,2018-09-25,19,1
157,531781,2018-09-26,19,1
158,531790,2018-09-27,19,1
159,531807,2018-09-28,19,1
160,531822,2018-09-29,19,1
161,531837,2018-09-30,19,1
162,570335,2018-10-01,22,0
