,game_id,game_date,venue_id,home
0,413653,2015-04-06,7,0
1,413675,2015-04-08,7,0
2,413687,2015-04-09,7,0
3,413702,2015-04-10,4,1
4,413717,2015-04-11,4,1
5,413732,2015-04-12,4,1
6,413757,2015-04-14,5,0
7,413770,2015-04-15,5,0
8,413793,2015-04-17,2394,0
9,413808,2015-04-18,2394,0
10,413823,2015-04-19,2394,0
11,413837,2015-04-20,4,1
12,413848,2015-04-21,4,1
13,413863,2015-04-22,4,1
14,413878,2015-04-23,4,1
15,413890,2015-04-24,4,1
16,413905,2015-04-25,4,1
17,413890,2015-04-26,4,1
18,413920,2015-04-26,4,1
19,413930,2015-04-27,2,0
20,413945,2015-04-28,2,0
21,413960,2015-04-29,2,0
22,413975,2015-04-30,3312,0
23,413984,2015-05-01,3312,0
24,413999,2015-05-02,3312,0
25,414014,2015-05-03,3312,0
26,414043,2015-05-05,4,1
27,414058,2015-05-06,4,1
28,414072,2015-05-07,4,1
29,414083,2015-05-08,4,1
30,414098,2015-05-09,4,1
31,414083,2015-05-09,4,1
32,414113,2015-05-10,4,1
33,414126,2015-05-11,32,0
34,414136,2015-05-12,32,0
35,414151,2015-05-13,32,0
36,414179,2015-05-15,10,0
37,414194,2015-05-16,10,0
38,414209,2015-05-17,10,0
39,414222,2015-05-18,4,1
40,414231,2015-05-19,4,1
41,414246,2015-05-20,4,1
42,414260,2015-05-21,4,1
43,414275,2015-05-22,4,1
44,414290,2015-05-23,4,1
45,414305,2015-05-24,4,1
46,414317,2015-05-25,14,0
47,414332,2015-05-26,14,0
48,414347,2015-05-27,14,0
49,413930,2015-05-28,2,0
50,413945,2015-05-28,2,0
51,414368,2015-05-29,2392,0
52,414383,2015-05-30,2392,0
53,414398,2015-05-31,2392,0
54,414423,2015-06-02,13,0
55,414438,2015-06-03,13,0
56,414452,2015-06-04,13,0
57,414464,2015-06-05,4,1
58,414479,2015-06-06,4,1
59,414494,2015-06-07,4,1
60,414507,2015-06-08,4,1
61,414518,2015-06-09,4,1
62,414533,2015-06-10,4,1
63,414555,2015-06-12,12,0
64,414570,2015-06-13,12,0
65,414585,2015-06-14,12,0
66,414600,2015-06-15,31,0
67,414615,2015-06-16,31,0
68,414637,2015-06-17,4,1
69,414652,2015-06-18,4,1
70,414672,2015-06-19,4,1
71,414687,2015-06-20,4,1
72,414702,2015-06-21,4,1
73,414703,2015-06-22,3312,0
74,414713,2015-06-23,3312,0
75,414728,2015-06-24,3312,0
76,414743,2015-06-25,2394,0
77,414754,2015-06-26,2394,0
78,414769,2015-06-27,2394,0
79,414784,2015-06-28,2394,0
80,414806,2015-06-30,2889,0
81,414821,2015-07-01,2889,0
82,414848,2015-07-03,4,1
83,414863,2015-07-04,4,1
84,414878,2015-07-05,4,1
85,414902,2015-07-06,4,1
86,414917,2015-07-07,4,1
87,414932,2015-07-08,4,1
88,414942,2015-07-09,4,1
89,414946,2015-07-10,17,0
90,414961,2015-07-11,17,0
91,414976,2015-07-12,17,0
92,413905,2015-07-17,4,1
93,414994,2015-07-17,4,1
94,415009,2015-07-18,4,1
95,415024,2015-07-19,4,1
96,415055,2015-07-21,4,1
97,415070,2015-07-22,4,1
98,415076,2015-07-23,5,0
99,415086,2015-07-24,5,0
100,415101,2015-07-25,5,0
101,415116,2015-07-26,5,0
102,415131,2015-07-27,3,0
103,415141,2015-07-28,3,0
104,415156,2015-07-29,3,0
105,415170,2015-07-30,3,0
106,415189,2015-07-31,4,1
107,415204,2015-08-01,4,1
108,415219,2015-08-02,4,1
109,415236,2015-08-03,4,1
110,415251,2015-08-04,4,1
111,415266,2015-08-05,4,1
112,415279,2015-08-07,7,0
113,415294,2015-08-08,7,0
114,415309,2015-08-09,7,0
115,415322,2015-08-10,4,1
116,415329,2015-08-11,4,1
117,415344,2015-08-12,4,1
118,415370,2015-08-14,4,1
119,415385,2015-08-15,4,1
120,415400,2015-08-16,4,1
121,415415,2015-08-17,1,0
122,415425,2015-08-18,1,0
123,415440,2015-08-19,1,0
124,415455,2015-08-20,1,0
125,415466,2015-08-21,680,0
126,415481,2015-08-22,680,0
127,415496,2015-08-23,680,0
128,415510,2015-08-24,4,1
129,415519,2015-08-25,4,1
130,415534,2015-08-26,4,1
131,415555,2015-08-27,4,1
132,415571,2015-08-28,4,1
133,415586,2015-08-29,4,1
134,415601,2015-08-30,4,1
135,415617,2015-09-01,3312,0
136,415632,2015-09-02,3312,0
137,415646,2015-09-03,3312,0
138,415654,2015-09-04,7,0
139,415669,2015-09-05,7,0
140,415684,2015-09-06,7,0
141,415699,2015-09-07,4,1
142,415714,2015-09-08,4,1
143,415729,2015-09-09,4,1
144,415756,2015-09-11,4,1
145,415771,2015-09-12,4,1
146,415786,2015-09-13,4,1
147,415802,2015-09-14,4,1
148,415815,2015-09-15,4,1
149,415830,2015-09-16,4,1
150,415841,2015-09-17,4,1
151,415848,2015-09-18,5,0
152,415863,2015-09-19,5,0
153,415878,2015-09-20,5,0
154,414769,2015-09-21,2394,0
155,415893,2015-09-21,2394,0
156,415903,2015-09-22,2394,0
157,415918,2015-09-23,2394,0
158,415930,2015-09-24,3313,0
159,415943,2015-09-25,3313,0
160,415958,2015-09-26,3313,0
161,415973,2015-09-27,3313,0
162,415998,2015-09-29,4,1
163,416013,2015-09-30,4,1
164,416027,2015-10-01,4,1
165,416040,2015-10-02,4,1
166,416055,2015-10-03,4,1
167,416070,2015-10-04,4,1
