,game_id,game_date,venue_id,home
0,446883,2016-04-05,4169,0
1,446892,2016-04-06,4169,0
2,446919,2016-04-08,2394,1
3,446934,2016-04-09,2394,1
4,446949,2016-04-10,2394,1
5,446965,2016-04-11,2394,1
6,446977,2016-04-12,2394,1
7,446987,2016-04-13,31,0
8,447002,2016-04-14,31,0
9,447013,2016-04-15,2392,0
10,447028,2016-04-16,2392,0
11,447043,2016-04-17,2392,0
12,447062,2016-04-19,7,0
13,447077,2016-04-20,7,0
14,447091,2016-04-21,7,0
15,447106,2016-04-22,2394,1
16,447121,2016-04-23,2394,1
17,447136,2016-04-24,2394,1
18,447157,2016-04-25,2394,1
19,447171,2016-04-26,2394,1
20,447186,2016-04-27,2394,1
21,447195,2016-04-28,2394,1
22,447204,2016-04-29,3312,0
23,447219,2016-04-30,3312,0
24,447234,2016-05-01,3312,0
25,447259,2016-05-03,5,0
26,447274,2016-05-04,5,0
27,447287,2016-05-05,5,0
28,447308,2016-05-06,2394,1
29,447323,2016-05-07,2394,1
30,447338,2016-05-08,2394,1
31,447344,2016-05-09,3309,0
32,447357,2016-05-10,3309,0
33,447372,2016-05-11,3309,0
34,447383,2016-05-12,2,0
35,447394,2016-05-13,2,0
36,447409,2016-05-14,2,0
37,447424,2016-05-15,2,0
38,447440,2016-05-16,2394,1
39,447452,2016-05-17,2394,1
40,447467,2016-05-18,2394,1
41,447497,2016-05-20,2394,1
42,447512,2016-05-21,2394,1
43,447527,2016-05-22,2394,1
44,447537,2016-05-23,2394,1
45,447551,2016-05-24,2394,1
46,447567,2016-05-25,2394,1
47,447583,2016-05-27,10,0
48,447598,2016-05-28,10,0
49,447613,2016-05-29,10,0
50,447627,2016-05-30,1,0
51,447642,2016-05-31,1,0
52,447658,2016-06-01,1,0
53,446949,2016-06-02,2394,1
54,447681,2016-06-03,2394,1
55,447696,2016-06-04,2394,1
56,447711,2016-06-05,2394,1
57,447733,2016-06-06,2394,1
58,447747,2016-06-07,2394,1
59,447762,2016-06-08,2394,1
60,447776,2016-06-10,3313,0
61,447791,2016-06-11,3313,0
62,447806,2016-06-12,3313,0
63,447820,2016-06-13,4,0
64,447831,2016-06-14,4,0
65,447846,2016-06-15,4,0
66,447859,2016-06-16,7,0
67,447872,2016-06-17,7,0
68,447887,2016-06-18,7,0
69,447902,2016-06-19,7,0
70,447917,2016-06-20,2394,1
71,447932,2016-06-21,2394,1
72,447947,2016-06-22,2394,1
73,447959,2016-06-23,2394,1
74,447963,2016-06-24,2394,1
75,447978,2016-06-25,2394,1
76,447993,2016-06-26,2394,1
77,448022,2016-06-28,2394,1
78,448038,2016-06-29,2394,1
79,448050,2016-06-30,12,0
80,448063,2016-07-01,12,0
81,448078,2016-07-02,12,0
82,448093,2016-07-03,12,0
83,448106,2016-07-04,5,0
84,448121,2016-07-05,5,0
85,448136,2016-07-06,5,0
86,448147,2016-07-07,14,0
87,448161,2016-07-08,14,0
88,448176,2016-07-09,14,0
89,448191,2016-07-10,14,0
90,448209,2016-07-15,2394,1
91,448224,2016-07-16,2394,1
92,448239,2016-07-17,2394,1
93,448254,2016-07-18,2394,1
94,448267,2016-07-19,2394,1
95,448282,2016-07-20,2394,1
96,448291,2016-07-21,4,0
97,448303,2016-07-22,4,0
98,448318,2016-07-23,4,0
99,448318,2016-07-24,4,0
100,448333,2016-07-24,4,0
101,448348,2016-07-25,3,0
102,448360,2016-07-26,3,0
103,448375,2016-07-27,3,0
104,448399,2016-07-29,2394,1
105,448414,2016-07-30,2394,1
106,448429,2016-07-31,2394,1
107,448447,2016-08-02,2394,1
108,448462,2016-08-03,2394,1
109,448477,2016-08-04,2394,1
110,448498,2016-08-05,2394,1
111,448513,2016-08-06,2394,1
112,448528,2016-08-07,2394,1
113,448536,2016-08-08,680,0
114,448547,2016-08-09,680,0
115,448563,2016-08-10,680,0
116,448588,2016-08-12,13,0
117,448603,2016-08-13,13,0
118,448618,2016-08-14,13,0
119,448627,2016-08-15,2394,1
120,448637,2016-08-16,2394,1
121,448652,2016-08-17,2394,1
122,448666,2016-08-18,2394,1
123,448678,2016-08-19,2394,1
124,448693,2016-08-20,2394,1
125,448708,2016-08-21,2394,1
126,448736,2016-08-23,3312,0
127,448752,2016-08-24,3312,0
128,448765,2016-08-25,3312,0
129,448779,2016-08-26,2394,1
130,448794,2016-08-27,2394,1
131,448809,2016-08-28,2394,1
132,448817,2016-08-29,2394,1
133,448831,2016-08-30,2394,1
134,448846,2016-08-31,2394,1
135,448868,2016-09-02,7,0
136,448883,2016-09-03,7,0
137,448898,2016-09-04,7,0
138,448914,2016-09-05,4,0
139,448929,2016-09-06,4,0
140,448944,2016-09-07,4,0
141,448961,2016-09-09,2394,1
142,448976,2016-09-10,2394,1
143,448991,2016-09-11,2394,1
144,449013,2016-09-12,2394,1
145,449028,2016-09-13,2394,1
146,449043,2016-09-14,2394,1
147,449054,2016-09-15,2394,1
148,449062,2016-09-16,5,0
149,449077,2016-09-17,5,0
150,449092,2016-09-18,5,0
151,449121,2016-09-20,3312,0
152,449136,2016-09-21,3312,0
153,449136,2016-09-22,3312,0
154,449149,2016-09-22,3312,0
155,449162,2016-09-23,2394,1
156,449177,2016-09-24,2394,1
157,449192,2016-09-25,2394,1
158,449204,2016-09-26,2394,1
159,449216,2016-09-27,2394,1
160,449231,2016-09-28,2394,1
161,449246,2016-09-29,2394,1
162,449256,2016-09-30,16,0
163,449271,2016-10-01,16,0
164,449286,2016-10-02,16,0
165,449246,2016-10-03,2394,1
