,game_id,game_date,venue_id,home
0,529411,2018-03-29,13,0
1,529424,2018-03-30,13,0
2,529435,2018-03-31,13,0
3,529449,2018-04-01,13,0
4,529457,2018-04-02,2392,1
5,529471,2018-04-03,2392,1
6,529484,2018-04-04,2392,1
7,529515,2018-04-06,2392,1
8,529528,2018-04-07,2392,1
9,529543,2018-04-08,2392,1
10,529551,2018-04-09,3312,0
11,529564,2018-04-10,3312,0
12,529578,2018-04-11,3312,0
13,529610,2018-04-13,2392,1
14,529625,2018-04-14,2392,1
15,529640,2018-04-15,2392,1
16,529646,2018-04-16,680,0
17,529660,2018-04-17,680,0
18,529675,2018-04-18,680,0
19,529685,2018-04-19,680,0
20,529695,2018-04-20,4,0
21,529710,2018-04-21,4,0
22,529725,2018-04-22,4,0
23,529738,2018-04-23,2392,1
24,529750,2018-04-24,2392,1
25,529765,2018-04-25,2392,1
26,529795,2018-04-27,2392,1
27,529810,2018-04-28,2392,1
28,529825,2018-04-29,2392,1
29,529834,2018-04-30,2392,1
30,529848,2018-05-01,2392,1
31,529863,2018-05-02,2392,1
32,529877,2018-05-03,2392,1
33,529886,2018-05-04,15,0
34,529901,2018-05-05,15,0
35,529917,2018-05-06,15,0
36,529927,2018-05-07,10,0
37,529938,2018-05-08,10,0
38,529953,2018-05-09,10,0
39,529985,2018-05-11,2392,1
40,530000,2018-05-12,2392,1
41,530015,2018-05-13,2392,1
42,530020,2018-05-14,1,0
43,530029,2018-05-15,1,0
44,530043,2018-05-16,1,0
45,530065,2018-05-18,2392,1
46,530080,2018-05-19,2392,1
47,530095,2018-05-20,2392,1
48,530129,2018-05-22,2392,1
49,530144,2018-05-23,2392,1
50,530148,2018-05-24,5,0
51,530159,2018-05-25,5,0
52,530174,2018-05-26,5,0
53,530189,2018-05-27,5,0
54,530202,2018-05-28,3313,0
55,530217,2018-05-29,3313,0
56,530232,2018-05-30,3313,0
57,530244,2018-05-31,2392,1
58,530255,2018-06-01,2392,1
59,530270,2018-06-02,2392,1
60,530285,2018-06-03,2392,1
61,530316,2018-06-05,2392,1
62,530331,2018-06-06,2392,1
63,530337,2018-06-07,13,0
64,530348,2018-06-08,13,0
65,530363,2018-06-09,13,0
66,530378,2018-06-10,13,0
67,530401,2018-06-12,10,0
68,530416,2018-06-13,10,0
69,530429,2018-06-14,10,0
70,530440,2018-06-15,7,0
71,530455,2018-06-16,7,0
72,530470,2018-06-17,7,0
73,530487,2018-06-18,2392,1
74,530502,2018-06-19,2392,1
75,530516,2018-06-20,2392,1
76,530532,2018-06-22,2392,1
77,530547,2018-06-23,2392,1
78,530562,2018-06-24,2392,1
79,530582,2018-06-25,2392,1
80,530597,2018-06-26,2392,1
81,530612,2018-06-27,2392,1
82,530616,2018-06-28,12,0
83,530629,2018-06-29,12,0
84,530644,2018-06-30,12,0
85,530659,2018-07-01,12,0
86,530684,2018-07-03,13,0
87,530699,2018-07-04,13,0
88,530710,2018-07-05,2392,1
89,530719,2018-07-06,2392,1
90,530734,2018-07-07,2392,1
91,530749,2018-07-08,2392,1
92,530768,2018-07-09,2392,1
93,530780,2018-07-10,2392,1
94,530795,2018-07-11,2392,1
95,530806,2018-07-12,2392,1
96,530814,2018-07-13,2392,1
97,530829,2018-07-14,2392,1
98,530844,2018-07-15,2392,1
99,530864,2018-07-20,1,0
100,530879,2018-07-21,1,0
101,530894,2018-07-22,1,0
102,530921,2018-07-24,19,0
103,530935,2018-07-25,19,0
104,530968,2018-07-27,2392,1
105,530983,2018-07-28,2392,1
106,530998,2018-07-29,2392,1
107,531003,2018-07-30,680,0
108,531015,2018-07-31,680,0
109,531030,2018-08-01,680,0
110,531055,2018-08-03,22,0
111,531070,2018-08-04,22,0
112,531085,2018-08-05,22,0
113,531097,2018-08-06,2395,0
114,531110,2018-08-07,2395,0
115,531140,2018-08-09,2392,1
116,531152,2018-08-10,2392,1
117,531167,2018-08-11,2392,1
118,531182,2018-08-12,2392,1
119,531199,2018-08-14,2392,1
120,531214,2018-08-15,2392,1
121,531239,2018-08-17,10,0
122,531254,2018-08-18,10,0
123,531269,2018-08-19,10,0
124,531283,2018-08-20,680,0
125,531293,2018-08-21,680,0
126,531308,2018-08-22,680,0
127,531332,2018-08-24,1,0
128,531347,2018-08-25,1,0
129,531362,2018-08-26,1,0
130,531376,2018-08-27,2392,1
131,531388,2018-08-28,2392,1
132,531402,2018-08-29,2392,1
133,531412,2018-08-30,2392,1
134,531424,2018-08-31,2392,1
135,531439,2018-09-01,2392,1
136,531454,2018-09-02,2392,1
137,531469,2018-09-03,2392,1
138,531484,2018-09-04,2392,1
139,531499,2018-09-05,2392,1
140,531514,2018-09-07,3,0
141,531529,2018-09-08,3,0
142,531544,2018-09-09,3,0
143,531559,2018-09-10,2394,0
144,531571,2018-09-11,2394,0
145,531586,2018-09-12,2394,0
146,531604,2018-09-14,2392,1
147,531619,2018-09-15,2392,1
148,531634,2018-09-16,2392,1
149,531656,2018-09-17,2392,1
150,531671,2018-09-18,2392,1
151,531686,2018-09-19,2392,1
152,531704,2018-09-21,2392,1
153,531719,2018-09-22,2392,1
154,531734,2018-09-23,2392,1
155,531745,2018-09-24,14,0
156,531759,2018-09-25,14,0
157,531774,2018-09-26,14,0
158,531788,2018-09-27,2,0
159,531798,2018-09-28,2,0
160,531813,2018-09-29,2,0
161,531788,2018-09-29,2,0
162,531828,2018-09-30,2,0
