,game_id,game_date,venue_id,home
0,413653,2015-04-06,7,1
1,413675,2015-04-08,7,1
2,413687,2015-04-09,7,1
3,413700,2015-04-10,1,0
4,413715,2015-04-11,1,0
5,413730,2015-04-12,1,0
6,413746,2015-04-13,3312,0
7,413774,2015-04-15,3312,0
8,413784,2015-04-16,3312,0
9,413800,2015-04-17,7,1
10,413815,2015-04-18,7,1
11,413830,2015-04-19,7,1
12,413839,2015-04-20,7,1
13,413852,2015-04-21,7,1
14,413867,2015-04-22,7,1
15,413878,2015-04-23,4,0
16,413890,2015-04-24,4,0
17,413905,2015-04-25,4,0
18,413890,2015-04-26,4,0
19,413920,2015-04-26,4,0
20,413934,2015-04-27,5,0
21,413949,2015-04-28,5,0
22,413964,2015-04-29,5,0
23,413977,2015-04-30,7,1
24,413987,2015-05-01,7,1
25,414002,2015-05-02,7,1
26,414017,2015-05-03,7,1
27,414042,2015-05-05,7,1
28,414057,2015-05-06,7,1
29,414071,2015-05-07,7,1
30,414085,2015-05-08,2394,0
31,414100,2015-05-09,2394,0
32,414115,2015-05-10,2394,0
33,414127,2015-05-11,13,0
34,414138,2015-05-12,13,0
35,414153,2015-05-13,13,0
36,414166,2015-05-14,13,0
37,414184,2015-05-15,7,1
38,414199,2015-05-16,7,1
39,414214,2015-05-17,7,1
40,414230,2015-05-19,7,1
41,414245,2015-05-20,7,1
42,414282,2015-05-22,7,1
43,414297,2015-05-23,7,1
44,414312,2015-05-24,7,1
45,414321,2015-05-25,3313,0
46,414336,2015-05-26,3313,0
47,414351,2015-05-27,3313,0
48,414372,2015-05-29,17,0
49,414387,2015-05-30,17,0
50,414402,2015-05-31,17,0
51,414426,2015-06-02,7,1
52,414441,2015-06-03,7,1
53,414455,2015-06-04,7,1
54,414475,2015-06-05,7,1
55,414490,2015-06-06,7,1
56,414505,2015-06-07,7,1
57,414508,2015-06-08,3312,0
58,414519,2015-06-09,3312,0
59,414534,2015-06-10,3312,0
60,414559,2015-06-12,2889,0
61,414574,2015-06-13,2889,0
62,414589,2015-06-14,2889,0
63,414604,2015-06-15,32,0
64,414619,2015-06-16,32,0
65,414635,2015-06-17,7,1
66,414650,2015-06-18,7,1
67,414660,2015-06-19,7,1
68,414675,2015-06-20,7,1
69,414690,2015-06-21,7,1
70,414706,2015-06-22,680,0
71,414717,2015-06-23,680,0
72,414732,2015-06-24,680,0
73,414759,2015-06-26,10,0
74,414774,2015-06-27,10,0
75,414789,2015-06-28,10,0
76,414799,2015-06-29,2392,0
77,414810,2015-06-30,2392,0
78,414825,2015-07-01,2392,0
79,414840,2015-07-02,7,1
80,414854,2015-07-03,7,1
81,414869,2015-07-04,7,1
82,414884,2015-07-05,7,1
83,414901,2015-07-06,7,1
84,414901,2015-07-07,7,1
85,414916,2015-07-07,7,1
86,414931,2015-07-08,7,1
87,414941,2015-07-09,7,1
88,414956,2015-07-10,7,1
89,414971,2015-07-11,7,1
90,414986,2015-07-12,7,1
91,413905,2015-07-17,4,0
92,414994,2015-07-17,4,0
93,415009,2015-07-18,4,0
94,415024,2015-07-19,4,0
95,415039,2015-07-20,7,1
96,415052,2015-07-21,7,1
97,415067,2015-07-22,7,1
98,414589,2015-07-23,2889,0
99,415089,2015-07-24,7,1
100,415104,2015-07-25,7,1
101,415119,2015-07-26,7,1
102,415135,2015-07-27,5,0
103,415145,2015-07-28,5,0
104,415160,2015-07-29,5,0
105,415175,2015-07-30,14,0
106,415188,2015-07-31,14,0
107,415203,2015-08-01,14,0
108,415218,2015-08-02,14,0
109,415243,2015-08-04,2394,0
110,415258,2015-08-05,2394,0
111,415270,2015-08-06,2394,0
112,415279,2015-08-07,7,1
113,415294,2015-08-08,7,1
114,415309,2015-08-09,7,1
115,415326,2015-08-10,7,1
116,415335,2015-08-11,7,1
117,415350,2015-08-12,7,1
118,415359,2015-08-13,7,1
119,415368,2015-08-14,7,1
120,415383,2015-08-15,7,1
121,415398,2015-08-16,7,1
122,415428,2015-08-18,2602,0
123,415443,2015-08-19,2602,0
124,415457,2015-08-20,3,0
125,415468,2015-08-21,3,0
126,415483,2015-08-22,3,0
127,415498,2015-08-23,3,0
128,415509,2015-08-24,7,1
129,415518,2015-08-25,7,1
130,415533,2015-08-26,7,1
131,415548,2015-08-27,7,1
132,415566,2015-08-28,12,0
133,415581,2015-08-29,12,0
134,415596,2015-08-30,12,0
135,415620,2015-09-01,7,1
136,415635,2015-09-02,7,1
137,415647,2015-09-03,7,1
138,415654,2015-09-04,7,1
139,415669,2015-09-05,7,1
140,415684,2015-09-06,7,1
141,415704,2015-09-07,7,1
142,415719,2015-09-08,7,1
143,415734,2015-09-09,7,1
144,415753,2015-09-11,2,0
145,415768,2015-09-12,2,0
146,415783,2015-09-13,2,0
147,415799,2015-09-14,5,0
148,415812,2015-09-15,5,0
149,415827,2015-09-16,5,0
150,415839,2015-09-17,5,0
151,415850,2015-09-18,2394,0
152,415865,2015-09-19,2394,0
153,415880,2015-09-20,2394,0
154,415910,2015-09-22,7,1
155,415925,2015-09-23,7,1
156,415936,2015-09-24,7,1
157,415944,2015-09-25,7,1
158,415959,2015-09-26,7,1
159,415974,2015-09-27,7,1
160,414387,2015-09-28,17,0
161,415998,2015-09-29,4,0
162,416013,2015-09-30,4,0
163,416027,2015-10-01,4,0
164,416042,2015-10-02,3312,0
165,416057,2015-10-03,3312,0
166,416072,2015-10-04,3312,0
