,game_id,game_date,venue_id,home
0,565702,2019-03-28,7,1
1,565703,2019-03-30,7,1
2,565704,2019-03-31,7,1
3,565705,2019-04-02,7,1
4,565706,2019-04-03,7,1
5,565510,2019-04-04,2394,0
6,565511,2019-04-06,2394,0
7,565512,2019-04-07,2394,0
8,565707,2019-04-08,7,1
9,565708,2019-04-09,7,1
10,565709,2019-04-10,7,1
11,565710,2019-04-11,7,1
12,565711,2019-04-12,7,1
13,565712,2019-04-13,7,1
14,565713,2019-04-14,7,1
15,567269,2019-04-15,4,0
16,567270,2019-04-16,4,0
17,567271,2019-04-17,4,0
18,567467,2019-04-18,3313,0
19,567468,2019-04-19,3313,0
20,567469,2019-04-20,3313,0
21,567470,2019-04-21,3313,0
22,566677,2019-04-22,12,0
23,566678,2019-04-23,12,0
24,566679,2019-04-24,12,0
25,565714,2019-04-26,7,1
26,565715,2019-04-27,7,1
27,565716,2019-04-28,7,1
28,565717,2019-04-29,7,1
29,565718,2019-04-30,7,1
30,565719,2019-05-01,7,1
31,565718,2019-05-01,7,1
32,565720,2019-05-02,7,1
33,565522,2019-05-03,2394,0
34,565523,2019-05-04,2394,0
35,565524,2019-05-05,2394,0
36,565619,2019-05-06,2392,0
37,565620,2019-05-07,2392,0
38,565621,2019-05-08,2392,0
39,565721,2019-05-10,7,1
40,565722,2019-05-11,7,1
41,565723,2019-05-12,7,1
42,565724,2019-05-14,7,1
43,565725,2019-05-15,7,1
44,565726,2019-05-16,7,1
45,564754,2019-05-17,1,0
46,564755,2019-05-18,1,0
47,564756,2019-05-19,1,0
48,566590,2019-05-21,2889,0
49,566591,2019-05-22,2889,0
50,566590,2019-05-22,2889,0
51,565727,2019-05-24,7,1
52,565728,2019-05-25,7,1
53,565727,2019-05-25,7,1
54,565729,2019-05-26,7,1
55,567288,2019-05-27,4,0
56,567288,2019-05-28,4,0
57,567289,2019-05-28,4,0
58,567290,2019-05-29,4,0
59,566789,2019-05-30,13,0
60,566790,2019-05-31,13,0
61,566791,2019-06-01,13,0
62,566792,2019-06-02,13,0
63,565730,2019-06-04,7,1
64,565731,2019-06-05,7,1
65,565732,2019-06-06,7,1
66,565733,2019-06-07,7,1
67,565734,2019-06-08,7,1
68,565735,2019-06-09,7,1
69,565736,2019-06-11,7,1
70,565737,2019-06-12,7,1
71,565738,2019-06-13,5365,1
72,566993,2019-06-14,3312,0
73,566994,2019-06-15,3312,0
74,566995,2019-06-16,3312,0
75,566407,2019-06-17,680,0
76,566408,2019-06-18,680,0
77,566409,2019-06-19,680,0
78,565739,2019-06-20,7,1
79,565740,2019-06-21,7,1
80,565741,2019-06-22,7,1
81,565742,2019-06-23,7,1
82,565356,2019-06-24,5,0
83,565357,2019-06-25,5,0
84,565358,2019-06-26,5,0
85,566902,2019-06-28,14,0
86,566903,2019-06-29,14,0
87,566904,2019-06-30,14,0
88,566905,2019-07-01,14,0
89,565743,2019-07-02,7,1
90,565744,2019-07-03,7,1
91,565745,2019-07-04,7,1
92,565939,2019-07-05,3309,0
93,565940,2019-07-06,3309,0
94,565941,2019-07-07,3309,0
95,565746,2019-07-12,7,1
96,565747,2019-07-13,7,1
97,565748,2019-07-14,7,1
98,565749,2019-07-15,7,1
99,565750,2019-07-16,7,1
100,565751,2019-07-17,7,1
101,565752,2019-07-18,7,1
102,565366,2019-07-19,5,0
103,565367,2019-07-20,5,0
104,565368,2019-07-21,5,0
105,567218,2019-07-23,4705,0
106,567219,2019-07-24,4705,0
107,565753,2019-07-25,7,1
108,565754,2019-07-26,7,1
109,565755,2019-07-27,7,1
110,565756,2019-07-28,7,1
111,565757,2019-07-29,7,1
112,565758,2019-07-30,7,1
113,565759,2019-07-31,7,1
114,567014,2019-08-02,3312,0
115,567015,2019-08-03,3312,0
116,567016,2019-08-04,3312,0
117,565083,2019-08-05,3,0
118,565084,2019-08-06,3,0
119,565085,2019-08-07,3,0
120,565564,2019-08-08,2394,0
121,565565,2019-08-09,2394,0
122,565566,2019-08-10,2394,0
123,565567,2019-08-11,2394,0
124,565760,2019-08-13,7,1
125,565761,2019-08-14,7,1
126,565762,2019-08-16,7,1
127,565763,2019-08-17,7,1
128,565764,2019-08-18,7,1
129,564991,2019-08-19,2,0
130,564992,2019-08-20,2,0
131,564993,2019-08-21,2,0
132,565085,2019-08-22,3,0
133,565381,2019-08-23,5,0
134,565382,2019-08-24,5,0
135,565383,2019-08-25,5,0
136,565765,2019-08-26,7,1
137,565766,2019-08-27,7,1
138,565767,2019-08-28,7,1
139,565768,2019-08-29,7,1
140,565769,2019-08-30,7,1
141,565770,2019-08-31,7,1
142,565771,2019-09-01,7,1
143,565772,2019-09-03,7,1
144,565773,2019-09-04,7,1
145,565774,2019-09-05,7,1
146,567430,2019-09-06,4169,0
147,567431,2019-09-07,4169,0
148,567432,2019-09-08,4169,0
149,567335,2019-09-10,4,0
150,567336,2019-09-11,4,0
151,567337,2019-09-12,4,0
152,565775,2019-09-13,7,1
153,565776,2019-09-14,7,1
154,565777,2019-09-15,7,1
155,566159,2019-09-16,10,0
156,566160,2019-09-17,10,0
157,566161,2019-09-18,10,0
158,567039,2019-09-19,3312,0
159,567040,2019-09-20,3312,0
160,567041,2019-09-21,3312,0
161,567042,2019-09-22,3312,0
162,565778,2019-09-24,7,1
163,565779,2019-09-25,7,1
164,565780,2019-09-27,7,1
165,565781,2019-09-28,7,1
166,565782,2019-09-29,7,1
