,game_id,game_date,venue_id,home
0,446871,2016-04-04,2680,0
1,446884,2016-04-05,2680,0
2,446894,2016-04-06,2680,0
3,446907,2016-04-07,2395,0
4,446916,2016-04-08,2395,0
5,446931,2016-04-09,2395,0
6,446946,2016-04-10,2395,0
7,446968,2016-04-12,22,1
8,446981,2016-04-13,22,1
9,446996,2016-04-14,22,1
10,447018,2016-04-15,22,1
11,447033,2016-04-16,22,1
12,447048,2016-04-17,22,1
13,447065,2016-04-19,16,0
14,447080,2016-04-20,16,0
15,447094,2016-04-21,16,0
16,447107,2016-04-22,19,0
17,447122,2016-04-23,19,0
18,447137,2016-04-24,19,0
19,447155,2016-04-25,22,1
20,447168,2016-04-26,22,1
21,447183,2016-04-27,22,1
22,447193,2016-04-28,22,1
23,447210,2016-04-29,22,1
24,447225,2016-04-30,22,1
25,447240,2016-05-01,22,1
26,447261,2016-05-03,12,0
27,447276,2016-05-04,12,0
28,447299,2016-05-06,14,0
29,447314,2016-05-07,14,0
30,447329,2016-05-08,14,0
31,447347,2016-05-09,22,1
32,447360,2016-05-10,22,1
33,447375,2016-05-11,22,1
34,447386,2016-05-12,22,1
35,447404,2016-05-13,22,1
36,447419,2016-05-14,22,1
37,447434,2016-05-15,22,1
38,447439,2016-05-16,22,1
39,447450,2016-05-17,22,1
40,447465,2016-05-18,1,0
41,447479,2016-05-19,1,0
42,447493,2016-05-20,2680,0
43,447508,2016-05-21,2680,0
44,447523,2016-05-22,2680,0
45,447532,2016-05-23,22,1
46,447543,2016-05-24,22,1
47,447558,2016-05-25,22,1
48,447585,2016-05-27,3289,0
49,447600,2016-05-28,3289,0
50,447615,2016-05-29,3289,0
51,447629,2016-05-30,17,0
52,447644,2016-05-31,17,0
53,447659,2016-06-01,17,0
54,447673,2016-06-02,17,0
55,447680,2016-06-03,22,1
56,447695,2016-06-04,22,1
57,447710,2016-06-05,22,1
58,447727,2016-06-06,22,1
59,447738,2016-06-07,22,1
60,447753,2016-06-08,22,1
61,447779,2016-06-10,2395,0
62,447794,2016-06-11,2395,0
63,447809,2016-06-12,2395,0
64,447821,2016-06-13,15,0
65,447833,2016-06-14,15,0
66,447848,2016-06-15,15,0
67,447860,2016-06-16,22,1
68,447874,2016-06-17,22,1
69,447889,2016-06-18,22,1
70,447904,2016-06-19,22,1
71,447920,2016-06-20,22,1
72,447935,2016-06-21,22,1
73,447950,2016-06-22,22,1
74,447965,2016-06-24,31,0
75,447980,2016-06-25,31,0
76,447995,2016-06-26,31,0
77,448009,2016-06-27,31,0
78,448021,2016-06-28,32,0
79,448037,2016-06-29,32,0
80,448052,2016-06-30,32,0
81,448062,2016-07-01,22,1
82,448077,2016-07-02,22,1
83,448092,2016-07-03,22,1
84,448103,2016-07-04,22,1
85,448118,2016-07-05,22,1
86,448133,2016-07-06,22,1
87,448154,2016-07-07,22,1
88,448167,2016-07-08,22,1
89,448182,2016-07-09,22,1
90,448197,2016-07-10,22,1
91,448210,2016-07-15,15,0
92,448225,2016-07-16,15,0
93,448240,2016-07-17,15,0
94,448264,2016-07-19,3309,0
95,448279,2016-07-20,3309,0
96,448292,2016-07-21,3309,0
97,448305,2016-07-22,2889,0
98,448320,2016-07-23,2889,0
99,448335,2016-07-24,2889,0
100,448368,2016-07-26,22,1
101,448383,2016-07-27,22,1
102,448393,2016-07-29,22,1
103,448408,2016-07-30,22,1
104,448423,2016-07-31,22,1
105,448449,2016-08-02,19,0
106,448464,2016-08-03,19,0
107,448479,2016-08-04,19,0
108,448490,2016-08-05,22,1
109,448505,2016-08-06,22,1
110,448520,2016-08-07,22,1
111,448538,2016-08-08,22,1
112,448551,2016-08-09,22,1
113,448567,2016-08-10,22,1
114,448592,2016-08-12,22,1
115,448607,2016-08-13,22,1
116,448622,2016-08-14,22,1
117,448638,2016-08-16,2681,0
118,448653,2016-08-17,2681,0
119,448669,2016-08-18,2681,0
120,448681,2016-08-19,2602,0
121,448696,2016-08-20,2602,0
122,448711,2016-08-21,2602,0
123,448728,2016-08-22,2602,0
124,448743,2016-08-23,22,1
125,448759,2016-08-24,22,1
126,448770,2016-08-25,22,1
127,448774,2016-08-26,22,1
128,448789,2016-08-27,22,1
129,448804,2016-08-28,22,1
130,448819,2016-08-29,19,0
131,448833,2016-08-30,19,0
132,448848,2016-08-31,19,0
133,448833,2016-08-31,19,0
134,448874,2016-09-02,22,1
135,448889,2016-09-03,22,1
136,448904,2016-09-04,22,1
137,448909,2016-09-05,22,1
138,448924,2016-09-06,22,1
139,448939,2016-09-07,22,1
140,448968,2016-09-09,4169,0
141,448983,2016-09-10,4169,0
142,448998,2016-09-11,4169,0
143,449010,2016-09-12,3313,0
144,449025,2016-09-13,3313,0
145,449040,2016-09-14,3313,0
146,449052,2016-09-15,15,0
147,449064,2016-09-16,15,0
148,449079,2016-09-17,15,0
149,449094,2016-09-18,15,0
150,449112,2016-09-19,22,1
151,449127,2016-09-20,22,1
152,449142,2016-09-21,22,1
153,449148,2016-09-22,22,1
154,449161,2016-09-23,22,1
155,449176,2016-09-24,22,1
156,449191,2016-09-25,22,1
157,449218,2016-09-27,2680,0
158,449233,2016-09-28,2680,0
159,449248,2016-09-29,2680,0
160,449258,2016-09-30,2395,0
161,449273,2016-10-01,2395,0
162,449288,2016-10-02,2395,0
