,game_id,game_date,venue_id,home
0,529418,2018-03-29,22,1
1,529429,2018-03-30,22,1
2,529442,2018-03-31,22,1
3,529454,2018-04-01,22,1
4,529464,2018-04-02,15,0
5,529478,2018-04-03,15,0
6,529489,2018-04-04,15,0
7,529513,2018-04-06,2395,0
8,529524,2018-04-07,2395,0
9,529539,2018-04-08,2395,0
10,529569,2018-04-10,22,1
11,529583,2018-04-11,22,1
12,529597,2018-04-13,22,1
13,529612,2018-04-14,22,1
14,529627,2018-04-15,22,1
15,529648,2018-04-16,2680,0
16,529662,2018-04-17,2680,0
17,529677,2018-04-18,2680,0
18,529705,2018-04-20,22,1
19,529720,2018-04-21,22,1
20,529735,2018-04-22,22,1
21,529739,2018-04-23,22,1
22,529751,2018-04-24,22,1
23,529766,2018-04-25,22,1
24,529791,2018-04-27,2395,0
25,529513,2018-04-28,2395,0
26,529806,2018-04-28,2395,0
27,529821,2018-04-29,2395,0
28,529832,2018-04-30,15,0
29,529846,2018-05-01,15,0
30,529861,2018-05-02,15,0
31,529875,2018-05-03,15,0
32,529888,2018-05-04,2701,0
33,529903,2018-05-05,2701,0
34,529919,2018-05-06,2701,0
35,529933,2018-05-08,22,1
36,529948,2018-05-09,22,1
37,529964,2018-05-10,22,1
38,529975,2018-05-11,22,1
39,529990,2018-05-12,22,1
40,530005,2018-05-13,22,1
41,530030,2018-05-15,4169,0
42,530044,2018-05-16,4169,0
43,530056,2018-05-17,4169,0
44,530068,2018-05-18,3309,0
45,530068,2018-05-19,3309,0
46,530083,2018-05-19,3309,0
47,530098,2018-05-20,3309,0
48,530110,2018-05-21,22,1
49,530121,2018-05-22,22,1
50,530136,2018-05-23,22,1
51,530164,2018-05-25,22,1
52,530179,2018-05-26,22,1
53,530194,2018-05-27,22,1
54,530207,2018-05-28,22,1
55,530222,2018-05-29,22,1
56,530237,2018-05-30,22,1
57,530250,2018-05-31,22,1
58,530259,2018-06-01,19,0
59,530274,2018-06-02,19,0
60,530289,2018-06-03,19,0
61,530310,2018-06-05,31,0
62,530325,2018-06-06,31,0
63,530339,2018-06-07,31,0
64,530344,2018-06-08,22,1
65,530359,2018-06-09,22,1
66,530374,2018-06-10,22,1
67,530408,2018-06-12,22,1
68,530423,2018-06-13,22,1
69,530447,2018-06-15,22,1
70,530462,2018-06-16,22,1
71,530477,2018-06-17,22,1
72,530482,2018-06-18,17,0
73,530482,2018-06-19,17,0
74,530495,2018-06-19,17,0
75,530509,2018-06-20,17,0
76,530533,2018-06-22,3289,0
77,530548,2018-06-23,3289,0
78,530563,2018-06-24,3289,0
79,530574,2018-06-25,22,1
80,530585,2018-06-26,22,1
81,530600,2018-06-27,22,1
82,530614,2018-06-28,22,1
83,530627,2018-06-29,22,1
84,530642,2018-06-30,22,1
85,530657,2018-07-01,22,1
86,530674,2018-07-02,22,1
87,530688,2018-07-03,22,1
88,530703,2018-07-04,22,1
89,530722,2018-07-06,1,0
90,530737,2018-07-07,1,0
91,530752,2018-07-08,1,0
92,530765,2018-07-09,2680,0
93,530777,2018-07-10,2680,0
94,530792,2018-07-11,2680,0
95,530803,2018-07-12,2680,0
96,530816,2018-07-13,22,1
97,530831,2018-07-14,22,1
98,530846,2018-07-15,22,1
99,530865,2018-07-20,32,0
100,530880,2018-07-21,32,0
101,530895,2018-07-22,32,0
102,530908,2018-07-23,2681,0
103,530922,2018-07-24,2681,0
104,530936,2018-07-25,2681,0
105,530948,2018-07-26,4705,0
106,530960,2018-07-27,4705,0
107,530975,2018-07-28,4705,0
108,530990,2018-07-29,4705,0
109,531005,2018-07-30,22,1
110,531019,2018-07-31,22,1
111,531034,2018-08-01,22,1
112,531044,2018-08-02,22,1
113,531055,2018-08-03,22,1
114,531070,2018-08-04,22,1
115,531085,2018-08-05,22,1
116,531111,2018-08-07,10,0
117,531125,2018-08-08,10,0
118,531136,2018-08-09,19,0
119,531145,2018-08-10,19,0
120,531160,2018-08-11,19,0
121,531175,2018-08-12,19,0
122,531191,2018-08-13,22,1
123,531205,2018-08-14,22,1
124,531220,2018-08-15,22,1
125,531242,2018-08-17,680,0
126,531257,2018-08-18,680,0
127,531272,2018-08-19,680,0
128,531286,2018-08-20,22,1
129,531301,2018-08-21,22,1
130,531316,2018-08-22,22,1
131,531337,2018-08-24,22,1
132,531352,2018-08-25,22,1
133,531367,2018-08-26,22,1
134,531383,2018-08-28,13,0
135,531397,2018-08-29,13,0
136,531408,2018-08-30,22,1
137,531417,2018-08-31,22,1
138,531432,2018-09-01,22,1
139,531447,2018-09-02,22,1
140,531470,2018-09-03,22,1
141,531485,2018-09-04,22,1
142,531500,2018-09-05,22,1
143,531517,2018-09-07,19,0
144,531532,2018-09-08,19,0
145,531547,2018-09-09,19,0
146,531560,2018-09-10,2602,0
147,531572,2018-09-11,2602,0
148,531587,2018-09-12,2602,0
149,531598,2018-09-13,2889,0
150,531609,2018-09-14,2889,0
151,531624,2018-09-15,2889,0
152,531639,2018-09-16,2889,0
153,531651,2018-09-17,22,1
154,531665,2018-09-18,22,1
155,531680,2018-09-19,22,1
156,531709,2018-09-21,22,1
157,531724,2018-09-22,22,1
158,531739,2018-09-23,22,1
159,531746,2018-09-24,15,0
160,531761,2018-09-25,15,0
161,531776,2018-09-26,15,0
162,531799,2018-09-28,2395,0
163,531814,2018-09-29,2395,0
164,531829,2018-09-30,2395,0
165,570335,2018-10-01,22,1
