,game_id,game_date,venue_id,home
0,446875,2016-04-04,32,1
1,446885,2016-04-05,32,1
2,446898,2016-04-06,32,1
3,446915,2016-04-08,32,1
4,446930,2016-04-09,32,1
5,446945,2016-04-10,32,1
6,446964,2016-04-11,2889,0
7,446975,2016-04-13,2889,0
8,446991,2016-04-14,2889,0
9,447016,2016-04-15,31,0
10,447031,2016-04-16,31,0
11,447046,2016-04-17,31,0
12,447056,2016-04-18,3312,0
13,447066,2016-04-19,3312,0
14,447081,2016-04-20,32,1
15,447095,2016-04-21,32,1
16,447112,2016-04-22,32,1
17,447127,2016-04-23,32,1
18,447142,2016-04-24,32,1
19,447169,2016-04-26,17,0
20,447184,2016-04-27,17,0
21,447194,2016-04-28,17,0
22,447208,2016-04-29,32,1
23,447223,2016-04-30,32,1
24,447238,2016-05-01,32,1
25,447247,2016-05-02,32,1
26,447260,2016-05-03,32,1
27,447275,2016-05-04,32,1
28,447288,2016-05-05,2602,0
29,447300,2016-05-06,2602,0
30,447315,2016-05-07,2602,0
31,447330,2016-05-08,2602,0
32,447346,2016-05-09,4169,0
33,447359,2016-05-10,4169,0
34,447374,2016-05-11,4169,0
35,447388,2016-05-12,32,1
36,447402,2016-05-13,32,1
37,447417,2016-05-14,32,1
38,447432,2016-05-15,32,1
39,447446,2016-05-17,32,1
40,447461,2016-05-18,32,1
41,447475,2016-05-19,32,1
42,447494,2016-05-20,3289,0
43,447509,2016-05-21,3289,0
44,447524,2016-05-22,3289,0
45,447548,2016-05-24,16,0
46,447564,2016-05-25,16,0
47,447576,2016-05-26,16,0
48,447582,2016-05-27,32,1
49,447597,2016-05-28,32,1
50,447612,2016-05-29,32,1
51,447635,2016-05-30,32,1
52,447650,2016-05-31,32,1
53,447665,2016-06-01,32,1
54,447674,2016-06-02,2681,0
55,447685,2016-06-03,2681,0
56,447700,2016-06-04,2681,0
57,447715,2016-06-05,2681,0
58,447744,2016-06-07,32,1
59,447759,2016-06-08,32,1
60,447769,2016-06-09,32,1
61,447781,2016-06-10,32,1
62,447796,2016-06-11,32,1
63,447811,2016-06-12,32,1
64,447823,2016-06-13,2395,0
65,447835,2016-06-14,2395,0
66,447850,2016-06-15,2395,0
67,447860,2016-06-16,22,0
68,447874,2016-06-17,22,0
69,447889,2016-06-18,22,0
70,447904,2016-06-19,22,0
71,447928,2016-06-21,10,0
72,447943,2016-06-22,10,0
73,447974,2016-06-24,32,1
74,447989,2016-06-25,32,1
75,448004,2016-06-26,32,1
76,448021,2016-06-28,32,1
77,448037,2016-06-29,32,1
78,448052,2016-06-30,32,1
79,448067,2016-07-01,2889,0
80,448082,2016-07-02,2889,0
81,448097,2016-07-03,2889,0
82,448110,2016-07-04,3309,0
83,448125,2016-07-05,3309,0
84,448140,2016-07-06,3309,0
85,448169,2016-07-08,32,1
86,448184,2016-07-09,32,1
87,448199,2016-07-10,32,1
88,448212,2016-07-15,2602,0
89,448227,2016-07-16,2602,0
90,448242,2016-07-17,2602,0
91,448266,2016-07-19,31,0
92,448281,2016-07-20,31,0
93,448294,2016-07-21,31,0
94,448301,2016-07-22,32,1
95,448316,2016-07-23,32,1
96,448331,2016-07-24,32,1
97,448344,2016-07-25,32,1
98,448355,2016-07-26,32,1
99,448370,2016-07-27,32,1
100,448385,2016-07-28,32,1
101,448404,2016-07-29,32,1
102,448419,2016-07-30,32,1
103,448434,2016-07-31,32,1
104,448441,2016-08-01,2680,0
105,448451,2016-08-02,2680,0
106,448466,2016-08-03,2680,0
107,448496,2016-08-05,15,0
108,448511,2016-08-06,15,0
109,448526,2016-08-07,15,0
110,448533,2016-08-08,32,1
111,448542,2016-08-09,32,1
112,448557,2016-08-10,32,1
113,448572,2016-08-11,32,1
114,448586,2016-08-12,32,1
115,448601,2016-08-13,32,1
116,448616,2016-08-14,32,1
117,447184,2016-08-16,17,0
118,448640,2016-08-16,17,0
119,448655,2016-08-17,17,0
120,448671,2016-08-18,17,0
121,448683,2016-08-19,680,0
122,448698,2016-08-20,680,0
123,448713,2016-08-21,680,0
124,448726,2016-08-22,32,1
125,448735,2016-08-23,32,1
126,448751,2016-08-24,32,1
127,448769,2016-08-25,32,1
128,448783,2016-08-26,32,1
129,448798,2016-08-27,32,1
130,448813,2016-08-28,32,1
131,448826,2016-08-29,32,1
132,448841,2016-08-30,32,1
133,448856,2016-08-31,32,1
134,448872,2016-09-02,31,0
135,448887,2016-09-03,31,0
136,448902,2016-09-04,31,0
137,448913,2016-09-05,32,1
138,448928,2016-09-06,32,1
139,448943,2016-09-07,32,1
140,448957,2016-09-08,2889,0
141,448969,2016-09-09,2889,0
142,448984,2016-09-10,2889,0
143,448999,2016-09-11,2889,0
144,449012,2016-09-12,2602,0
145,449027,2016-09-13,2602,0
146,449042,2016-09-14,2602,0
147,449053,2016-09-15,17,0
148,449066,2016-09-16,17,0
149,449081,2016-09-17,17,0
150,449096,2016-09-18,17,0
151,449126,2016-09-20,32,1
152,449141,2016-09-21,32,1
153,449154,2016-09-22,32,1
154,449160,2016-09-23,32,1
155,449175,2016-09-24,32,1
156,449190,2016-09-25,32,1
157,449205,2016-09-26,13,0
158,449219,2016-09-27,13,0
159,449234,2016-09-28,13,0
160,449260,2016-09-30,19,0
161,449275,2016-10-01,19,0
162,449290,2016-10-02,19,0
