,game_id,game_date,venue_id,home
0,490101,2017-04-03,32,1
1,490114,2017-04-04,32,1
2,490123,2017-04-05,32,1
3,490137,2017-04-06,32,1
4,490150,2017-04-07,32,1
5,490165,2017-04-08,32,1
6,490180,2017-04-09,32,1
7,490209,2017-04-11,14,0
8,490222,2017-04-12,14,0
9,490234,2017-04-13,2602,0
10,490247,2017-04-14,2602,0
11,490262,2017-04-15,2602,0
12,490277,2017-04-16,2602,0
13,490290,2017-04-17,17,0
14,490304,2017-04-18,17,0
15,490319,2017-04-19,17,0
16,490334,2017-04-20,32,1
17,490348,2017-04-21,32,1
18,490363,2017-04-22,32,1
19,490378,2017-04-23,32,1
20,490382,2017-04-24,32,1
21,490392,2017-04-25,32,1
22,490407,2017-04-26,32,1
23,490430,2017-04-28,32,1
24,490445,2017-04-29,32,1
25,490460,2017-04-30,32,1
26,490478,2017-05-01,2889,0
27,490492,2017-05-02,2889,0
28,490508,2017-05-03,2889,0
29,490523,2017-05-04,2889,0
30,490537,2017-05-05,31,0
31,490552,2017-05-06,31,0
32,490567,2017-05-07,31,0
33,490584,2017-05-09,32,1
34,490600,2017-05-10,32,1
35,490613,2017-05-11,32,1
36,490632,2017-05-12,32,1
37,490647,2017-05-13,32,1
38,490662,2017-05-14,32,1
39,490673,2017-05-15,2680,0
40,490685,2017-05-16,2680,0
41,490699,2017-05-17,2680,0
42,490713,2017-05-18,2680,0
43,490726,2017-05-19,17,0
44,490741,2017-05-20,17,0
45,490756,2017-05-21,17,0
46,490786,2017-05-23,32,1
47,490801,2017-05-24,32,1
48,490802,2017-05-25,32,1
49,490814,2017-05-26,32,1
50,490829,2017-05-27,32,1
51,490844,2017-05-28,32,1
52,490867,2017-05-29,3289,0
53,490882,2017-05-30,3289,0
54,490898,2017-05-31,3289,0
55,490908,2017-06-01,3289,0
56,490919,2017-06-02,32,1
57,490934,2017-06-03,32,1
58,490949,2017-06-04,32,1
59,490960,2017-06-05,32,1
60,490975,2017-06-06,32,1
61,490990,2017-06-07,32,1
62,491003,2017-06-08,32,1
63,491013,2017-06-09,15,0
64,491028,2017-06-10,15,0
65,491044,2017-06-11,15,0
66,490508,2017-06-13,2889,0
67,491068,2017-06-13,2889,0
68,491084,2017-06-14,2889,0
69,491094,2017-06-15,2889,0
70,491109,2017-06-16,32,1
71,491124,2017-06-17,32,1
72,491139,2017-06-18,32,1
73,491151,2017-06-19,32,1
74,491165,2017-06-20,32,1
75,491180,2017-06-21,32,1
76,491194,2017-06-22,32,1
77,491205,2017-06-23,4705,0
78,491220,2017-06-24,4705,0
79,491235,2017-06-25,4705,0
80,491256,2017-06-27,2602,0
81,491271,2017-06-28,2602,0
82,491285,2017-06-29,2602,0
83,491299,2017-06-30,32,1
84,491314,2017-07-01,32,1
85,491329,2017-07-02,32,1
86,491338,2017-07-03,32,1
87,491349,2017-07-04,32,1
88,491364,2017-07-05,32,1
89,490741,2017-07-06,17,0
90,491399,2017-07-07,3313,0
91,491414,2017-07-08,3313,0
92,491429,2017-07-09,3313,0
93,491442,2017-07-14,32,1
94,491457,2017-07-15,32,1
95,491472,2017-07-16,32,1
96,491483,2017-07-17,31,0
97,491498,2017-07-18,31,0
98,491513,2017-07-19,31,0
99,491526,2017-07-20,31,0
100,491538,2017-07-21,2681,0
101,491553,2017-07-22,2681,0
102,491568,2017-07-23,2681,0
103,491599,2017-07-25,3309,0
104,491614,2017-07-26,3309,0
105,491623,2017-07-27,3309,0
106,491630,2017-07-28,32,1
107,491645,2017-07-29,32,1
108,491660,2017-07-30,32,1
109,491692,2017-08-01,32,1
110,491707,2017-08-02,32,1
111,491721,2017-08-03,32,1
112,491729,2017-08-04,12,0
113,491744,2017-08-05,12,0
114,491759,2017-08-06,12,0
115,491773,2017-08-07,3312,0
116,491784,2017-08-08,3312,0
117,491799,2017-08-09,32,1
118,491813,2017-08-10,32,1
119,491822,2017-08-11,32,1
120,491837,2017-08-12,32,1
121,491852,2017-08-13,32,1
122,491884,2017-08-15,32,1
123,491899,2017-08-16,32,1
124,491920,2017-08-18,19,0
125,491935,2017-08-19,19,0
126,491950,2017-08-20,19,0
127,491961,2017-08-21,2395,0
128,491972,2017-08-22,2395,0
129,491987,2017-08-23,2395,0
130,492014,2017-08-25,22,0
131,492029,2017-08-26,22,0
132,492044,2017-08-27,22,0
133,492075,2017-08-29,32,1
134,492090,2017-08-30,32,1
135,492102,2017-08-31,32,1
136,492117,2017-09-01,32,1
137,492132,2017-09-02,32,1
138,492147,2017-09-03,32,1
139,492154,2017-09-04,2602,0
140,492169,2017-09-05,2602,0
141,492184,2017-09-06,2602,0
142,492208,2017-09-08,17,0
143,492223,2017-09-09,17,0
144,492238,2017-09-10,17,0
145,492252,2017-09-11,32,1
146,492266,2017-09-12,32,1
147,492281,2017-09-13,32,1
148,492302,2017-09-15,32,0
149,492317,2017-09-16,32,0
150,492332,2017-09-17,32,0
151,492344,2017-09-18,31,0
152,492356,2017-09-19,31,0
153,492371,2017-09-20,31,0
154,492378,2017-09-21,32,1
155,492390,2017-09-22,32,1
156,492405,2017-09-23,32,1
157,492420,2017-09-24,32,1
158,492447,2017-09-26,32,1
159,492462,2017-09-27,32,1
160,492476,2017-09-28,32,1
161,492492,2017-09-29,2889,0
162,492507,2017-09-30,2889,0
163,492522,2017-10-01,2889,0
