,game_id,game_date,venue_id,home
0,634638,2021-04-01,32,0
1,634575,2021-04-03,32,0
2,634597,2021-04-04,32,0
3,634588,2021-04-05,2394,0
4,634603,2021-04-06,2394,0
5,634598,2021-04-07,2394,0
6,634550,2021-04-08,3312,1
7,632205,2021-04-10,3312,1
8,632215,2021-04-11,3312,1
9,632223,2021-04-12,3312,1
10,632190,2021-04-13,3312,1
11,634574,2021-04-14,3312,1
12,632223,2021-04-14,3312,1
13,634554,2021-04-15,3312,1
14,634526,2021-04-16,1,0
15,634465,2021-04-17,1,0
16,634441,2021-04-18,1,0
17,634466,2021-04-19,10,0
18,634490,2021-04-20,10,0
19,634466,2021-04-20,10,0
20,634440,2021-04-21,10,0
21,634434,2021-04-23,3312,1
22,634467,2021-04-24,3312,1
23,634349,2021-04-25,3312,1
24,634394,2021-04-26,5,0
25,634339,2021-04-27,5,0
26,634371,2021-04-28,5,0
27,634391,2021-04-30,3312,1
28,634329,2021-05-01,3312,1
29,634341,2021-05-02,3312,1
30,634285,2021-05-03,3312,1
31,634229,2021-05-04,3312,1
32,634279,2021-05-05,3312,1
33,634261,2021-05-06,3312,1
34,634204,2021-05-07,2394,0
35,634214,2021-05-08,2394,0
36,634222,2021-05-09,2394,0
37,634147,2021-05-11,4,0
38,634160,2021-05-12,4,0
39,634125,2021-05-13,4,0
40,634131,2021-05-14,3312,1
41,634080,2021-05-15,3312,1
42,634188,2021-05-16,3312,1
43,634077,2021-05-17,3312,1
44,634073,2021-05-18,3312,1
45,634030,2021-05-19,3312,1
46,634465,2021-05-20,1,0
47,634441,2021-05-20,1,0
48,634015,2021-05-21,5,0
49,634038,2021-05-22,5,0
50,634007,2021-05-23,5,0
51,633982,2021-05-24,3312,1
52,634048,2021-05-25,3312,1
53,633928,2021-05-26,3312,1
54,633932,2021-05-28,3312,1
55,633944,2021-05-29,3312,1
56,633881,2021-05-30,3312,1
57,633919,2021-05-31,2,0
58,633856,2021-06-01,2,0
59,633853,2021-06-02,2,0
60,633833,2021-06-03,7,0
61,633838,2021-06-04,7,0
62,633799,2021-06-05,7,0
63,633893,2021-06-06,7,0
64,633804,2021-06-08,3312,1
65,633792,2021-06-09,3312,1
66,633790,2021-06-10,3312,1
67,633720,2021-06-11,3312,1
68,633736,2021-06-12,3312,1
69,633749,2021-06-13,3312,1
70,633716,2021-06-14,680,0
71,633626,2021-06-15,680,0
72,633658,2021-06-16,680,0
73,633579,2021-06-18,5325,0
74,633594,2021-06-19,5325,0
75,633574,2021-06-20,5325,0
76,633588,2021-06-21,3312,1
77,633580,2021-06-22,3312,1
78,633538,2021-06-24,3312,1
79,633555,2021-06-25,3312,1
80,633581,2021-06-26,3312,1
81,633473,2021-06-27,3312,1
82,633476,2021-06-28,4,0
83,633478,2021-06-29,4,0
84,633479,2021-06-30,4,0
85,633529,2021-07-01,4,0
86,633433,2021-07-02,7,0
87,633439,2021-07-03,7,0
88,633431,2021-07-04,7,0
89,633487,2021-07-05,3312,1
90,633352,2021-07-06,3312,1
91,633335,2021-07-07,3312,1
92,633359,2021-07-08,3312,1
93,633366,2021-07-09,3312,1
94,633289,2021-07-10,3312,1
95,633307,2021-07-11,3312,1
96,634222,2021-07-16,2394,0
97,633372,2021-07-16,2394,0
98,634222,2021-07-17,2394,0
99,633275,2021-07-17,2394,0
100,633280,2021-07-18,2394,0
101,633278,2021-07-19,4,0
102,633476,2021-07-19,4,0
103,633268,2021-07-20,4,0
104,633205,2021-07-21,4,0
105,633220,2021-07-22,3312,1
106,633159,2021-07-23,3312,1
107,633209,2021-07-24,3312,1
108,633179,2021-07-25,3312,1
109,633133,2021-07-26,3312,1
110,633137,2021-07-27,3312,1
111,633138,2021-07-28,3312,1
112,633119,2021-07-30,2889,0
113,633127,2021-07-31,2889,0
114,633024,2021-08-01,2889,0
115,633045,2021-08-03,2602,0
116,633071,2021-08-04,2602,0
117,632998,2021-08-05,2392,0
118,633029,2021-08-06,2392,0
119,632995,2021-08-07,2392,0
120,632957,2021-08-08,2392,0
121,632964,2021-08-09,3312,1
122,632934,2021-08-10,3312,1
123,632927,2021-08-11,3312,1
124,632926,2021-08-13,3312,1
125,632913,2021-08-14,3312,1
126,632866,2021-08-15,3312,1
127,632873,2021-08-16,3312,1
128,632880,2021-08-17,3312,1
129,632831,2021-08-18,3312,1
130,632840,2021-08-19,3313,0
131,632799,2021-08-20,3313,0
132,632821,2021-08-21,3313,0
133,632730,2021-08-22,3313,0
134,632755,2021-08-24,3,0
135,632767,2021-08-25,3,0
136,632741,2021-08-26,3,0
137,632759,2021-08-27,3312,1
138,632716,2021-08-28,3312,1
139,632705,2021-08-29,3312,1
140,633372,2021-08-30,2394,0
141,632694,2021-08-31,3312,1
142,632689,2021-09-01,3312,1
143,632627,2021-09-03,12,0
144,632600,2021-09-04,12,0
145,632605,2021-09-05,12,0
146,632591,2021-09-06,5,0
147,632586,2021-09-07,5,0
148,632579,2021-09-08,5,0
149,632561,2021-09-09,5,0
150,632541,2021-09-10,3312,1
151,632527,2021-09-11,3312,1
152,632519,2021-09-12,3312,1
153,632730,2021-09-13,3313,0
154,633581,2021-09-14,3312,1
155,632493,2021-09-14,3312,1
156,632463,2021-09-15,3312,1
157,632430,2021-09-17,14,0
158,632431,2021-09-18,14,0
159,632446,2021-09-19,14,0
160,632404,2021-09-21,17,0
161,632400,2021-09-22,17,0
162,632375,2021-09-23,3312,1
163,632357,2021-09-24,3312,1
164,632350,2021-09-25,3312,1
165,632336,2021-09-26,3312,1
166,632289,2021-09-28,3312,1
167,632300,2021-09-29,3312,1
168,632285,2021-09-30,3312,1
169,632272,2021-10-01,7,0
170,632264,2021-10-02,7,0
171,632243,2021-10-03,7,0
