,game_id,game_date,venue_id,home
0,490098,2017-04-03,3289,1
1,490120,2017-04-05,3289,1
2,490135,2017-04-06,3289,1
3,490155,2017-04-07,3289,1
4,490170,2017-04-08,3289,1
5,490185,2017-04-09,3289,1
6,490198,2017-04-10,2681,0
7,490211,2017-04-11,2681,0
8,490224,2017-04-12,2681,0
9,490236,2017-04-13,4169,0
10,490248,2017-04-14,4169,0
11,490263,2017-04-15,4169,0
12,490278,2017-04-16,4169,0
13,490305,2017-04-18,3289,1
14,490320,2017-04-19,3289,1
15,490332,2017-04-20,3289,1
16,490350,2017-04-21,3289,1
17,490365,2017-04-22,3289,1
18,490380,2017-04-23,3289,1
19,490390,2017-04-25,3289,1
20,490405,2017-04-26,3289,1
21,490420,2017-04-27,3289,1
22,490438,2017-04-28,3309,0
23,490453,2017-04-29,3309,0
24,490468,2017-04-30,3309,0
25,490479,2017-05-01,4705,0
26,490493,2017-05-02,4705,0
27,490509,2017-05-03,4705,0
28,490524,2017-05-04,4705,0
29,490536,2017-05-05,3289,1
30,490551,2017-05-06,3289,1
31,490566,2017-05-07,3289,1
32,490580,2017-05-08,3289,1
33,490593,2017-05-09,3289,1
34,490609,2017-05-10,3289,1
35,490632,2017-05-12,32,0
36,490647,2017-05-13,32,0
37,490662,2017-05-14,32,0
38,490674,2017-05-15,15,0
39,490686,2017-05-16,15,0
40,490700,2017-05-17,15,0
41,490724,2017-05-19,3289,1
42,490739,2017-05-20,3289,1
43,490754,2017-05-21,3289,1
44,490781,2017-05-23,3289,1
45,490796,2017-05-24,3289,1
46,490809,2017-05-25,3289,1
47,490822,2017-05-26,31,0
48,490837,2017-05-27,31,0
49,490852,2017-05-28,31,0
50,490867,2017-05-29,3289,1
51,490882,2017-05-30,3289,1
52,490898,2017-05-31,3289,1
53,490908,2017-06-01,3289,1
54,490922,2017-06-02,3289,1
55,490937,2017-06-03,3289,1
56,490952,2017-06-04,3289,1
57,490971,2017-06-06,13,0
58,490986,2017-06-07,13,0
59,491015,2017-06-09,4705,0
60,490524,2017-06-10,4705,0
61,491030,2017-06-10,4705,0
62,491046,2017-06-11,4705,0
63,491053,2017-06-12,3289,1
64,491063,2017-06-13,3289,1
65,491079,2017-06-14,3289,1
66,491099,2017-06-15,3289,1
67,491114,2017-06-16,3289,1
68,491129,2017-06-17,3289,1
69,491144,2017-06-18,3289,1
70,491150,2017-06-19,22,0
71,491164,2017-06-20,22,0
72,491179,2017-06-21,22,0
73,491193,2017-06-22,22,0
74,491207,2017-06-23,2395,0
75,491222,2017-06-24,2395,0
76,491237,2017-06-25,2395,0
77,491258,2017-06-27,4169,0
78,491273,2017-06-28,4169,0
79,491287,2017-06-29,4169,0
80,491302,2017-06-30,3289,1
81,491317,2017-07-01,3289,1
82,491332,2017-07-02,3289,1
83,491345,2017-07-03,3309,0
84,491357,2017-07-04,3309,0
85,491372,2017-07-05,3309,0
86,491400,2017-07-07,2889,0
87,491415,2017-07-08,2889,0
88,491430,2017-07-09,2889,0
89,491438,2017-07-14,3289,1
90,491453,2017-07-15,3289,1
91,491468,2017-07-16,3289,1
92,491488,2017-07-17,3289,1
93,491503,2017-07-18,3289,1
94,491518,2017-07-19,3289,1
95,491529,2017-07-20,3289,1
96,491540,2017-07-21,3289,1
97,491555,2017-07-22,3289,1
98,491570,2017-07-23,3289,1
99,491586,2017-07-24,2680,0
100,491601,2017-07-25,2680,0
101,491616,2017-07-26,2680,0
102,491624,2017-07-27,2680,0
103,491638,2017-07-28,680,0
104,491653,2017-07-29,680,0
105,491668,2017-07-30,680,0
106,491688,2017-08-01,19,0
107,491703,2017-08-02,19,0
108,491716,2017-08-03,19,0
109,491727,2017-08-04,3289,1
110,491742,2017-08-05,3289,1
111,491757,2017-08-06,3289,1
112,491790,2017-08-08,3289,1
113,491805,2017-08-09,3289,1
114,491814,2017-08-10,2681,0
115,491829,2017-08-11,2681,0
116,491844,2017-08-12,2681,0
117,491859,2017-08-13,2681,0
118,491869,2017-08-14,3313,0
119,491882,2017-08-15,3313,0
120,491897,2017-08-16,3289,1
121,491908,2017-08-17,3289,1
122,491919,2017-08-18,3289,1
123,491934,2017-08-19,3289,1
124,491949,2017-08-20,3289,1
125,491958,2017-08-21,3289,1
126,491966,2017-08-22,3289,1
127,491981,2017-08-23,3289,1
128,491996,2017-08-24,3289,1
129,492016,2017-08-25,3309,0
130,492031,2017-08-26,3309,0
131,492046,2017-08-27,3309,0
132,491372,2017-08-27,3309,0
133,492070,2017-08-29,2602,0
134,492085,2017-08-30,2602,0
135,492097,2017-08-31,2602,0
136,492111,2017-09-01,2392,0
137,492111,2017-09-02,2392,0
138,492126,2017-09-02,2392,0
139,492141,2017-09-03,2392,0
140,492157,2017-09-04,3289,1
141,492172,2017-09-05,3289,1
142,492187,2017-09-06,3289,1
143,492194,2017-09-07,3289,1
144,492202,2017-09-08,3289,1
145,492217,2017-09-09,3289,1
146,492232,2017-09-10,3289,1
147,492263,2017-09-12,17,0
148,492278,2017-09-13,17,0
149,492292,2017-09-14,17,0
150,492303,2017-09-15,4705,0
151,492318,2017-09-16,4705,0
152,492333,2017-09-17,4705,0
153,492346,2017-09-18,4169,0
154,492358,2017-09-19,4169,0
155,492373,2017-09-20,4169,0
156,492403,2017-09-22,3289,1
157,492418,2017-09-23,3289,1
158,492433,2017-09-24,3289,1
159,492434,2017-09-25,3289,1
160,490390,2017-09-25,3289,1
161,492444,2017-09-26,3289,1
162,492459,2017-09-27,3289,1
163,492493,2017-09-29,2681,0
164,492508,2017-09-30,2681,0
165,492523,2017-10-01,2681,0
