,game_id,game_date,venue_id,opponent_id,home
0,490106,2017-04-02,12,139,0
1,490116,2017-04-04,12,139,0
2,490128,2017-04-05,12,139,0
3,490157,2017-04-07,2,110,0
4,490172,2017-04-08,2,110,0
5,490187,2017-04-09,2,110,0
6,490202,2017-04-10,3313,139,1
7,490228,2017-04-12,3313,139,1
8,490238,2017-04-13,3313,139,1
9,490252,2017-04-14,3313,138,1
10,490267,2017-04-15,3313,138,1
11,490282,2017-04-16,3313,138,1
12,490286,2017-04-17,3313,145,1
13,490298,2017-04-18,3313,145,1
14,490313,2017-04-19,3313,145,1
15,490345,2017-04-21,31,134,0
16,490360,2017-04-22,31,134,0
17,490375,2017-04-23,31,134,0
18,490398,2017-04-25,3,111,0
19,490413,2017-04-26,3,111,0
20,490424,2017-04-27,3,111,0
21,490431,2017-04-28,3313,110,1
22,490446,2017-04-29,3313,110,1
23,490461,2017-04-30,3313,110,1
24,490485,2017-05-01,3313,141,1
25,490500,2017-05-02,3313,141,1
26,490515,2017-05-03,3313,141,1
27,490538,2017-05-05,17,112,0
28,490553,2017-05-06,17,112,0
29,490568,2017-05-07,17,112,0
30,490578,2017-05-08,2602,113,0
31,490591,2017-05-09,2602,113,0
32,490616,2017-05-11,3313,117,1
33,490629,2017-05-12,3313,117,1
34,490644,2017-05-13,3313,117,1
35,490659,2017-05-14,3313,117,1
36,490644,2017-05-14,3313,117,1
37,490687,2017-05-16,7,118,0
38,490701,2017-05-17,7,118,0
39,490714,2017-05-18,7,118,0
40,490727,2017-05-19,12,139,0
41,490742,2017-05-20,12,139,0
42,490757,2017-05-21,12,139,0
43,490767,2017-05-22,3313,118,1
44,490776,2017-05-23,3313,118,1
45,490791,2017-05-24,3313,118,1
46,490806,2017-05-25,3313,118,1
47,490823,2017-05-26,3313,133,1
48,490838,2017-05-27,3313,133,1
49,490853,2017-05-28,3313,133,1
50,490868,2017-05-29,2,110,0
51,490883,2017-05-30,2,110,0
52,490899,2017-05-31,2,110,0
53,490910,2017-06-01,14,141,0
54,490921,2017-06-02,14,141,0
55,490936,2017-06-03,14,141,0
56,490951,2017-06-04,14,141,0
57,490964,2017-06-06,3313,111,1
58,490979,2017-06-07,3313,111,1
59,490994,2017-06-08,3313,111,1
