,game_id,game_date,venue_id,home
0,413663,2015-04-06,3313,1
1,413685,2015-04-08,3313,1
2,413695,2015-04-09,3313,1
3,413696,2015-04-10,3313,1
4,413711,2015-04-11,3313,1
5,413726,2015-04-12,3313,1
6,413749,2015-04-13,2,0
7,413762,2015-04-14,2,0
8,413777,2015-04-15,2,0
9,413799,2015-04-17,12,0
10,413814,2015-04-18,12,0
11,413829,2015-04-19,12,0
12,413840,2015-04-20,2394,0
13,413853,2015-04-21,2394,0
14,413868,2015-04-22,2394,0
15,413881,2015-04-23,2394,0
16,413893,2015-04-24,3313,1
17,413908,2015-04-25,3313,1
18,413923,2015-04-26,3313,1
19,413941,2015-04-27,3313,1
20,413956,2015-04-28,3313,1
21,413971,2015-04-29,3313,1
22,413989,2015-05-01,3,0
23,414004,2015-05-02,3,0
24,414019,2015-05-03,3,0
25,414031,2015-05-04,14,0
26,414046,2015-05-05,14,0
27,414061,2015-05-06,14,0
28,414068,2015-05-07,3313,1
29,414080,2015-05-08,3313,1
30,414095,2015-05-09,3313,1
31,414110,2015-05-10,3313,1
32,414129,2015-05-11,12,0
33,414141,2015-05-12,12,0
34,414156,2015-05-13,12,0
35,414168,2015-05-14,12,0
36,414184,2015-05-15,7,0
37,414199,2015-05-16,7,0
38,414214,2015-05-17,7,0
39,414235,2015-05-19,3309,0
40,414250,2015-05-20,3309,0
41,414283,2015-05-22,3313,1
42,414298,2015-05-23,3313,1
43,414313,2015-05-24,3313,1
44,414321,2015-05-25,3313,1
45,414336,2015-05-26,3313,1
46,414351,2015-05-27,3313,1
47,414363,2015-05-28,10,0
48,414375,2015-05-29,10,0
49,414390,2015-05-30,10,0
50,414405,2015-05-31,10,0
51,414416,2015-06-01,680,0
52,414430,2015-06-02,680,0
53,414445,2015-06-03,680,0
54,414461,2015-06-05,3313,1
55,414476,2015-06-06,3313,1
56,414491,2015-06-07,3313,1
57,414528,2015-06-09,3313,1
58,414543,2015-06-10,3313,1
59,414562,2015-06-12,2,0
60,414577,2015-06-13,2,0
61,414592,2015-06-14,2,0
62,414607,2015-06-15,4169,0
63,414622,2015-06-16,4169,0
64,414634,2015-06-17,3313,1
65,414649,2015-06-18,3313,1
66,414662,2015-06-19,3313,1
67,414677,2015-06-20,3313,1
68,414692,2015-06-21,3313,1
69,414708,2015-06-22,3313,1
70,414721,2015-06-23,3313,1
71,414736,2015-06-24,3313,1
72,414746,2015-06-25,2392,0
73,414762,2015-06-26,2392,0
74,414777,2015-06-27,2392,0
75,414792,2015-06-28,2392,0
76,414803,2015-06-29,1,0
77,414814,2015-06-30,1,0
78,414829,2015-07-01,1,0
79,414860,2015-07-03,3313,1
80,414875,2015-07-04,3313,1
81,414890,2015-07-05,3313,1
82,414912,2015-07-07,3313,1
83,414927,2015-07-08,3313,1
84,414938,2015-07-09,3313,1
85,414951,2015-07-10,3,0
86,414966,2015-07-11,3,0
87,414981,2015-07-12,3,0
88,415000,2015-07-17,3313,1
89,415015,2015-07-18,3313,1
90,415030,2015-07-19,3313,1
91,415044,2015-07-21,3313,1
92,415059,2015-07-22,3313,1
93,415074,2015-07-23,3313,1
94,415093,2015-07-24,3312,0
95,415108,2015-07-25,3312,0
96,415123,2015-07-26,3312,0
97,415137,2015-07-27,13,0
98,415147,2015-07-28,13,0
99,415162,2015-07-29,13,0
100,415176,2015-07-30,13,0
101,415189,2015-07-31,4,0
102,415204,2015-08-01,4,0
103,415219,2015-08-02,4,0
104,415239,2015-08-04,3313,1
105,415254,2015-08-05,3313,1
106,415268,2015-08-06,3313,1
107,415291,2015-08-07,3313,1
108,415306,2015-08-08,3313,1
109,415321,2015-08-09,3313,1
110,415338,2015-08-11,5,0
111,415353,2015-08-12,5,0
112,415363,2015-08-13,5,0
113,415375,2015-08-14,14,0
114,415390,2015-08-15,14,0
115,415405,2015-08-16,14,0
116,415418,2015-08-17,3313,1
117,415431,2015-08-18,3313,1
118,415446,2015-08-19,3313,1
119,415456,2015-08-20,3313,1
120,415467,2015-08-21,3313,1
121,415482,2015-08-22,3313,1
122,415497,2015-08-23,3313,1
123,415512,2015-08-24,3313,1
124,415522,2015-08-25,3313,1
125,415537,2015-08-26,3313,1
126,415568,2015-08-28,16,0
127,415583,2015-08-29,16,0
128,415598,2015-08-30,16,0
129,415608,2015-08-31,3,0
130,415622,2015-09-01,3,0
131,415637,2015-09-02,3,0
132,415664,2015-09-04,3313,1
133,415679,2015-09-05,3313,1
134,415694,2015-09-06,3313,1
135,415697,2015-09-07,3313,1
136,415712,2015-09-08,3313,1
137,415727,2015-09-09,3313,1
138,415747,2015-09-10,3313,1
139,415761,2015-09-11,3313,1
140,415776,2015-09-12,3313,1
141,415747,2015-09-12,3313,1
142,415791,2015-09-13,3313,1
143,415801,2015-09-14,12,0
144,415814,2015-09-15,12,0
145,415829,2015-09-16,12,0
146,415852,2015-09-18,3289,0
147,415867,2015-09-19,3289,0
148,415882,2015-09-20,3289,0
149,415896,2015-09-21,14,0
150,415907,2015-09-22,14,0
151,415922,2015-09-23,14,0
152,415930,2015-09-24,3313,1
153,415943,2015-09-25,3313,1
154,415958,2015-09-26,3313,1
155,415973,2015-09-27,3313,1
156,415985,2015-09-28,3313,1
157,415993,2015-09-29,3313,1
158,416008,2015-09-30,3313,1
159,416024,2015-10-01,3313,1
160,416044,2015-10-02,2,0
161,416044,2015-10-03,2,0
162,416059,2015-10-03,2,0
163,416074,2015-10-04,2,0
