,game_id,game_date,venue_id,home
0,566083,2019-03-20,2397,1
1,566084,2019-03-21,2397,1
2,566086,2019-03-28,10,1
3,566087,2019-03-29,10,1
4,566088,2019-03-30,10,1
5,566089,2019-03-31,10,1
6,566090,2019-04-01,10,1
7,566091,2019-04-02,10,1
8,566092,2019-04-03,10,1
9,566093,2019-04-04,10,1
10,565606,2019-04-05,2392,0
11,565607,2019-04-06,2392,0
12,565608,2019-04-07,2392,0
13,564933,2019-04-08,2,0
14,564934,2019-04-09,2,0
15,564935,2019-04-10,2,0
16,564936,2019-04-11,2,0
17,566769,2019-04-12,13,0
18,566770,2019-04-13,13,0
19,566771,2019-04-14,13,0
20,566094,2019-04-16,10,1
21,566095,2019-04-17,10,1
22,566096,2019-04-19,10,1
23,566097,2019-04-20,10,1
24,566098,2019-04-21,10,1
25,566099,2019-04-22,10,1
26,566100,2019-04-23,10,1
27,566101,2019-04-24,10,1
28,566876,2019-04-26,14,0
29,566877,2019-04-27,14,0
30,566878,2019-04-28,14,0
31,565040,2019-04-29,3,0
32,565041,2019-04-30,3,0
33,565042,2019-05-01,3,0
34,566193,2019-05-03,31,0
35,566194,2019-05-04,31,0
36,566195,2019-05-05,31,0
37,566102,2019-05-07,10,1
38,566103,2019-05-08,10,1
39,566104,2019-05-09,10,1
40,566105,2019-05-10,10,1
41,566106,2019-05-11,10,1
42,566107,2019-05-12,10,1
43,566390,2019-05-13,680,0
44,566391,2019-05-14,680,0
45,565531,2019-05-16,2394,0
46,565532,2019-05-17,2394,0
47,565533,2019-05-18,2394,0
48,565534,2019-05-19,2394,0
49,565338,2019-05-20,5,0
50,565339,2019-05-21,5,0
51,565340,2019-05-22,5,0
52,566108,2019-05-24,10,1
53,566109,2019-05-25,10,1
54,566110,2019-05-26,10,1
55,566111,2019-05-27,10,1
56,566112,2019-05-28,10,1
57,566113,2019-05-29,10,1
58,566114,2019-05-31,10,1
59,566115,2019-06-01,10,1
60,566116,2019-06-02,10,1
61,564763,2019-06-04,1,0
62,564764,2019-06-05,1,0
63,564765,2019-06-06,1,0
64,566796,2019-06-07,13,0
65,566770,2019-06-08,13,0
66,566797,2019-06-08,13,0
67,566798,2019-06-09,13,0
68,566695,2019-06-10,12,0
69,566696,2019-06-11,12,0
70,566697,2019-06-12,12,0
71,566117,2019-06-14,10,1
72,566118,2019-06-15,10,1
73,566119,2019-06-16,10,1
74,566120,2019-06-17,10,1
75,566121,2019-06-18,10,1
76,566122,2019-06-19,10,1
77,566123,2019-06-20,10,1
78,566124,2019-06-21,10,1
79,566125,2019-06-22,10,1
80,566126,2019-06-23,10,1
81,566608,2019-06-25,2889,0
82,566609,2019-06-26,2889,0
83,564773,2019-06-27,1,0
84,564774,2019-06-28,1,0
85,564775,2019-06-29,1,0
86,564776,2019-06-30,1,0
87,566127,2019-07-02,10,1
88,566128,2019-07-03,10,1
89,566129,2019-07-04,10,1
90,566417,2019-07-05,680,0
91,566418,2019-07-06,680,0
92,566419,2019-07-07,680,0
93,566130,2019-07-12,10,1
94,566131,2019-07-13,10,1
95,566132,2019-07-14,10,1
96,566133,2019-07-16,10,1
97,566134,2019-07-17,10,1
98,567007,2019-07-18,3312,0
99,567008,2019-07-19,3312,0
100,567009,2019-07-20,3312,0
101,567010,2019-07-21,3312,0
102,565656,2019-07-22,2392,0
103,565657,2019-07-23,2392,0
104,565658,2019-07-24,2392,0
105,566135,2019-07-25,10,1
106,566136,2019-07-26,10,1
107,566137,2019-07-27,10,1
108,566138,2019-07-28,10,1
109,566139,2019-07-30,10,1
110,566140,2019-07-31,10,1
111,566141,2019-08-01,10,1
112,566142,2019-08-03,10,1
113,566143,2019-08-04,10,1
114,565181,2019-08-05,17,0
115,565182,2019-08-06,17,0
116,565183,2019-08-07,17,0
117,567319,2019-08-09,4,0
118,567320,2019-08-10,4,0
119,567321,2019-08-11,4,0
120,566531,2019-08-13,2395,0
121,566532,2019-08-14,2395,0
122,566144,2019-08-15,10,1
123,566145,2019-08-16,10,1
124,566146,2019-08-17,10,1
125,566147,2019-08-18,10,1
126,566148,2019-08-20,10,1
127,566149,2019-08-21,10,1
128,566150,2019-08-22,10,1
129,566151,2019-08-24,10,1
130,566152,2019-08-25,10,1
131,565765,2019-08-26,7,0
132,565766,2019-08-27,7,0
133,565767,2019-08-28,7,0
134,565768,2019-08-29,7,0
135,567525,2019-08-30,3313,0
136,567526,2019-08-31,3313,0
137,567527,2019-09-01,3313,0
138,566153,2019-09-03,10,1
139,566154,2019-09-04,10,1
140,566155,2019-09-05,10,1
141,565534,2019-09-06,10,0
142,566156,2019-09-06,10,1
143,566157,2019-09-07,10,1
144,566158,2019-09-08,10,1
145,565678,2019-09-09,2392,0
146,565679,2019-09-10,2392,0
147,565680,2019-09-11,2392,0
148,565681,2019-09-12,2392,0
149,566840,2019-09-13,13,0
150,566841,2019-09-14,13,0
151,566842,2019-09-15,13,0
152,566159,2019-09-16,10,1
153,566160,2019-09-17,10,1
154,566161,2019-09-18,10,1
155,566162,2019-09-20,10,1
156,566163,2019-09-21,10,1
157,566164,2019-09-22,10,1
158,564809,2019-09-24,1,0
159,564810,2019-09-25,1,0
160,566449,2019-09-26,680,0
161,566450,2019-09-27,680,0
162,566451,2019-09-28,680,0
163,566452,2019-09-29,680,0
