,game_id,game_date,venue_id,home
0,446877,2016-04-03,31,1
1,446910,2016-04-05,31,1
2,446900,2016-04-06,31,1
3,446922,2016-04-08,2602,0
4,446937,2016-04-09,2602,0
5,446952,2016-04-10,2602,0
6,446965,2016-04-11,2394,0
7,446977,2016-04-12,2394,0
8,446987,2016-04-13,31,1
9,447002,2016-04-14,31,1
10,447016,2016-04-15,31,1
11,447031,2016-04-16,31,1
12,447046,2016-04-17,31,1
13,447069,2016-04-19,2680,0
14,447084,2016-04-20,2680,0
15,447098,2016-04-21,2680,0
16,447113,2016-04-22,15,0
17,447128,2016-04-23,15,0
18,447143,2016-04-24,15,0
19,447158,2016-04-25,19,0
20,447173,2016-04-26,19,0
21,447188,2016-04-27,19,0
22,447197,2016-04-28,19,0
23,447201,2016-04-29,31,1
24,447216,2016-04-30,31,1
25,447231,2016-05-01,31,1
26,447245,2016-05-02,31,1
27,447257,2016-05-03,31,1
28,447272,2016-05-04,31,1
29,447305,2016-05-06,2889,0
30,447320,2016-05-07,2889,0
31,447335,2016-05-08,2889,0
32,447349,2016-05-09,2602,0
33,447363,2016-05-10,2602,0
34,447378,2016-05-11,2602,0
35,447401,2016-05-13,17,0
36,447416,2016-05-14,17,0
37,447431,2016-05-15,17,0
38,447436,2016-05-16,31,1
39,447444,2016-05-17,31,1
40,447459,2016-05-18,31,1
41,447474,2016-05-19,31,1
42,447491,2016-05-20,31,1
43,447506,2016-05-21,31,1
44,447521,2016-05-22,31,1
45,447521,2016-05-23,31,1
46,447540,2016-05-24,31,1
47,447555,2016-05-25,31,1
48,447570,2016-05-26,31,1
49,447590,2016-05-27,13,0
50,447605,2016-05-28,13,0
51,447620,2016-05-29,13,0
52,447632,2016-05-30,4169,0
53,447647,2016-05-31,4169,0
54,447662,2016-06-01,4169,0
55,447675,2016-06-02,4169,0
56,447684,2016-06-03,31,1
57,447699,2016-06-04,31,1
58,447714,2016-06-05,31,1
59,447731,2016-06-06,31,1
60,447743,2016-06-07,31,1
61,447731,2016-06-07,31,1
62,447758,2016-06-08,31,1
63,447197,2016-06-09,19,0
64,447785,2016-06-10,31,1
65,447800,2016-06-11,31,1
66,447815,2016-06-12,31,1
67,447839,2016-06-14,3289,0
68,447853,2016-06-15,3289,0
69,447862,2016-06-16,3289,0
70,447876,2016-06-17,17,0
71,447891,2016-06-18,17,0
72,447906,2016-06-19,17,0
73,447916,2016-06-20,31,1
74,447931,2016-06-21,31,1
75,447946,2016-06-22,31,1
76,447958,2016-06-23,31,1
77,447965,2016-06-24,31,1
78,447980,2016-06-25,31,1
79,447995,2016-06-26,31,1
80,448009,2016-06-27,31,1
81,448027,2016-06-28,680,0
82,448042,2016-06-29,680,0
83,448069,2016-07-01,10,0
84,448084,2016-07-02,10,0
85,448099,2016-07-03,10,0
86,448113,2016-07-04,2889,0
87,448128,2016-07-05,2889,0
88,448143,2016-07-06,2889,0
89,448153,2016-07-07,2889,0
90,448159,2016-07-08,31,1
91,448174,2016-07-09,31,1
92,448189,2016-07-10,31,1
93,448214,2016-07-15,3309,0
94,448229,2016-07-16,3309,0
95,448244,2016-07-17,3309,0
96,448266,2016-07-19,31,1
97,448281,2016-07-20,31,1
98,448294,2016-07-21,31,1
99,448308,2016-07-22,31,1
100,448323,2016-07-23,31,1
101,448338,2016-07-24,31,1
102,448366,2016-07-26,31,1
103,448381,2016-07-27,31,1
104,448404,2016-07-29,32,0
105,448419,2016-07-30,32,0
106,448434,2016-07-31,32,0
107,448455,2016-08-02,16,0
108,448470,2016-08-03,16,0
109,448483,2016-08-04,16,0
110,448492,2016-08-05,31,1
111,448507,2016-08-06,31,1
112,448522,2016-08-07,31,1
113,448552,2016-08-09,31,1
114,448568,2016-08-10,31,1
115,448579,2016-08-11,31,1
116,448592,2016-08-12,22,0
117,448607,2016-08-13,22,0
118,448622,2016-08-14,22,0
119,448630,2016-08-15,2395,0
120,448644,2016-08-16,2395,0
121,448659,2016-08-17,2395,0
122,448682,2016-08-19,31,1
123,448697,2016-08-20,31,1
124,448712,2016-08-21,31,1
125,448727,2016-08-22,31,1
126,448737,2016-08-23,31,1
127,448753,2016-08-24,31,1
128,448769,2016-08-25,32,0
129,448783,2016-08-26,32,0
130,448798,2016-08-27,32,0
131,448813,2016-08-28,32,0
132,448824,2016-08-29,17,0
133,448838,2016-08-30,17,0
134,448853,2016-08-31,17,0
135,448872,2016-09-02,31,1
136,448887,2016-09-03,31,1
137,448902,2016-09-04,31,1
138,448921,2016-09-05,31,1
139,448936,2016-09-06,31,1
140,448951,2016-09-07,31,1
141,448954,2016-09-08,31,1
142,448964,2016-09-09,31,1
143,448979,2016-09-10,31,1
144,448994,2016-09-11,31,1
145,449016,2016-09-12,2681,0
146,449031,2016-09-13,2681,0
147,449046,2016-09-14,2681,0
148,449057,2016-09-15,2681,0
149,449070,2016-09-16,2602,0
150,447363,2016-09-17,2602,0
151,449085,2016-09-17,2602,0
152,449100,2016-09-18,2602,0
153,449126,2016-09-20,32,0
154,449141,2016-09-21,32,0
155,449154,2016-09-22,32,0
156,449170,2016-09-23,31,1
157,449185,2016-09-24,31,1
158,449200,2016-09-25,31,1
159,449202,2016-09-26,31,1
160,449214,2016-09-27,31,1
161,449229,2016-09-28,31,1
162,449244,2016-09-29,31,1
163,449264,2016-09-30,2889,0
164,449279,2016-10-01,2889,0
165,449294,2016-10-02,2889,0
