,game_id,game_date,venue_id,home
0,529417,2018-03-29,2394,0
1,529417,2018-03-30,2394,0
2,529441,2018-03-31,2394,0
3,529453,2018-04-01,2394,0
4,529441,2018-04-01,2394,0
5,529465,2018-04-02,31,1
6,529490,2018-04-04,31,1
7,529500,2018-04-05,31,1
8,529511,2018-04-06,31,1
9,529521,2018-04-07,31,1
10,529536,2018-04-08,31,1
11,529555,2018-04-09,17,0
12,529555,2018-04-10,17,0
13,529584,2018-04-11,17,0
14,529594,2018-04-12,17,0
15,529607,2018-04-13,4169,0
16,529622,2018-04-14,4169,0
17,529637,2018-04-15,4169,0
18,529645,2018-04-16,31,1
19,529659,2018-04-17,31,1
20,529674,2018-04-18,31,1
21,529688,2018-04-19,2681,0
22,529700,2018-04-20,2681,0
23,529715,2018-04-21,2681,0
24,529730,2018-04-22,2681,0
25,529749,2018-04-24,31,1
26,529764,2018-04-25,31,1
27,529749,2018-04-25,31,1
28,529779,2018-04-26,31,1
29,529797,2018-04-27,31,1
30,529812,2018-04-28,31,1
31,529827,2018-04-29,31,1
32,529836,2018-04-30,3309,0
33,529851,2018-05-01,3309,0
34,529866,2018-05-02,3309,0
35,529879,2018-05-03,3309,0
36,529892,2018-05-04,32,0
37,529908,2018-05-05,32,0
38,529923,2018-05-06,32,0
39,529944,2018-05-08,4,0
40,529958,2018-05-09,4,0
41,529981,2018-05-11,31,1
42,529996,2018-05-12,31,1
43,530011,2018-05-13,31,1
44,530025,2018-05-15,31,1
45,530040,2018-05-16,31,1
46,530059,2018-05-17,31,1
47,530074,2018-05-18,31,1
48,530089,2018-05-19,31,1
49,530104,2018-05-20,31,1
50,530127,2018-05-22,2602,0
51,530142,2018-05-23,2602,0
52,530152,2018-05-24,2602,0
53,530166,2018-05-25,31,1
54,530181,2018-05-26,31,1
55,530196,2018-05-27,31,1
56,530199,2018-05-28,31,1
57,530214,2018-05-29,31,1
58,530229,2018-05-30,31,1
59,530251,2018-05-31,2889,0
60,530265,2018-06-01,2889,0
61,530280,2018-06-02,2889,0
62,530295,2018-06-03,2889,0
63,530310,2018-06-05,31,1
64,530325,2018-06-06,31,1
65,530339,2018-06-07,31,1
66,530353,2018-06-08,17,0
67,530368,2018-06-09,17,0
68,530383,2018-06-10,17,0
69,530392,2018-06-11,15,0
70,530405,2018-06-12,15,0
71,530420,2018-06-13,15,0
72,530437,2018-06-15,31,1
73,530452,2018-06-16,31,1
74,530467,2018-06-17,31,1
75,530484,2018-06-18,31,1
76,530497,2018-06-19,31,1
77,530511,2018-06-20,31,1
78,530518,2018-06-21,31,1
79,530528,2018-06-22,31,1
80,530543,2018-06-23,31,1
81,530558,2018-06-24,31,1
82,530579,2018-06-25,3289,0
83,530594,2018-06-26,3289,0
84,530609,2018-06-27,3289,0
85,530635,2018-06-29,2680,0
86,530650,2018-06-30,2680,0
87,530665,2018-07-01,2680,0
88,530674,2018-07-02,22,0
89,530688,2018-07-03,22,0
90,530703,2018-07-04,22,0
91,530726,2018-07-06,31,1
92,530741,2018-07-07,31,1
93,530756,2018-07-08,31,1
94,530771,2018-07-09,31,1
95,530786,2018-07-10,31,1
96,530801,2018-07-11,31,1
97,530804,2018-07-12,31,1
98,530817,2018-07-13,31,1
99,530832,2018-07-14,31,1
100,530511,2018-07-14,31,1
101,530847,2018-07-15,31,1
102,530869,2018-07-20,2602,0
103,530884,2018-07-21,2602,0
104,530899,2018-07-22,2602,0
105,530912,2018-07-23,5,0
106,530926,2018-07-24,5,0
107,530940,2018-07-25,5,0
108,530951,2018-07-26,31,1
109,530963,2018-07-27,31,1
110,530978,2018-07-28,31,1
111,530993,2018-07-29,31,1
112,531011,2018-07-31,31,1
113,531026,2018-08-01,31,1
114,531062,2018-08-03,31,1
115,531077,2018-08-04,31,1
116,531092,2018-08-05,31,1
117,531101,2018-08-06,19,0
118,531115,2018-08-07,19,0
119,531129,2018-08-08,19,0
120,531138,2018-08-09,2395,0
121,531151,2018-08-10,2395,0
122,531166,2018-08-11,2395,0
123,531181,2018-08-12,2395,0
124,531204,2018-08-14,3312,0
125,531219,2018-08-15,3312,0
126,531226,2018-08-16,31,1
127,531236,2018-08-17,31,1
128,531251,2018-08-18,31,1
129,531266,2018-08-19,31,1
130,531279,2018-08-20,31,1
131,531288,2018-08-21,31,1
132,531303,2018-08-22,31,1
133,531336,2018-08-24,32,0
134,531351,2018-08-25,32,0
135,531366,2018-08-26,32,0
136,531389,2018-08-28,2889,0
137,531403,2018-08-29,2889,0
138,531415,2018-08-30,2889,0
139,531428,2018-08-31,4705,0
140,531443,2018-09-01,4705,0
141,531458,2018-09-02,4705,0
142,531465,2018-09-03,31,1
143,531480,2018-09-04,31,1
144,531495,2018-09-05,31,1
145,531518,2018-09-07,31,1
146,531533,2018-09-08,31,1
147,531548,2018-09-09,31,1
148,531564,2018-09-10,2889,0
149,531577,2018-09-11,2889,0
150,531592,2018-09-12,2889,0
151,531614,2018-09-14,32,0
152,531629,2018-09-15,32,0
153,531644,2018-09-16,32,0
154,531652,2018-09-17,31,1
155,531666,2018-09-18,31,1
156,531681,2018-09-19,31,1
157,531705,2018-09-21,31,1
158,531720,2018-09-22,31,1
159,531735,2018-09-23,31,1
160,531752,2018-09-24,17,0
161,531767,2018-09-25,17,0
162,531782,2018-09-26,17,0
163,531791,2018-09-27,17,0
164,531803,2018-09-28,2602,0
165,531818,2018-09-29,2602,0
166,531833,2018-09-30,2602,0
