,game_id,game_date,venue_id,home
0,413661,2015-04-05,17,0
1,413683,2015-04-07,17,0
2,413693,2015-04-08,17,0
3,413707,2015-04-10,2602,0
4,413722,2015-04-11,2602,0
5,413737,2015-04-12,2602,0
6,413748,2015-04-13,2889,1
7,413776,2015-04-15,2889,1
8,413786,2015-04-16,2889,1
9,413794,2015-04-17,2889,1
10,413809,2015-04-18,2889,1
11,413824,2015-04-19,2889,1
12,413856,2015-04-21,3309,0
13,413871,2015-04-22,3309,0
14,413884,2015-04-23,3309,0
15,413896,2015-04-24,32,0
16,413911,2015-04-25,32,0
17,413926,2015-04-26,32,0
18,413937,2015-04-27,2889,1
19,413952,2015-04-28,2889,1
20,413967,2015-04-29,2889,1
21,413978,2015-04-30,2889,1
22,413992,2015-05-01,2889,1
23,414007,2015-05-02,2889,1
24,414022,2015-05-03,2889,1
25,414028,2015-05-04,2889,1
26,414040,2015-05-05,2889,1
27,414055,2015-05-06,2889,1
28,414069,2015-05-07,2889,1
29,414092,2015-05-08,31,0
30,414107,2015-05-09,31,0
31,414122,2015-05-10,31,0
32,414146,2015-05-12,5,0
33,414161,2015-05-13,5,0
34,414172,2015-05-14,5,0
35,414182,2015-05-15,2889,1
36,414197,2015-05-16,2889,1
37,414212,2015-05-17,2889,1
38,414226,2015-05-18,3289,0
39,414239,2015-05-19,3289,0
40,414254,2015-05-20,3289,0
41,414267,2015-05-21,3289,0
42,414282,2015-05-22,7,0
43,414297,2015-05-23,7,0
44,414312,2015-05-24,7,0
45,414314,2015-05-25,2889,1
46,414329,2015-05-26,2889,1
47,414344,2015-05-27,2889,1
48,414373,2015-05-29,2889,1
49,414388,2015-05-30,2889,1
50,414403,2015-05-31,2889,1
51,414414,2015-06-01,2889,1
52,414428,2015-06-02,2889,1
53,414443,2015-06-03,2889,1
54,414459,2015-06-04,22,0
55,414473,2015-06-05,22,0
56,414488,2015-06-06,22,0
57,414503,2015-06-07,22,0
58,414513,2015-06-08,19,0
59,414526,2015-06-09,19,0
60,414541,2015-06-10,19,0
61,414559,2015-06-12,2889,1
62,414574,2015-06-13,2889,1
63,414589,2015-06-14,2889,1
64,414606,2015-06-15,2889,1
65,414621,2015-06-16,2889,1
66,414640,2015-06-17,3312,0
67,414655,2015-06-18,3312,0
68,414670,2015-06-19,2681,0
69,414685,2015-06-20,2681,0
70,414700,2015-06-21,2681,0
71,414723,2015-06-23,4169,0
72,414738,2015-06-24,4169,0
73,414750,2015-06-25,4169,0
74,414755,2015-06-26,2889,1
75,414770,2015-06-27,2889,1
76,414785,2015-06-28,2889,1
77,414806,2015-06-30,2889,1
78,414821,2015-07-01,2889,1
79,414842,2015-07-02,2889,1
80,414857,2015-07-03,2889,1
81,414872,2015-07-04,2889,1
82,414887,2015-07-05,2889,1
83,414900,2015-07-06,17,0
84,413683,2015-07-07,17,0
85,414915,2015-07-07,17,0
86,414930,2015-07-08,17,0
87,414940,2015-07-09,31,0
88,414955,2015-07-10,31,0
89,414970,2015-07-11,31,0
90,414985,2015-07-12,31,0
91,414998,2015-07-17,2889,1
92,415013,2015-07-18,2889,1
93,415028,2015-07-19,2889,1
94,415055,2015-07-21,4,0
95,415070,2015-07-22,4,0
96,414589,2015-07-23,2889,1
97,415084,2015-07-24,2889,1
98,415099,2015-07-25,2889,1
99,415114,2015-07-26,2889,1
100,415132,2015-07-27,2889,1
101,415142,2015-07-28,2889,1
102,415157,2015-07-29,2889,1
103,415173,2015-07-30,2889,1
104,415186,2015-07-31,2889,1
105,415201,2015-08-01,2889,1
106,415216,2015-08-02,2889,1
107,415250,2015-08-04,2602,0
108,415265,2015-08-05,2602,0
109,415276,2015-08-06,2602,0
