,game_id,game_date,venue_id,home
0,446911,2016-04-03,12,1
1,446878,2016-04-04,12,1
2,446887,2016-04-05,12,1
3,446901,2016-04-06,12,1
4,446925,2016-04-08,2,0
5,446940,2016-04-09,2,0
6,446955,2016-04-10,2,0
7,446971,2016-04-12,12,1
8,446986,2016-04-13,12,1
9,447001,2016-04-14,12,1
10,447010,2016-04-15,12,1
11,447025,2016-04-16,12,1
12,447040,2016-04-17,12,1
13,447071,2016-04-19,3,0
14,447086,2016-04-20,3,0
15,447100,2016-04-21,3,0
16,447116,2016-04-22,3313,0
17,447131,2016-04-23,3313,0
18,447146,2016-04-24,3313,0
19,447148,2016-04-25,12,1
20,447161,2016-04-26,12,1
21,447177,2016-04-27,12,1
22,447212,2016-04-29,12,1
23,447227,2016-04-30,12,1
24,447242,2016-05-01,12,1
25,447261,2016-05-03,12,1
26,447276,2016-05-04,12,1
27,447307,2016-05-06,1,0
28,447322,2016-05-07,1,0
29,447337,2016-05-08,1,0
30,447351,2016-05-09,680,0
31,447366,2016-05-10,680,0
32,447381,2016-05-11,680,0
33,447400,2016-05-13,12,1
34,447415,2016-05-14,12,1
35,447430,2016-05-15,12,1
36,447442,2016-05-16,14,0
37,447456,2016-05-17,14,0
38,447471,2016-05-18,14,0
39,447497,2016-05-20,2394,0
40,447512,2016-05-21,2394,0
41,447527,2016-05-22,2394,0
42,447539,2016-05-23,4169,0
43,447553,2016-05-24,4169,0
44,447563,2016-05-25,12,1
45,447575,2016-05-26,12,1
46,447588,2016-05-27,12,1
47,447603,2016-05-28,12,1
48,447618,2016-05-29,12,1
49,447636,2016-05-30,7,0
50,447651,2016-05-31,7,0
51,447666,2016-06-01,7,0
52,447678,2016-06-02,3312,0
53,447691,2016-06-03,3312,0
54,447706,2016-06-04,3312,0
55,447721,2016-06-05,3312,0
56,447732,2016-06-06,15,0
57,447746,2016-06-07,15,0
58,447761,2016-06-08,15,0
59,447777,2016-06-10,12,1
60,447792,2016-06-11,12,1
61,447807,2016-06-12,12,1
62,447840,2016-06-14,12,1
63,447854,2016-06-15,12,1
64,447863,2016-06-16,12,1
65,447877,2016-06-17,12,1
66,447892,2016-06-18,12,1
67,447907,2016-06-19,12,1
68,447919,2016-06-20,5,0
69,447934,2016-06-21,5,0
70,447949,2016-06-22,5,0
71,447972,2016-06-24,2,0
72,446940,2016-06-25,2,0
73,447987,2016-06-25,2,0
74,448002,2016-06-26,2,0
75,448005,2016-06-27,12,1
76,448017,2016-06-28,12,1
77,448032,2016-06-29,12,1
78,448050,2016-06-30,12,1
79,448063,2016-07-01,12,1
80,448078,2016-07-02,12,1
81,448093,2016-07-03,12,1
82,448108,2016-07-04,12,1
83,448123,2016-07-05,12,1
84,448138,2016-07-06,12,1
85,448148,2016-07-07,12,1
86,448170,2016-07-08,3,0
87,448185,2016-07-09,3,0
88,448200,2016-07-10,3,0
89,448203,2016-07-15,12,1
90,448218,2016-07-16,12,1
91,448233,2016-07-17,12,1
92,448257,2016-07-18,19,0
93,448271,2016-07-19,19,0
94,448286,2016-07-20,19,0
95,448297,2016-07-21,10,0
96,448312,2016-07-22,10,0
97,448327,2016-07-23,10,0
98,448342,2016-07-24,10,0
99,448368,2016-07-26,22,0
100,448383,2016-07-27,22,0
101,448401,2016-07-29,12,1
102,448416,2016-07-30,12,1
103,448431,2016-07-31,12,1
104,448439,2016-08-01,12,1
105,448448,2016-08-02,12,1
106,448463,2016-08-03,12,1
107,448478,2016-08-04,12,1
108,448497,2016-08-05,12,1
109,448512,2016-08-06,12,1
110,448527,2016-08-07,12,1
111,448539,2016-08-08,14,0
112,448554,2016-08-09,14,0
113,448570,2016-08-10,14,0
114,448596,2016-08-12,3313,0
115,448611,2016-08-13,3313,0
116,448626,2016-08-14,3313,0
117,448631,2016-08-15,12,1
118,448645,2016-08-16,12,1
119,448660,2016-08-17,12,1
120,448689,2016-08-19,12,1
121,448704,2016-08-20,12,1
122,448719,2016-08-21,12,1
123,448723,2016-08-22,12,1
124,448732,2016-08-23,12,1
125,448748,2016-08-24,12,1
126,448763,2016-08-25,12,1
127,448786,2016-08-26,2392,0
128,448801,2016-08-27,2392,0
129,448816,2016-08-28,2392,0
130,448827,2016-08-29,3,0
131,448842,2016-08-30,3,0
132,448857,2016-08-31,3,0
133,448877,2016-09-02,12,1
134,448892,2016-09-03,12,1
135,448907,2016-09-04,12,1
136,448911,2016-09-05,12,1
137,448926,2016-09-06,12,1
138,448941,2016-09-07,12,1
139,448959,2016-09-08,3313,0
140,448974,2016-09-09,3313,0
141,448989,2016-09-10,3313,0
142,449004,2016-09-11,3313,0
143,449019,2016-09-12,14,0
144,449034,2016-09-13,14,0
145,449049,2016-09-14,14,0
146,449059,2016-09-15,2,0
147,449073,2016-09-16,2,0
148,449088,2016-09-17,2,0
149,449103,2016-09-18,2,0
150,449125,2016-09-20,12,1
151,449140,2016-09-21,12,1
152,449152,2016-09-22,12,1
153,449158,2016-09-23,12,1
154,449173,2016-09-24,12,1
155,449188,2016-09-25,12,1
156,449210,2016-09-26,4,0
157,449225,2016-09-27,4,0
158,449240,2016-09-28,4,0
159,449252,2016-09-29,4,0
160,449266,2016-09-30,13,0
161,449281,2016-10-01,13,0
162,449296,2016-10-02,13,0
