,game_id,game_date,venue_id,home
0,634630,2021-04-01,7,0
1,634604,2021-04-03,7,0
2,634593,2021-04-04,7,0
3,634612,2021-04-05,5325,1
4,634635,2021-04-06,5325,1
5,634583,2021-04-07,5325,1
6,634478,2021-04-09,5325,1
7,632193,2021-04-10,5325,1
8,632233,2021-04-11,5325,1
9,632204,2021-04-12,12,0
10,634489,2021-04-13,12,0
11,634496,2021-04-14,12,0
12,634522,2021-04-15,12,0
13,634463,2021-04-16,5325,1
14,634543,2021-04-17,5325,1
15,634511,2021-04-18,5325,1
16,634536,2021-04-19,1,0
17,634398,2021-04-20,1,0
18,634430,2021-04-21,1,0
19,634435,2021-04-23,4,0
20,634384,2021-04-24,4,0
21,634393,2021-04-25,4,0
22,634377,2021-04-26,5325,1
23,634359,2021-04-27,5325,1
24,634350,2021-04-28,5325,1
25,634289,2021-04-29,5325,1
26,634337,2021-04-30,5325,1
27,634271,2021-05-01,5325,1
28,634268,2021-05-02,5325,1
29,634285,2021-05-03,3312,0
30,634229,2021-05-04,3312,0
31,634279,2021-05-05,3312,0
32,634261,2021-05-06,3312,0
33,634253,2021-05-07,5325,1
34,634171,2021-05-08,5325,1
35,634182,2021-05-09,5325,1
36,634153,2021-05-10,2395,0
37,634164,2021-05-11,2395,0
38,634141,2021-05-13,2392,0
39,634123,2021-05-14,2392,0
40,634161,2021-05-15,2392,0
41,634068,2021-05-16,2392,0
42,634099,2021-05-17,5325,1
43,634067,2021-05-18,5325,1
44,634168,2021-05-19,5325,1
45,634047,2021-05-20,5325,1
46,634008,2021-05-21,5325,1
47,634079,2021-05-22,5325,1
48,634025,2021-05-23,5325,1
49,633972,2021-05-25,1,0
50,633940,2021-05-26,1,0
51,633934,2021-05-27,680,0
52,633997,2021-05-28,680,0
53,633947,2021-05-29,680,0
54,633968,2021-05-30,680,0
55,633895,2021-06-01,19,0
56,633848,2021-06-02,19,0
57,633860,2021-06-03,19,0
58,633830,2021-06-04,5325,1
59,633839,2021-06-05,5325,1
60,633802,2021-06-06,5325,1
61,633752,2021-06-08,5325,1
62,633756,2021-06-09,5325,1
63,633761,2021-06-11,22,0
64,633723,2021-06-12,22,0
65,633719,2021-06-13,22,0
66,633829,2021-06-15,2392,0
67,633619,2021-06-16,2392,0
68,633579,2021-06-18,5325,1
69,633594,2021-06-19,5325,1
70,633574,2021-06-20,5325,1
71,633605,2021-06-21,5325,1
72,633532,2021-06-22,5325,1
73,633553,2021-06-23,5325,1
74,633503,2021-06-24,5325,1
75,633556,2021-06-25,5325,1
76,633534,2021-06-26,5325,1
77,633516,2021-06-27,5325,1
78,633488,2021-06-29,10,0
79,633461,2021-06-30,10,0
80,633405,2021-07-01,10,0
81,633511,2021-07-02,680,0
82,633379,2021-07-03,680,0
83,633425,2021-07-04,680,0
84,633400,2021-07-05,5325,1
85,633364,2021-07-06,5325,1
86,633349,2021-07-07,5325,1
87,633345,2021-07-09,5325,1
88,633316,2021-07-10,5325,1
89,633297,2021-07-11,5325,1
90,633266,2021-07-16,2756,0
91,633292,2021-07-17,2756,0
92,633256,2021-07-18,2756,0
93,633292,2021-07-18,2756,0
94,633329,2021-07-19,2394,0
95,633212,2021-07-20,2394,0
96,633203,2021-07-21,2394,0
97,633258,2021-07-22,2394,0
98,633208,2021-07-23,2392,0
99,633197,2021-07-24,2392,0
100,633136,2021-07-25,2392,0
101,633150,2021-07-27,5325,1
102,633097,2021-07-28,5325,1
103,633116,2021-07-30,5325,1
104,633106,2021-07-31,5325,1
105,633075,2021-08-01,5325,1
106,633054,2021-08-02,5325,1
107,633056,2021-08-03,5325,1
108,633055,2021-08-04,5325,1
109,633004,2021-08-05,5325,1
110,633017,2021-08-06,10,0
111,632962,2021-08-07,10,0
112,633039,2021-08-08,10,0
113,632955,2021-08-10,680,0
114,632952,2021-08-11,680,0
115,632947,2021-08-12,680,0
116,632936,2021-08-13,5325,1
117,632894,2021-08-14,5325,1
118,632847,2021-08-15,5325,1
119,632853,2021-08-17,5325,1
120,632855,2021-08-18,5325,1
121,632838,2021-08-19,5325,1
122,632827,2021-08-20,3,0
123,632870,2021-08-21,3,0
124,632773,2021-08-22,3,0
125,632773,2021-08-23,3,0
126,632783,2021-08-24,5,0
127,632766,2021-08-25,5,0
128,632788,2021-08-26,5,0
129,632734,2021-08-27,5325,1
130,632702,2021-08-28,5325,1
131,632696,2021-08-29,5325,1
132,632678,2021-08-30,5325,1
133,632680,2021-08-31,5325,1
134,632641,2021-09-01,5325,1
135,632632,2021-09-03,1,0
136,632625,2021-09-04,1,0
137,632619,2021-09-05,1,0
138,632620,2021-09-06,1,0
139,632595,2021-09-07,15,0
140,632573,2021-09-08,15,0
141,632544,2021-09-10,10,0
142,632535,2021-09-11,10,0
143,632553,2021-09-12,10,0
144,632502,2021-09-13,5325,1
145,632482,2021-09-14,5325,1
146,632485,2021-09-15,5325,1
147,632472,2021-09-16,5325,1
148,632459,2021-09-17,5325,1
149,632439,2021-09-18,5325,1
150,632434,2021-09-19,5325,1
151,632414,2021-09-20,3313,0
152,632396,2021-09-21,3313,0
153,632381,2021-09-22,3313,0
154,632390,2021-09-23,2,0
155,632369,2021-09-24,2,0
156,632355,2021-09-25,2,0
157,632334,2021-09-26,2,0
158,632308,2021-09-28,5325,1
159,632295,2021-09-29,5325,1
160,632275,2021-09-30,5325,1
161,632248,2021-10-01,5325,1
162,632251,2021-10-02,5325,1
163,632236,2021-10-03,5325,1
