,game_id,game_date,venue_id,home
0,630966,2020-07-24,12,0
1,630967,2020-07-25,12,0
2,630968,2020-07-26,12,0
3,630861,2020-07-27,3309,0
4,630866,2020-07-28,3309,0
5,630916,2020-07-29,3309,1
6,630917,2020-07-30,3309,1
7,630919,2020-08-01,2681,1
8,630918,2020-08-01,2681,1
9,630907,2020-08-02,2681,1
10,630284,2020-08-04,4705,0
11,630307,2020-08-05,4705,0
12,630313,2020-08-06,4705,0
13,631623,2020-08-07,3,0
14,631658,2020-08-08,3,0
15,631630,2020-08-09,3,0
16,630901,2020-08-11,2756,1
17,630902,2020-08-12,2756,1
18,630903,2020-08-14,2756,1
19,630905,2020-08-15,2756,1
20,630905,2020-08-16,2756,1
21,630872,2020-08-16,2756,1
22,631678,2020-08-17,2,0
23,631681,2020-08-18,2,0
24,631682,2020-08-19,2,0
25,630919,2020-08-20,2756,1
26,630918,2020-08-20,2756,1
27,630960,2020-08-21,12,0
28,630948,2020-08-22,12,0
29,630949,2020-08-23,12,0
30,630950,2020-08-24,12,0
31,630862,2020-08-25,2756,1
32,630863,2020-08-26,2756,1
33,630865,2020-08-27,2756,1
34,630871,2020-08-28,2756,1
35,630906,2020-08-29,2756,1
36,630852,2020-08-30,2756,1
37,630900,2020-08-31,2756,1
38,631307,2020-09-01,4169,0
39,631308,2020-09-02,4169,0
40,631614,2020-09-03,3,0
41,631649,2020-09-04,3,0
42,630865,2020-09-04,3,1
43,631625,2020-09-05,3,0
44,631626,2020-09-06,3,0
45,630859,2020-09-07,2756,1
46,630860,2020-09-08,2756,1
47,630864,2020-09-09,2756,1
48,630868,2020-09-11,2756,1
49,630870,2020-09-12,2756,1
50,630875,2020-09-13,2756,1
51,631195,2020-09-15,3313,0
52,631189,2020-09-16,3313,0
53,631190,2020-09-17,3313,0
54,630907,2020-09-18,2681,1
55,631122,2020-09-18,2681,0
56,631123,2020-09-19,2681,0
57,631128,2020-09-20,2681,0
58,630876,2020-09-21,2756,1
59,630881,2020-09-22,2756,1
60,630885,2020-09-23,2756,1
61,630887,2020-09-24,2756,1
62,630889,2020-09-25,2756,1
63,630891,2020-09-26,2756,1
64,630858,2020-09-27,2756,1
