,game_id,game_date,venue_id,home
0,565895,2019-03-28,3309,1
1,565896,2019-03-30,3309,1
2,565897,2019-03-31,3309,1
3,565898,2019-04-02,3309,1
4,565899,2019-04-03,3309,1
5,565990,2019-04-04,3289,0
6,565991,2019-04-06,3289,0
7,565992,2019-04-07,3289,0
8,567065,2019-04-08,2681,0
9,567066,2019-04-09,2681,0
10,567067,2019-04-10,2681,0
11,565900,2019-04-12,3309,1
12,565901,2019-04-13,3309,1
13,565902,2019-04-14,3309,1
14,565903,2019-04-16,3309,1
15,565904,2019-04-17,3309,1
16,565905,2019-04-18,3309,1
17,567372,2019-04-19,4169,0
18,567373,2019-04-20,4169,0
19,567374,2019-04-21,4169,0
20,565423,2019-04-22,19,0
21,565424,2019-04-23,19,0
22,565425,2019-04-24,19,0
23,565906,2019-04-26,3309,1
24,565907,2019-04-27,3309,1
25,565908,2019-04-28,3309,1
26,565909,2019-04-29,3309,1
27,565910,2019-04-30,3309,1
28,565911,2019-05-01,3309,1
29,565912,2019-05-02,3309,1
30,567077,2019-05-03,2681,0
31,567078,2019-05-04,2681,0
32,567079,2019-05-05,2681,0
33,567573,2019-05-06,32,0
34,567574,2019-05-07,32,0
35,567575,2019-05-08,32,0
36,565818,2019-05-09,22,0
37,565819,2019-05-10,22,0
38,565820,2019-05-11,22,0
39,565821,2019-05-12,22,0
40,565913,2019-05-14,3309,1
41,565914,2019-05-15,3309,1
42,565915,2019-05-16,3309,1
43,565916,2019-05-17,3309,1
44,565917,2019-05-18,3309,1
45,565918,2019-05-19,3309,1
46,566008,2019-05-20,3289,0
47,566009,2019-05-21,3289,0
48,566010,2019-05-22,3289,0
49,566011,2019-05-23,3289,0
50,565919,2019-05-24,3309,1
51,565920,2019-05-25,3309,1
52,565921,2019-05-26,3309,1
53,565922,2019-05-27,3309,1
54,567188,2019-05-28,4705,0
55,567189,2019-05-29,4705,0
56,565247,2019-05-31,2602,0
57,565248,2019-06-01,2602,0
58,565249,2019-06-02,2602,0
59,565923,2019-06-04,3309,1
60,565924,2019-06-05,3309,1
61,566309,2019-06-06,2680,0
62,566310,2019-06-07,2680,0
63,566311,2019-06-08,2680,0
64,566312,2019-06-09,2680,0
65,567295,2019-06-10,4,0
66,567296,2019-06-11,4,0
67,565925,2019-06-13,3309,1
68,565926,2019-06-14,3309,1
69,565927,2019-06-15,3309,1
70,565928,2019-06-16,3309,1
71,565929,2019-06-17,3309,1
72,565930,2019-06-18,3309,1
73,565929,2019-06-19,3309,1
74,565931,2019-06-19,3309,1
75,565932,2019-06-20,3309,1
76,565933,2019-06-21,3309,1
77,565934,2019-06-22,3309,1
78,565935,2019-06-23,3309,1
79,567397,2019-06-25,4169,0
80,567398,2019-06-26,4169,0
81,567399,2019-06-27,4169,0
82,565550,2019-06-28,2394,0
83,565551,2019-06-29,2394,0
84,565552,2019-06-30,2394,0
85,565936,2019-07-02,3309,1
86,565937,2019-07-03,3309,1
87,565938,2019-07-04,3309,1
88,565939,2019-07-05,3309,1
89,565940,2019-07-06,3309,1
90,565941,2019-07-07,3309,1
91,567103,2019-07-12,2681,0
92,567104,2019-07-13,2681,0
93,567105,2019-07-14,2681,0
94,564976,2019-07-16,2,0
95,564977,2019-07-17,2,0
96,567214,2019-07-18,4705,0
97,567215,2019-07-19,4705,0
98,567216,2019-07-20,4705,0
99,567217,2019-07-21,4705,0
100,565942,2019-07-22,3309,1
101,565943,2019-07-23,3309,1
102,565942,2019-07-24,3309,1
103,565944,2019-07-24,3309,1
104,565945,2019-07-25,3309,1
105,565946,2019-07-26,3309,1
106,565947,2019-07-27,3309,1
107,565948,2019-07-28,3309,1
108,565949,2019-07-29,3309,1
109,565950,2019-07-30,3309,1
110,565951,2019-07-31,3309,1
111,564882,2019-08-02,15,0
112,564883,2019-08-03,15,0
113,564884,2019-08-04,15,0
114,566524,2019-08-05,2395,0
115,566525,2019-08-06,2395,0
116,566526,2019-08-07,2395,0
117,566042,2019-08-09,3289,0
118,566043,2019-08-10,3289,0
119,566044,2019-08-11,3289,0
120,565952,2019-08-12,3309,1
121,565953,2019-08-13,3309,1
122,565954,2019-08-14,3309,1
123,565955,2019-08-16,3309,1
124,565956,2019-08-17,3309,1
125,565957,2019-08-18,3309,1
126,566239,2019-08-19,31,0
127,566240,2019-08-20,31,0
128,566241,2019-08-21,31,0
129,566242,2019-08-22,31,0
130,565187,2019-08-23,17,0
131,565188,2019-08-24,17,0
132,565189,2019-08-25,17,0
133,565958,2019-08-27,3309,1
134,565959,2019-08-28,3309,1
135,565960,2019-08-30,3309,1
136,565961,2019-08-31,3309,1
137,565962,2019-09-01,3309,1
138,565963,2019-09-02,3309,1
139,565964,2019-09-03,3309,1
140,565965,2019-09-04,3309,1
141,567238,2019-09-05,4705,0
142,567239,2019-09-06,4705,0
143,567240,2019-09-07,4705,0
144,567241,2019-09-08,4705,0
145,567033,2019-09-10,3312,0
146,567034,2019-09-11,3312,0
147,567035,2019-09-12,3312,0
148,565966,2019-09-13,3309,1
149,565967,2019-09-14,3309,1
150,565968,2019-09-15,3309,1
151,566642,2019-09-16,2889,0
152,566643,2019-09-17,2889,0
153,566644,2019-09-18,2889,0
154,567437,2019-09-20,4169,0
155,567438,2019-09-21,4169,0
156,567439,2019-09-22,4169,0
157,565969,2019-09-23,3309,1
158,565930,2019-09-24,3309,1
159,565970,2019-09-24,3309,1
160,565971,2019-09-25,3309,1
161,565972,2019-09-26,3309,1
162,565973,2019-09-27,3309,1
163,565974,2019-09-28,3309,1
164,565975,2019-09-29,3309,1
